Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Chapman,Greg Malone,Kenneth McDonald,Lea Mary Movelle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 1","Freshwater",33,7,56,14,0,110,121
10001,"Avalon/Avalon"," 2","Victoria",49,5,98,30,0,182,332
10001,"Avalon/Avalon"," 3","Victoria",84,110,104,30,1,329,478
10001,"Avalon/Avalon"," 4","Victoria",66,9,68,19,3,165,370
10001,"Avalon/Avalon"," 5","Victoria",44,4,69,14,0,131,294
10001,"Avalon/Avalon"," 6","Carbonear",36,17,75,34,0,162,368
10001,"Avalon/Avalon"," 7","Carbonear",41,13,53,24,6,137,353
10001,"Avalon/Avalon"," 8","Carbonear",31,2,63,16,2,114,284
10001,"Avalon/Avalon"," 9","Carbonear",40,2,49,37,2,130,313
10001,"Avalon/Avalon"," 10","Paradise",55,12,72,52,0,191,485
10001,"Avalon/Avalon"," 11","Paradise",66,12,84,64,0,226,611
10001,"Avalon/Avalon"," 12","Paradise",42,2,54,25,0,123,312
10001,"Avalon/Avalon"," 13","Paradise",45,12,72,43,0,172,422
10001,"Avalon/Avalon"," 14","Paradise",51,13,81,60,0,205,456
10001,"Avalon/Avalon"," 15","Paradise",51,6,87,77,3,224,546
10001,"Avalon/Avalon"," 16","Paradise",49,4,100,69,1,223,561
10001,"Avalon/Avalon"," 17","Paradise",65,10,72,58,4,209,488
10001,"Avalon/Avalon"," 18","Paradise",48,1,53,30,1,133,380
10001,"Avalon/Avalon"," 19","Bryant's Cove",92,4,60,15,0,171,284
10001,"Avalon/Avalon"," 20","Harbour Grace--Bristol's Hope",64,11,102,26,0,203,410
10001,"Avalon/Avalon"," 21","Harbour Grace",78,7,88,25,1,199,496
10001,"Avalon/Avalon"," 22","Harbour Grace",39,2,59,23,0,123,317
10001,"Avalon/Avalon"," 23","Harbour Grace",43,4,57,24,0,128,292
10001,"Avalon/Avalon"," 24","Harbour Grace",29,6,49,20,0,104,269
10001,"Avalon/Avalon"," 25","Harbour Grace",68,8,65,17,0,158,378
10001,"Avalon/Avalon"," 26","Carbonear",31,6,75,26,0,138,321
10001,"Avalon/Avalon"," 27","Carbonear",31,3,70,32,5,141,334
10001,"Avalon/Avalon"," 28","Carbonear",73,13,95,29,2,212,422
10001,"Avalon/Avalon"," 29","Carbonear",52,8,78,34,0,172,423
10001,"Avalon/Avalon"," 30","Carbonear",22,4,48,19,1,94,220
10001,"Avalon/Avalon"," 31","Carbonear",13,4,43,6,0,66,175
10001,"Avalon/Avalon"," 32","Carbonear",68,5,59,23,0,155,326
