Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réal Batrhino,Frédérik Bernier,Martin Champoux,François Choquette,Jessica Ebacher,William Morales,Lucas Munger,Steeve Paquet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Drummond/Drummond"," 67","Drummondville",3,3,52,22,13,19,1,2,4,119,385
24025,"Drummond/Drummond"," 68","Drummondville",1,6,52,31,12,20,3,0,3,128,450
24025,"Drummond/Drummond"," 69","Drummondville",2,6,83,34,17,30,0,2,9,183,486
24025,"Drummond/Drummond"," 70","Drummondville",0,2,51,11,19,24,0,0,1,108,397
24025,"Drummond/Drummond"," 71","Drummondville",1,6,62,25,39,98,0,1,19,251,319
24025,"Drummond/Drummond"," 72","Drummondville",1,5,73,21,15,30,0,2,7,154,385
24025,"Drummond/Drummond"," 73","Drummondville",1,5,43,35,16,29,0,1,3,133,339
24025,"Drummond/Drummond"," 74","Drummondville",0,1,64,26,24,20,1,0,1,137,329
24025,"Drummond/Drummond"," 75","Drummondville",1,10,53,27,24,24,1,0,1,141,342
24025,"Drummond/Drummond"," 76","Drummondville",1,10,76,34,24,41,3,0,6,195,389
24025,"Drummond/Drummond"," 77","Drummondville",0,3,76,24,12,30,0,5,3,153,336
24025,"Drummond/Drummond"," 78","Drummondville",0,6,82,36,31,20,1,1,4,181,413
24025,"Drummond/Drummond"," 79","Drummondville",1,4,22,19,15,6,1,0,2,70,259
24025,"Drummond/Drummond"," 80","Drummondville",0,4,63,21,19,25,1,3,2,138,367
24025,"Drummond/Drummond"," 81","Drummondville",2,3,62,21,16,13,2,3,5,127,413
24025,"Drummond/Drummond"," 82","Drummondville",1,0,40,22,11,13,2,3,2,94,372
24025,"Drummond/Drummond"," 83","Drummondville",0,3,72,13,10,26,2,2,7,135,417
24025,"Drummond/Drummond"," 84","Drummondville",0,2,33,19,7,12,1,1,3,78,321
24025,"Drummond/Drummond"," 85","Drummondville",1,4,27,8,11,10,0,2,3,66,233
24025,"Drummond/Drummond"," 86","Drummondville",1,1,71,20,16,15,1,1,7,133,389
