Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tammy Cook-Searson,Georgina Jolibois,Sarah Kraynick,Jerome Perrault,Gary Vidal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 504","Mobile poll/Bureau itinérant",3,4,0,0,6,0,13,21
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 600","Stony Rapids",16,15,1,0,5,0,37,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 601","Wollaston Lake",69,64,0,0,0,5,138,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 602","Reindeer Lake - Southend",58,100,0,0,0,0,158,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 603","La Loche",72,294,3,0,8,4,381,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 604","Buffalo Narrows",38,50,3,2,22,0,115,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 605","Beauval",93,73,4,0,16,0,186,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 606","La Ronge",227,247,27,4,186,2,693,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 607","Pelican Narrows",67,54,1,0,1,1,124,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 608","Creighton",23,62,10,0,154,0,249,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 609","Red Earth",97,22,1,1,7,1,129,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 610","Snowden",8,11,1,2,98,1,121,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 611","Christopher Lake",49,52,17,5,282,0,405,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 612","Debden",12,26,5,6,333,0,382,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 613","Spiritwood",11,30,8,6,351,2,408,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 614","Meadow Lake",78,137,9,12,807,3,1046,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 615","Goodsoil",8,12,8,1,263,0,292,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 616","Loon Lake",4,12,4,1,164,0,185,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 1/Groupe 1, 145,56,8,3,19,24,255,259
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 2/Groupe 2, 173,181,35,9,696,31,1125,
