Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Geoff Regan,Fred Shuman,Jacob Wilson,Richard Zurawski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax West/Halifax-Ouest"," 606","Halifax",596,220,153,147,7,1123,
12006,"Halifax West/Halifax-Ouest"," 607","Halifax",606,231,123,159,8,1127,
12006,"Halifax West/Halifax-Ouest"," 608","Halifax",433,153,200,114,10,910,
12006,"Halifax West/Halifax-Ouest"," 609","Halifax",626,178,211,134,16,1165,
12006,"Halifax West/Halifax-Ouest"," 610","Halifax",377,105,206,129,5,822,
12006,"Halifax West/Halifax-Ouest"," 611","Halifax",759,254,229,142,9,1393,
12006,"Halifax West/Halifax-Ouest"," 612","Halifax",667,236,310,205,9,1427,
12006,"Halifax West/Halifax-Ouest"," 613","Halifax",430,129,164,91,4,818,
12006,"Halifax West/Halifax-Ouest",,Group 1/Groupe 1, 150,118,68,54,18,408,222
12006,"Halifax West/Halifax-Ouest",,Group 2/Groupe 2, 1198,491,275,281,66,2311,
