Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Danny Boudreault,Alexis Brunelle-Duceppe,Jean-Simon Fortin,Jocelyn Fradette,Julie Gagnon-Bond,Richard Hébert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 170","Saint-Prime",4,90,7,7,2,37,2,149,394
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 171","Saint-Prime",3,74,13,45,7,47,4,193,376
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 172","Saint-Prime",4,69,4,29,2,27,2,137,374
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 173","Saint-Prime",3,86,4,44,5,33,1,176,347
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 174A","Saint-Prime",Merged with No./Fusionné avec le n°214,,,,,,,,9
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 174B","Saint-Prime",1,65,10,30,5,33,4,148,362
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 175","Roberval",1,83,14,23,6,37,1,165,402
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 176","Roberval",3,59,6,32,1,26,3,130,387
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 177","Roberval",2,33,3,26,2,22,0,88,324
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 178","Roberval",0,54,6,23,3,19,3,108,378
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 179","Roberval",2,41,8,16,6,13,2,88,334
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 180","Desbiens",3,101,7,35,0,34,1,181,308
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 181","Desbiens",1,80,6,27,1,19,1,135,249
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 182","Desbiens",3,56,5,42,2,34,4,146,258
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 183","Roberval",3,69,15,50,4,34,6,181,442
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 184","Roberval",1,56,7,14,1,21,1,101,329
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 185","Roberval",1,53,4,33,3,41,1,136,359
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 186","Roberval",1,93,10,44,3,48,2,201,466
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 187","Roberval",1,68,7,30,6,25,3,140,373
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 188","Roberval",2,49,7,32,5,25,2,122,337
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 189","Roberval",3,75,8,25,4,23,7,145,398
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 190","Métabetchouan--Lac-à-la-Croix",1,72,4,20,3,17,1,118,255
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 191","Métabetchouan--Lac-à-la-Croix",0,61,9,33,5,30,2,140,267
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 192","Métabetchouan--Lac-à-la-Croix",1,49,13,31,8,34,2,138,301
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 193","Métabetchouan--Lac-à-la-Croix",0,83,7,35,5,27,5,162,313
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 194","Métabetchouan--Lac-à-la-Croix",3,56,6,28,4,25,3,125,251
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 195","Métabetchouan--Lac-à-la-Croix",0,63,5,29,6,32,2,137,289
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 196","Métabetchouan--Lac-à-la-Croix",0,74,12,46,3,38,7,180,320
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 197","Métabetchouan--Lac-à-la-Croix",1,94,12,58,1,38,3,207,400
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 198","Chambord",3,75,7,27,4,41,4,161,339
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 199","Chambord",1,90,4,39,3,25,1,163,323
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 200","Chambord",0,102,4,31,2,33,0,172,394
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 201","Chambord",1,88,7,32,2,21,1,152,309
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 202","Métabetchouan--Lac-à-la-Croix",2,87,11,57,8,30,2,197,326
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 203","Métabetchouan--Lac-à-la-Croix",2,78,9,70,2,34,2,197,363
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 204","Roberval",1,54,8,29,2,39,2,135,338
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 205","Roberval",2,79,15,32,3,28,3,162,423
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 206","Roberval",0,79,7,30,2,31,3,152,337
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 207","Roberval",1,50,10,22,2,26,3,114,358
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 208","Roberval",1,62,8,26,2,30,2,131,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 209","Roberval",0,95,6,39,4,26,4,174,387
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 210","Roberval",1,67,6,23,3,30,1,131,329
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 211","Roberval",2,60,12,31,5,24,5,139,357
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 212","Roberval",0,79,5,24,4,31,1,144,380
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 213","Saint-André-du-Lac-Saint-Jean",2,76,7,42,4,48,12,191,380
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 214","Sainte-Hedwidge",1,109,6,61,3,29,12,221,363
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 215","Sainte-Hedwidge",3,73,7,50,2,23,4,162,319
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 216","Saint-François-de-Sales",1,91,3,25,1,37,7,165,303
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 217","Saint-François-de-Sales",0,73,3,15,0,29,3,123,212
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 218","Hébertville",2,102,11,78,4,38,4,239,371
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 219","Hébertville",1,89,7,77,7,30,3,214,376
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 220","Hébertville",1,64,6,48,1,17,3,140,266
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 221","Hébertville",1,69,10,59,1,31,5,176,272
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 222","Hébertville",1,84,10,54,4,25,6,184,298
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 223","Hébertville",3,107,5,41,5,30,4,195,363
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 224","Lac-Bouchette",0,76,4,68,3,35,5,191,310
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 225","Lac-Bouchette",4,95,3,36,1,28,2,169,319
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 226","Lac-Bouchette",3,84,6,63,0,28,4,188,331
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 400","Alma",2,72,4,20,2,80,28,208,199
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 500","Mobile poll/Bureau itinérant",0,9,1,5,0,17,1,33,100
