Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colette Amram Ducharme,Guillaume Côté,Jean-Christophe Cusson,Gérard Deltell,Jeanne-Paule Desgagnés,Sandra Mara Riedo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 1","Québec",8,4,13,85,41,2,3,156,319
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 2","Wendake",24,0,61,79,16,4,4,188,410
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 3","Wendake",11,4,62,93,20,11,2,203,490
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 4","Village-des-Hurons",17,4,50,74,19,4,0,168,410
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5","Wendake",11,0,33,82,40,15,5,186,504
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 6","Québec",8,2,37,118,43,8,2,218,497
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7","Québec",15,15,43,74,47,12,6,212,451
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 8A","Québec",5,3,31,47,30,4,3,123,317
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 8B","Québec",8,1,17,47,27,1,2,103,303
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 9","Québec",11,2,39,67,37,11,5,172,357
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 10","Québec",16,3,60,102,38,9,3,231,551
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 11","Québec",15,8,29,43,33,8,3,139,380
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 12","Québec",8,1,50,75,66,2,0,202,536
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 13","Québec",8,3,49,90,55,3,1,209,515
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 14","Québec",11,5,34,50,23,6,3,132,388
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 15","Québec",16,1,47,41,34,9,5,153,352
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 16","Québec",19,6,44,56,51,7,4,187,391
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 17","Québec",21,4,53,93,59,2,1,233,564
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 18","Québec",7,4,44,57,66,10,8,196,498
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 19","Québec",12,3,37,44,40,6,2,144,400
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 20","Québec",10,5,37,46,39,7,0,144,343
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 21","Québec",6,2,47,66,44,3,5,173,381
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 22","Québec",5,0,41,42,30,4,1,123,460
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 23","Québec",6,3,45,62,40,3,2,161,345
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 24","Québec",7,0,40,43,47,4,2,143,451
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 25","Québec",8,3,49,55,51,7,2,175,353
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 26","Québec",15,5,33,77,47,6,6,189,381
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 27","Québec",11,5,45,71,52,3,5,192,369
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 28","Québec",24,4,27,100,38,8,2,203,458
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 29","Québec",10,5,34,46,37,6,1,139,337
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 30","Québec",23,7,68,112,49,11,5,275,531
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 31","Québec",14,3,44,76,66,11,3,217,433
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 32","Québec",3,3,48,50,40,0,1,145,413
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 33","Québec",6,5,48,113,50,7,3,232,483
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 34","Québec",10,0,31,38,27,4,3,113,373
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 35A","Québec",11,6,21,25,19,4,1,87,226
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 35B","Québec",3,2,42,50,33,3,6,139,197
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 36","Québec",28,8,52,78,31,10,0,207,526
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 37","Québec",7,2,30,50,28,5,3,125,344
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 38","Québec",7,5,36,102,28,4,6,188,405
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 39","Québec",14,2,51,101,70,11,3,252,474
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 40","Québec",19,3,40,64,19,10,2,157,464
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 41","Québec",19,1,26,58,28,4,2,138,394
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 42","Québec",4,1,33,68,31,1,2,140,500
