Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julie Benoît,Gary Charles,Dana Chevalier,Ralston Coelho,Victoria de Martigny,Ann Francis,Milan Kona-Mancini,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 1","Pointe-Claire",11,8,26,0,3,31,8,119,2,208,543
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 2","Pointe-Claire",11,2,30,0,2,29,7,97,1,179,395
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 3","Pointe-Claire",4,6,21,1,1,24,9,82,0,148,339
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 4A","Pointe-Claire",14,0,21,1,4,18,8,83,2,151,341
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 4B","Pointe-Claire",11,4,26,0,2,18,9,67,5,142,339
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 5","Pointe-Claire",9,1,25,0,0,27,5,99,1,167,423
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 6","Pointe-Claire",7,0,25,0,2,32,19,104,1,190,418
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 7","Pointe-Claire",7,2,36,0,2,40,22,146,1,256,448
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 8","Sainte-Geneviève",35,4,16,0,1,15,12,66,3,152,442
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 9","Pierrefonds",10,1,27,0,2,27,3,105,4,179,461
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 10","Sainte-Geneviève",35,4,16,0,2,32,14,67,4,174,527
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 11","Pierrefonds",21,2,24,0,3,48,17,144,1,260,429
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 12","Pierrefonds",17,2,27,0,1,11,5,94,5,162,375
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 13","Pierrefonds",23,10,29,0,1,18,8,119,1,209,401
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 14","Pierrefonds",7,4,28,0,1,39,6,120,3,208,390
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 15","Pierrefonds",14,4,31,0,3,28,11,94,2,187,335
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 16","Pointe-Claire",7,0,12,0,0,20,5,89,0,133,470
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 17","Pointe-Claire",14,2,54,0,0,54,19,144,2,289,489
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 18","Pointe-Claire",9,1,28,0,0,52,11,163,0,264,520
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 19","Pointe-Claire",8,1,42,0,3,34,14,144,3,249,461
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 20","Kirkland",2,0,11,0,1,43,5,101,0,163,400
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 21","Pointe-Claire",15,6,46,0,3,37,17,144,2,270,570
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 22","Pointe-Claire",18,3,42,0,1,22,24,109,4,223,393
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 23","Pointe-Claire",11,3,35,0,4,28,41,176,1,299,527
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 24","Pointe-Claire",6,4,26,0,1,16,22,116,2,193,400
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 25","Pointe-Claire",10,4,29,0,3,32,21,100,2,201,485
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 26","Pointe-Claire",23,8,39,0,4,19,25,123,3,244,416
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 27","Pointe-Claire",10,0,49,0,2,7,39,125,1,233,436
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 28","Pointe-Claire",6,6,33,2,3,28,24,104,0,206,410
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 29","Pointe-Claire",4,1,50,0,3,25,26,125,0,234,456
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 30","Pointe-Claire",7,0,22,0,1,19,18,98,1,166,353
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 31","Pointe-Claire",10,1,23,0,2,17,18,150,0,221,435
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 32","Pointe-Claire",7,2,44,0,0,11,22,116,2,204,379
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 33","Pierrefonds",25,4,11,0,2,21,6,75,2,146,365
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 34","Pierrefonds",20,0,27,0,2,21,7,76,1,154,389
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 35","Pierrefonds",13,1,12,0,0,25,8,131,2,192,382
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 36","Pierrefonds",12,2,30,0,0,31,6,96,2,179,528
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 37","Pierrefonds",4,1,39,0,1,32,6,122,2,207,409
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 38","Pierrefonds",18,1,40,0,1,32,6,120,0,218,448
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 39","Pierrefonds",12,5,30,0,2,51,14,106,3,223,437
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 40","Pierrefonds",12,3,27,0,0,33,7,112,5,199,392
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 41","Pointe-Claire",4,3,27,1,0,22,12,85,0,154,363
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 42","Pointe-Claire",17,1,34,0,0,22,17,82,0,173,351
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 43","Pointe-Claire",8,4,26,0,2,16,31,88,0,175,378
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 44","Pointe-Claire",14,4,36,0,0,24,12,118,0,208,444
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 45","Pointe-Claire",3,2,42,0,5,12,17,116,2,199,395
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 46","Pointe-Claire",7,2,27,0,1,26,12,73,1,149,331
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 47","Pointe-Claire",9,2,16,0,2,18,7,83,2,139,376
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 48A","Pointe-Claire",4,3,13,0,0,16,9,61,0,106,253
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 48B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,,86
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 48C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,,89
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 49","Sainte-Geneviève",20,1,21,0,1,28,9,99,1,180,455
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 50","Pierrefonds",7,2,23,1,1,42,10,62,1,149,386
