Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jaime Battiste,Lois Foster,Randy Joy,Archie MacKinnon,Kenzie MacNeil,Jodi McDavid,Eddie Orrell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 1","St. Margaret Village",47,3,2,55,1,16,22,1,147,306
12010,"Sydney--Victoria/Sydney--Victoria"," 2","Neils Harbour",49,7,7,13,1,25,49,3,154,232
12010,"Sydney--Victoria/Sydney--Victoria"," 3","Cape North",54,13,1,40,0,35,54,1,198,465
12010,"Sydney--Victoria/Sydney--Victoria"," 4","White Point",18,3,0,15,0,7,16,5,64,131
12010,"Sydney--Victoria/Sydney--Victoria"," 5","Ingonish",73,16,4,28,4,39,76,0,240,519
12010,"Sydney--Victoria/Sydney--Victoria"," 6","Pleasant Bay",32,3,0,11,0,5,10,1,62,134
12010,"Sydney--Victoria/Sydney--Victoria"," 7","Ingonish Beach",49,20,0,21,1,14,52,4,161,330
12010,"Sydney--Victoria/Sydney--Victoria"," 8","Little River",52,22,1,11,2,28,60,0,176,290
12010,"Sydney--Victoria/Sydney--Victoria"," 9","New Waterford",46,5,2,8,1,46,54,4,166,418
12010,"Sydney--Victoria/Sydney--Victoria"," 10","Lingan",55,12,1,13,1,73,61,1,217,356
12010,"Sydney--Victoria/Sydney--Victoria"," 11","New Waterford",40,7,0,9,1,39,67,7,170,349
12010,"Sydney--Victoria/Sydney--Victoria"," 12","New Waterford",55,8,2,12,3,47,62,0,189,425
12010,"Sydney--Victoria/Sydney--Victoria"," 13","New Waterford",50,8,2,14,4,48,39,4,169,395
12010,"Sydney--Victoria/Sydney--Victoria"," 14","New Waterford",37,10,2,14,2,40,47,2,154,348
12010,"Sydney--Victoria/Sydney--Victoria"," 15","New Victoria",53,7,3,20,6,47,66,1,203,417
12010,"Sydney--Victoria/Sydney--Victoria"," 16","New Waterford",49,12,2,12,2,34,68,4,183,397
12010,"Sydney--Victoria/Sydney--Victoria"," 17","New Waterford",36,7,3,9,4,52,49,2,162,326
12010,"Sydney--Victoria/Sydney--Victoria"," 18","New Waterford",64,5,2,8,0,51,61,0,191,439
12010,"Sydney--Victoria/Sydney--Victoria"," 19","New Waterford",70,16,2,26,2,54,66,0,236,409
12010,"Sydney--Victoria/Sydney--Victoria"," 20","New Waterford",36,12,3,10,3,53,54,2,173,367
12010,"Sydney--Victoria/Sydney--Victoria"," 21","New Waterford",52,9,0,10,4,46,50,0,171,389
12010,"Sydney--Victoria/Sydney--Victoria"," 22","New Waterford",35,10,4,6,0,25,44,0,124,292
12010,"Sydney--Victoria/Sydney--Victoria"," 23","New Waterford",43,8,1,6,1,34,37,0,130,316
12010,"Sydney--Victoria/Sydney--Victoria"," 24","Alder Point",24,2,0,59,0,14,57,1,157,337
12010,"Sydney--Victoria/Sydney--Victoria"," 25","Little Bras d'Or South Side",26,4,1,52,0,15,53,4,155,283
12010,"Sydney--Victoria/Sydney--Victoria"," 26","Sydney Mines",17,2,0,88,0,12,45,0,164,383
12010,"Sydney--Victoria/Sydney--Victoria"," 27","Sydney Mines",29,1,11,52,1,10,39,0,143,346
12010,"Sydney--Victoria/Sydney--Victoria"," 28","Sydney Mines",28,1,2,94,0,14,47,2,188,495
12010,"Sydney--Victoria/Sydney--Victoria"," 29","Sydney Mines",22,5,0,59,0,22,49,2,159,374
12010,"Sydney--Victoria/Sydney--Victoria"," 30","Sydney Mines",29,2,0,65,1,14,57,2,170,417
12010,"Sydney--Victoria/Sydney--Victoria"," 31","Point Aconi",23,5,0,56,2,11,50,6,153,323
12010,"Sydney--Victoria/Sydney--Victoria"," 32","Mill Creek",15,3,0,45,0,8,24,2,97,203
12010,"Sydney--Victoria/Sydney--Victoria"," 33","Bras d'Or",34,7,0,56,0,22,28,2,149,336
12010,"Sydney--Victoria/Sydney--Victoria"," 34","Cape Breton",31,6,0,49,3,23,51,1,164,288
12010,"Sydney--Victoria/Sydney--Victoria"," 35","New Victoria",59,7,2,13,2,36,33,2,154,297
12010,"Sydney--Victoria/Sydney--Victoria"," 36","New Victoria",40,12,0,14,6,44,40,2,158,309
12010,"Sydney--Victoria/Sydney--Victoria"," 37","Scotchtown",29,8,4,5,2,32,29,5,114,262
12010,"Sydney--Victoria/Sydney--Victoria"," 38","Scotchtown",31,7,2,9,2,43,64,4,162,375
12010,"Sydney--Victoria/Sydney--Victoria"," 39","Scotchtown",48,7,1,8,1,32,65,5,167,384
12010,"Sydney--Victoria/Sydney--Victoria"," 40","Scotchtown",41,9,1,4,0,36,34,0,125,281
12010,"Sydney--Victoria/Sydney--Victoria"," 41","Grand Lake Road",38,12,1,11,3,59,50,1,175,368
12010,"Sydney--Victoria/Sydney--Victoria"," 42","Florence",12,7,0,65,0,18,23,2,127,269
12010,"Sydney--Victoria/Sydney--Victoria"," 43","Florence",17,0,0,64,0,16,30,0,127,292
12010,"Sydney--Victoria/Sydney--Victoria"," 44","Florence",28,6,0,61,1,18,43,3,160,373
12010,"Sydney--Victoria/Sydney--Victoria"," 45","Bras d'Or",22,1,0,47,0,14,34,1,119,261
12010,"Sydney--Victoria/Sydney--Victoria"," 46","Florence",21,3,0,58,1,13,29,1,126,292
12010,"Sydney--Victoria/Sydney--Victoria"," 47","Englishtown",28,5,0,17,4,17,8,2,81,171
12010,"Sydney--Victoria/Sydney--Victoria"," 48","Sydney Mines",42,0,0,74,4,38,64,4,226,447
12010,"Sydney--Victoria/Sydney--Victoria"," 49","Sydney Mines",44,11,0,59,0,0,59,0,173,468
12010,"Sydney--Victoria/Sydney--Victoria"," 50","Sydney Mines",39,6,1,69,2,31,64,0,212,433
12010,"Sydney--Victoria/Sydney--Victoria"," 51","Sydney Mines",21,3,0,97,1,17,47,6,192,417
12010,"Sydney--Victoria/Sydney--Victoria"," 52","Sydney Mines",25,2,2,88,0,32,48,9,206,416
12010,"Sydney--Victoria/Sydney--Victoria"," 53","Sydney Mines",43,7,0,36,0,23,61,9,179,408
12010,"Sydney--Victoria/Sydney--Victoria"," 54","Sydney Mines",33,2,0,88,0,19,74,2,218,421
12010,"Sydney--Victoria/Sydney--Victoria"," 55","Millville Boularderie",44,12,1,58,4,24,60,4,207,362
12010,"Sydney--Victoria/Sydney--Victoria"," 56","Hillside Boularderie",46,13,0,48,0,13,57,0,177,355
12010,"Sydney--Victoria/Sydney--Victoria"," 57","South Bar",65,8,1,20,2,43,29,0,168,264
12010,"Sydney--Victoria/Sydney--Victoria"," 58","South Bar",46,12,0,11,8,48,46,3,174,331
12010,"Sydney--Victoria/Sydney--Victoria"," 59","Gannon Road",27,2,0,60,1,11,53,0,154,311
12010,"Sydney--Victoria/Sydney--Victoria"," 60","North Sydney",23,5,0,63,2,15,43,0,151,340
12010,"Sydney--Victoria/Sydney--Victoria"," 61","North Sydney",21,4,0,42,0,10,43,3,123,346
12010,"Sydney--Victoria/Sydney--Victoria"," 62","Lingan Road",72,17,1,26,4,40,45,3,208,385
12010,"Sydney--Victoria/Sydney--Victoria"," 63","Big Bras d'Or",64,11,0,65,1,35,66,5,247,408
12010,"Sydney--Victoria/Sydney--Victoria"," 64","Sydney",59,10,1,11,2,48,37,6,174,351
12010,"Sydney--Victoria/Sydney--Victoria"," 65","Sydney",66,11,1,15,0,34,25,3,155,388
12010,"Sydney--Victoria/Sydney--Victoria"," 66","Sydney",37,3,0,21,1,47,28,1,138,345
12010,"Sydney--Victoria/Sydney--Victoria"," 67","North Sydney",65,7,2,47,0,34,80,5,240,516
12010,"Sydney--Victoria/Sydney--Victoria"," 68","Sydney",53,7,0,15,5,52,42,2,176,366
12010,"Sydney--Victoria/Sydney--Victoria"," 69","Sydney",63,11,1,17,3,48,27,6,176,352
12010,"Sydney--Victoria/Sydney--Victoria"," 70","Sydney",49,7,1,14,5,52,40,4,172,367
12010,"Sydney--Victoria/Sydney--Victoria"," 71","Sydney",41,9,0,13,3,51,35,3,155,334
12010,"Sydney--Victoria/Sydney--Victoria"," 72","Sydney",39,9,0,17,5,47,25,2,144,335
12010,"Sydney--Victoria/Sydney--Victoria"," 73","Sydney",36,8,3,11,5,58,31,4,156,359
12010,"Sydney--Victoria/Sydney--Victoria"," 74","Sydney",53,5,1,17,6,45,21,2,150,352
12010,"Sydney--Victoria/Sydney--Victoria"," 75","Sydney",49,4,1,21,4,46,49,2,176,375
12010,"Sydney--Victoria/Sydney--Victoria"," 76","Sydney",48,18,3,9,4,34,26,2,144,349
12010,"Sydney--Victoria/Sydney--Victoria"," 77","Sydney",32,11,0,10,1,32,27,2,115,344
12010,"Sydney--Victoria/Sydney--Victoria"," 78","Sydney",49,7,2,17,0,56,33,1,165,361
12010,"Sydney--Victoria/Sydney--Victoria"," 79","Sydney",49,7,1,19,1,30,28,0,135,294
12010,"Sydney--Victoria/Sydney--Victoria"," 80","Sydney",33,8,0,12,1,24,26,1,105,324
12010,"Sydney--Victoria/Sydney--Victoria"," 81","Sydney",49,12,0,11,1,35,38,0,146,348
