Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ramandeep Brar,Karen Fraser,Rajwinder Ghuman,Mitesh Joshi,Mandeep Kaur,Wavey Mercer,Sonia Sidhu,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Brampton South/Brampton-Sud"," 58","Brampton",79,14,0,1,27,2,87,0,1,211,458
35011,"Brampton South/Brampton-Sud"," 59","Brampton",82,16,3,0,34,2,86,0,4,227,381
35011,"Brampton South/Brampton-Sud"," 60","Brampton",97,15,2,0,44,2,108,0,5,273,459
35011,"Brampton South/Brampton-Sud"," 61","Brampton",72,12,0,0,20,0,88,1,6,199,523
35011,"Brampton South/Brampton-Sud"," 62","Brampton",64,9,2,0,38,1,101,0,5,220,464
35011,"Brampton South/Brampton-Sud"," 63","Brampton",77,10,1,0,50,2,87,0,5,232,538
35011,"Brampton South/Brampton-Sud"," 64","Brampton",89,15,0,1,24,0,109,0,1,239,420
35011,"Brampton South/Brampton-Sud"," 65","Brampton",82,11,5,0,35,4,108,0,0,245,384
35011,"Brampton South/Brampton-Sud"," 66","Brampton",36,5,4,0,16,1,81,1,0,144,355
35011,"Brampton South/Brampton-Sud"," 67","Brampton",36,5,1,0,35,0,126,2,4,209,458
35011,"Brampton South/Brampton-Sud"," 68","Brampton",48,6,1,2,26,1,138,1,4,227,566
35011,"Brampton South/Brampton-Sud"," 69","Brampton",40,5,0,0,18,1,95,0,4,163,410
35011,"Brampton South/Brampton-Sud"," 70","Brampton",48,6,2,0,31,0,96,1,6,190,505
35011,"Brampton South/Brampton-Sud"," 71","Brampton",43,4,2,2,46,1,92,2,2,194,496
35011,"Brampton South/Brampton-Sud"," 72","Brampton",58,10,0,2,26,2,103,0,3,204,462
35011,"Brampton South/Brampton-Sud"," 73","Brampton",59,10,3,0,33,0,107,1,3,216,499
35011,"Brampton South/Brampton-Sud"," 74","Brampton",62,12,5,1,35,2,134,2,7,260,532
35011,"Brampton South/Brampton-Sud"," 75","Brampton",73,13,2,0,44,0,120,0,3,255,540
35011,"Brampton South/Brampton-Sud"," 76","Brampton",64,6,6,0,48,4,87,0,2,217,528
35011,"Brampton South/Brampton-Sud"," 77","Brampton",63,6,0,0,29,0,159,0,4,261,551
35011,"Brampton South/Brampton-Sud"," 78","Brampton",27,0,0,0,26,0,87,0,0,140,373
35011,"Brampton South/Brampton-Sud"," 79A","Brampton",36,8,1,0,13,1,84,1,2,146,316
35011,"Brampton South/Brampton-Sud"," 79B","Brampton",24,3,4,0,11,1,92,0,6,141,304
35011,"Brampton South/Brampton-Sud"," 80","Brampton",55,8,2,0,18,0,121,2,9,215,498
35011,"Brampton South/Brampton-Sud"," 81","Brampton",30,2,1,1,24,0,70,0,0,128,375
35011,"Brampton South/Brampton-Sud"," 82","Brampton",37,2,0,2,31,0,100,0,1,173,479
35011,"Brampton South/Brampton-Sud"," 83","Brampton",41,5,0,0,27,2,80,0,0,155,371
35011,"Brampton South/Brampton-Sud"," 84","Brampton",35,6,2,1,37,0,99,0,3,183,385
35011,"Brampton South/Brampton-Sud"," 85","Brampton",52,12,1,0,28,0,93,0,0,186,430
35011,"Brampton South/Brampton-Sud"," 86","Brampton",51,8,2,2,33,2,100,0,1,199,392
35011,"Brampton South/Brampton-Sud"," 87","Brampton",31,9,1,0,33,0,124,0,4,202,436
35011,"Brampton South/Brampton-Sud"," 88","Brampton",53,6,2,0,41,4,89,0,0,195,437
35011,"Brampton South/Brampton-Sud"," 89","Brampton",36,5,3,0,27,4,94,0,3,172,373
35011,"Brampton South/Brampton-Sud"," 90","Brampton",40,7,1,0,34,1,136,0,7,226,508
35011,"Brampton South/Brampton-Sud"," 91","Brampton",54,4,4,0,35,1,119,0,1,218,515
35011,"Brampton South/Brampton-Sud"," 92","Brampton",61,4,2,0,30,0,112,0,2,211,538
35011,"Brampton South/Brampton-Sud"," 93","Brampton",64,14,0,0,24,3,104,0,2,211,486
35011,"Brampton South/Brampton-Sud"," 94","Brampton",61,11,3,2,72,4,142,0,8,303,551
35011,"Brampton South/Brampton-Sud"," 95A","Brampton",33,8,0,1,25,0,84,0,3,154,350
35011,"Brampton South/Brampton-Sud"," 95B","Brampton",48,0,0,0,38,1,73,0,1,161,357
35011,"Brampton South/Brampton-Sud"," 96","Brampton",66,5,4,0,44,0,138,0,5,262,612
35011,"Brampton South/Brampton-Sud"," 97A","Brampton",82,7,0,1,15,17,53,0,4,179,258
35011,"Brampton South/Brampton-Sud"," 97B","Brampton",89,11,0,2,4,17,63,0,4,190,263
35011,"Brampton South/Brampton-Sud"," 98","Brampton",45,6,2,0,57,0,91,0,1,202,470
35011,"Brampton South/Brampton-Sud"," 99","Brampton",43,3,2,0,48,0,120,0,0,216,559
35011,"Brampton South/Brampton-Sud"," 100","Brampton",33,3,0,2,54,0,94,0,5,191,472
35011,"Brampton South/Brampton-Sud"," 101","Brampton",28,6,0,1,39,0,79,0,1,154,463
35011,"Brampton South/Brampton-Sud"," 102","Brampton",41,6,1,0,59,1,105,0,1,214,605
35011,"Brampton South/Brampton-Sud"," 103","Brampton",126,12,0,1,5,13,50,2,5,214,277
35011,"Brampton South/Brampton-Sud"," 104","Brampton",58,5,2,0,35,0,110,0,2,212,472
35011,"Brampton South/Brampton-Sud"," 105","Brampton",24,5,0,0,20,4,138,1,1,193,393
35011,"Brampton South/Brampton-Sud"," 106","Brampton",50,1,0,1,41,2,94,1,1,191,398
35011,"Brampton South/Brampton-Sud"," 107","Brampton",43,0,2,0,33,0,76,1,2,157,359
35011,"Brampton South/Brampton-Sud"," 108","Brampton",27,3,0,0,29,1,80,0,3,143,390
35011,"Brampton South/Brampton-Sud"," 109","Brampton",45,4,0,0,43,1,95,0,3,191,421
35011,"Brampton South/Brampton-Sud"," 110","Brampton",31,3,1,1,38,1,116,0,0,191,439
35011,"Brampton South/Brampton-Sud"," 111","Brampton",75,5,0,0,39,0,90,0,0,209,510
35011,"Brampton South/Brampton-Sud"," 112","Brampton",90,5,0,0,59,0,117,0,2,273,560
35011,"Brampton South/Brampton-Sud"," 113A","Brampton",30,5,0,1,43,0,106,0,4,189,374
35011,"Brampton South/Brampton-Sud"," 113B","Brampton",41,4,1,2,42,2,91,0,0,183,355
