Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Everaert,Marilyn Gladu,Adam Kilner,Thomas Laird,Carmen Lemieux,Peter Robert Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sarnia--Lambton/Sarnia--Lambton"," 505","Mobile poll/Bureau itinérant",1,42,10,5,37,2,4,101,162
35091,"Sarnia--Lambton/Sarnia--Lambton"," 506","Mobile poll/Bureau itinérant",4,46,12,1,34,4,3,104,135
35091,"Sarnia--Lambton/Sarnia--Lambton"," 507","Mobile poll/Bureau itinérant",3,69,4,1,21,4,2,104,144
35091,"Sarnia--Lambton/Sarnia--Lambton"," 508","Mobile poll/Bureau itinérant",0,38,5,3,18,4,0,68,124
35091,"Sarnia--Lambton/Sarnia--Lambton"," 600","Plympton-Wyoming",22,454,87,21,96,41,1,722,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 601","Sarnia",26,786,220,4,449,84,3,1572,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 602","Sarnia",9,340,86,3,170,34,4,646,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 603","Sarnia",10,307,107,1,172,21,2,620,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 604","Sarnia",16,456,131,3,212,48,3,869,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 605","Sarnia",8,376,142,4,259,37,2,828,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 606","Sarnia",5,269,119,3,115,26,5,542,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 607","Sarnia",23,435,131,2,227,25,2,845,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 608","Sarnia",17,325,112,3,106,24,2,589,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 609","Sarnia",4,142,65,3,70,22,3,309,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 610","Sarnia",10,257,118,7,158,27,4,581,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 611","Sarnia",9,393,66,10,127,21,0,626,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 612","St. Clair",25,646,154,3,149,36,7,1020,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 613","Petrolia",35,784,125,5,177,54,8,1188,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 614","St. Clair",41,459,64,5,119,25,4,717,
35091,"Sarnia--Lambton/Sarnia--Lambton",,Group 1/Groupe 1, 1,31,23,0,64,15,6,140,193
35091,"Sarnia--Lambton/Sarnia--Lambton",,Group 2/Groupe 2, 39,867,356,10,490,106,25,1893,
