Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,George Canyon,Sean Fraser,Chris Frazer,Betsy MacDonald,Al Muir,Barry Randle,Michael Slowik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 93","New Glasgow",37,56,1,19,3,9,1,0,126,282
12002,"Central Nova/Nova-Centre"," 94","East River St. Mary's",26,28,1,4,0,6,0,2,67,89
12002,"Central Nova/Nova-Centre"," 95","New Glasgow",40,65,0,14,4,5,1,0,129,315
12002,"Central Nova/Nova-Centre"," 96","New Glasgow",30,64,0,20,1,8,4,1,128,317
12002,"Central Nova/Nova-Centre"," 97","Thorburn",41,49,0,15,3,3,0,2,113,243
12002,"Central Nova/Nova-Centre"," 98","McLellan Mountain",67,79,0,28,10,5,1,2,192,414
12002,"Central Nova/Nova-Centre"," 99","New Glasgow",13,62,1,18,5,15,0,0,114,310
12002,"Central Nova/Nova-Centre"," 100","New Glasgow",38,72,1,29,2,19,0,1,162,405
12002,"Central Nova/Nova-Centre"," 101","New Glasgow",55,67,1,22,4,7,0,0,156,337
12002,"Central Nova/Nova-Centre"," 102","Loch Broom",59,91,1,35,10,19,3,0,218,444
12002,"Central Nova/Nova-Centre"," 103","Alma",41,51,0,13,10,3,1,1,120,208
12002,"Central Nova/Nova-Centre"," 104","Blue Mountain",16,29,1,9,6,4,0,1,66,133
12002,"Central Nova/Nova-Centre"," 105","Goshen",84,64,1,14,0,12,1,6,182,255
12002,"Central Nova/Nova-Centre"," 106","Stellarton",49,100,0,25,2,9,1,2,188,354
12002,"Central Nova/Nova-Centre"," 107","New Glasgow",82,115,0,37,6,12,1,3,256,482
12002,"Central Nova/Nova-Centre"," 108","Mount William",78,84,1,31,8,18,1,2,223,476
12002,"Central Nova/Nova-Centre"," 109","Plymouth",61,83,1,14,13,11,0,1,184,398
12002,"Central Nova/Nova-Centre"," 110","Stellarton",35,34,1,22,1,9,0,0,102,243
