Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Barton,Kayley Kennedy,Stephen Kotze,Scott Reid,Satinka Schilling,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 1","Mississippi Mills",1,36,16,193,28,1,275,424
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 2","Mississippi Mills",9,70,29,148,38,3,297,494
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 3","Mississippi Mills",12,69,30,141,38,1,291,437
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 4","Mississippi Mills",6,29,24,167,35,0,261,423
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 5","Mississippi Mills",9,117,44,236,59,0,465,879
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 6","Mississippi Mills",3,57,13,84,37,3,197,336
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 7","Mississippi Mills",2,33,37,106,22,0,200,410
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 8","Mississippi Mills",1,57,34,66,28,2,188,374
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 9","Mississippi Mills",6,70,31,79,28,1,215,393
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 10","Mississippi Mills",3,54,9,86,25,0,177,405
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 11","Mississippi Mills",2,69,18,91,18,1,199,414
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 12","Mississippi Mills",2,32,19,68,31,2,154,368
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 13","Mississippi Mills",5,45,24,57,22,3,156,348
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 14","Mississippi Mills",5,41,28,64,39,1,178,382
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 15","Mississippi Mills",4,83,29,105,33,0,254,423
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 16","Mississippi Mills",8,66,38,107,55,6,280,558
