Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Day,Estelle Hjertaas,Randy Hoback,Harmony Johnson-Harder,Brian Littlepine,Kerri Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert/Prince Albert"," 1","Paddockwood",7,20,200,28,0,9,1,265,434
47006,"Prince Albert/Prince Albert"," 2","Spruce Home",10,17,150,37,0,8,2,224,329
47006,"Prince Albert/Prince Albert"," 3","Albertville",8,12,187,17,2,5,2,233,366
47006,"Prince Albert/Prince Albert"," 4","Meath Park",6,15,213,33,0,6,0,273,461
47006,"Prince Albert/Prince Albert"," 5","Kalyna",2,8,126,16,1,4,0,157,265
47006,"Prince Albert/Prince Albert"," 6","Shellbrook",1,14,212,10,1,2,0,240,450
47006,"Prince Albert/Prince Albert"," 7","Shellbrook",4,16,172,21,0,2,0,215,349
47006,"Prince Albert/Prince Albert"," 8","Shellbrook",4,8,100,12,0,1,4,129,247
47006,"Prince Albert/Prince Albert"," 9","Shellbrook",7,13,225,36,1,6,1,289,541
47006,"Prince Albert/Prince Albert"," 10","Holbein",8,20,195,42,1,11,0,277,423
47006,"Prince Albert/Prince Albert"," 11","Wahpeton 94A",3,10,80,18,0,4,0,115,197
47006,"Prince Albert/Prince Albert"," 12","White Star",2,8,159,19,0,0,2,190,357
47006,"Prince Albert/Prince Albert"," 13","Red Wing",10,24,251,45,0,6,1,337,593
47006,"Prince Albert/Prince Albert"," 14","Wahpeton 94A",0,57,3,23,8,2,1,94,135
47006,"Prince Albert/Prince Albert"," 15","Shipman",5,10,141,12,0,0,2,170,298
47006,"Prince Albert/Prince Albert"," 16","Choiceland",2,9,67,19,0,1,1,99,286
47006,"Prince Albert/Prince Albert"," 17","Garrick",7,6,99,16,0,1,0,129,238
47006,"Prince Albert/Prince Albert"," 18","Prince Albert",11,32,269,65,2,8,3,390,678
47006,"Prince Albert/Prince Albert"," 19","Buckland",2,35,240,54,1,7,0,339,580
47006,"Prince Albert/Prince Albert"," 20","Prince Albert",5,28,93,80,2,8,0,216,553
47006,"Prince Albert/Prince Albert"," 21","Prince Albert",4,37,88,48,1,3,1,182,450
47006,"Prince Albert/Prince Albert"," 22","Prince Albert",8,30,122,56,1,3,1,221,562
47006,"Prince Albert/Prince Albert"," 23","Prince Albert",6,36,103,31,0,5,1,182,471
47006,"Prince Albert/Prince Albert"," 24","Prince Albert",3,34,69,22,1,4,1,134,266
47006,"Prince Albert/Prince Albert"," 25","White Fox",5,4,130,18,1,4,1,163,303
47006,"Prince Albert/Prince Albert"," 26","Cherry Ridge",1,5,157,12,0,3,1,179,276
47006,"Prince Albert/Prince Albert"," 27","Prince Albert",7,36,58,54,4,6,1,166,467
47006,"Prince Albert/Prince Albert"," 28","Prince Albert",9,21,54,33,1,3,1,122,352
47006,"Prince Albert/Prince Albert"," 29","Prince Albert",3,22,36,43,2,4,1,111,369
47006,"Prince Albert/Prince Albert"," 30","Prince Albert",6,34,53,49,1,3,1,147,447
47006,"Prince Albert/Prince Albert"," 31","Prince Albert",2,31,121,50,1,3,2,210,448
47006,"Prince Albert/Prince Albert"," 32","Prince Albert",5,25,92,51,0,5,1,179,431
47006,"Prince Albert/Prince Albert"," 33","Prince Albert",4,37,119,51,0,6,1,218,454
47006,"Prince Albert/Prince Albert"," 34","Prince Albert",7,29,45,58,3,4,0,146,402
