Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ray Aldinger,Jordan Ames-Sinclair,Dale Dewar,Éric Normand,James Plummer,Andrew Scheer,Tracey Sparrowhawk,Kieran Szuchewycz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 48","Edenwold",18,10,4,1,0,153,1,0,1,188,312
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 49","Abernethy",18,14,5,1,0,144,2,1,1,186,339
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 50","Edgeley",15,4,12,0,0,128,2,0,6,167,250
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 51A","Regina",52,31,3,1,1,91,3,0,0,182,384
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 51B","Regina",20,17,4,0,0,36,0,0,0,77,230
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 52A","Regina",92,42,13,0,0,242,5,0,3,397,538
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 52B","Regina",Merged with No./Fusionné avec le n°51B,,,,,,,,,,187
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 53","Regina",43,27,6,0,0,104,3,1,1,185,333
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 54","Regina",83,27,14,0,0,146,6,2,2,280,538
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55","Regina",55,18,7,0,1,146,1,1,5,234,460
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 56","Regina",43,13,2,0,0,132,2,1,1,194,421
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 57","Regina",50,18,5,0,0,145,3,2,0,223,366
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 58","Regina",29,12,4,0,0,131,2,0,0,178,331
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 59","Regina",39,21,3,1,1,108,1,0,1,175,368
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60","Regina",60,22,7,0,0,96,2,0,0,187,369
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 61","Regina",67,33,6,0,2,159,4,0,3,274,473
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 62","Regina",50,27,8,0,1,123,1,0,2,212,405
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 63","Regina",60,21,5,1,2,170,3,0,2,264,470
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 64","Regina",65,19,2,0,0,125,7,1,1,220,397
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65","Regina",52,18,4,0,0,121,2,1,0,198,431
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 66","Regina",44,25,4,1,0,98,4,0,3,179,352
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 67","Regina",46,35,6,1,3,133,3,2,5,234,364
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 68","Regina",55,35,4,0,0,135,4,0,0,233,374
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 69","Regina",58,25,2,0,2,120,3,0,0,210,380
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 70","Regina",33,46,2,1,0,99,1,0,3,185,346
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 71","Regina",28,36,4,0,0,53,1,1,0,123,337
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 72","Pilot Butte",24,16,4,0,2,209,1,1,0,257,409
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73A","Pilot Butte",Merged with No./Fusionné avec le n°73G,,,,,,,,,,63
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73B","Pilot Butte",Merged with No./Fusionné avec le n°75,,,,,,,,,,50
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73C","Pilot Butte",Merged with No./Fusionné avec le n°73G,,,,,,,,,,26
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73D","Pilot Butte",Merged with No./Fusionné avec le n°75,,,,,,,,,,50
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73E","Pilot Butte",Merged with No./Fusionné avec le n°73G,,,,,,,,,,70
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73F","Pilot Butte",Merged with No./Fusionné avec le n°75,,,,,,,,,,25
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73G","Pilot Butte",50,15,7,2,1,259,4,0,2,340,384
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 74","Pilot Butte",36,8,4,0,1,199,1,0,1,250,460
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 75","Pilot Butte",26,11,4,1,0,126,3,0,1,172,341
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 76","Pilot Butte",38,6,3,0,1,163,5,0,1,217,526
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 77","Pilot Butte",22,9,3,1,0,183,0,0,0,218,373
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 78","Regina",48,17,9,0,0,159,3,2,3,241,471
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 79","Regina",34,21,6,0,1,121,0,2,1,186,413
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 80","Regina",43,31,7,1,0,126,2,0,1,211,467
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 81","Regina",56,20,8,0,0,97,5,1,0,187,411
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 82","Regina",41,21,4,0,0,128,2,1,3,200,434
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 83","Regina",69,24,2,0,1,125,0,0,2,223,350
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 84","Regina",67,22,7,1,0,120,4,0,0,221,435
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 85","Regina",62,38,10,1,1,90,5,4,1,212,483
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 86","Regina",64,39,13,1,1,52,3,2,3,178,498
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 87","Regina",64,23,6,1,0,132,0,3,0,229,425
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 88","Regina",70,29,10,0,0,120,3,0,0,232,494
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 89","Regina",47,26,11,2,1,123,5,2,0,217,398
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 90","Regina",67,28,8,1,0,79,7,0,3,193,437
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 91","Regina",45,18,10,0,0,120,3,0,0,196,456
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 92","Regina",70,25,16,1,1,128,4,0,0,245,465
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 93","Regina",70,39,11,0,1,142,6,1,3,273,455
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 94","Regina",64,27,4,0,0,111,2,0,0,208,418
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 95","Regina",35,26,10,0,0,93,1,0,2,167,425
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 96","Regina",32,18,4,0,0,89,6,1,0,150,418
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 97","Regina",66,26,5,1,0,110,6,0,3,217,453
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 98","Regina",43,16,8,0,0,97,0,0,0,164,422
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 99","Regina",51,18,6,0,2,68,1,0,1,147,429
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 100","Regina",49,21,11,0,0,78,2,0,1,162,450
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 101","Regina",37,10,0,0,1,60,5,0,1,114,423
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 102","Regina",48,15,13,2,2,79,9,1,1,170,384
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 103","Regina",37,15,1,1,1,43,2,0,0,100,400
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 104","Regina",45,25,5,0,0,51,6,0,1,133,422
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 105","Regina",34,12,8,0,0,41,5,0,2,102,330
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 106","Regina",47,28,6,1,2,62,3,0,1,150,414
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 107","Regina",55,18,8,0,0,63,5,0,1,150,398
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 108","Regina",39,25,10,0,2,69,7,2,0,154,429
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 109","Regina",51,25,10,0,0,81,3,1,3,174,496
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 110","Regina",41,22,7,1,0,46,5,0,1,123,430
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 111","Regina",27,18,1,0,2,36,5,0,0,89,244
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 112","Regina",36,17,2,1,1,56,4,0,0,117,466
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 113","Regina",64,25,10,1,0,49,9,1,0,159,473
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 114","Regina",34,19,6,0,1,23,1,0,1,85,442
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 115","Regina",54,25,11,1,1,41,4,0,3,140,549
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 116","Regina",56,14,7,0,1,60,3,0,2,143,424
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 117","Regina",67,30,6,0,2,38,1,1,0,145,395
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 118","Regina",72,32,9,0,0,28,2,1,0,144,376
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 119","Balgonie",23,14,5,1,1,221,2,1,1,269,428
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 120","Balgonie",37,8,8,2,0,223,3,1,4,286,420
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 121","Balgonie",40,12,4,0,0,248,3,1,3,311,438
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 122","Balgonie",46,22,5,0,2,203,1,1,0,280,433
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 123","Balgonie",24,9,9,0,0,129,2,0,0,173,314
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 124","Indian Head",43,27,13,0,1,200,2,1,3,290,365
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 125","Indian Head",32,12,9,0,0,191,2,0,0,246,388
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 126","Indian Head",51,16,13,0,0,184,2,0,2,268,401
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 127A","Indian Head",47,26,14,0,1,259,4,1,3,355,525
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 127B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506A,,,,,,,,,,21
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 128","McLean",38,11,4,0,1,276,2,1,7,340,492
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 129","White City",12,13,3,0,1,101,0,0,0,130,305
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 130","White City",20,17,2,0,1,135,2,1,0,178,352
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 131","White City",22,21,7,1,0,153,0,0,0,204,414
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 132","White City",21,9,4,0,0,171,2,0,0,207,408
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 133","White City",44,19,6,0,0,170,0,0,0,239,472
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 134","White City",30,21,4,0,0,131,0,0,0,186,392
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 135","White City",34,16,4,0,1,257,0,0,1,313,559
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 136","White City",28,7,3,0,0,160,2,0,0,200,400
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 137","White City",32,14,3,0,0,220,1,2,3,275,562
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 138","Qu'Appelle",22,8,7,1,0,105,3,0,1,147,336
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 139","Qu'Appelle",26,5,6,0,1,166,3,0,3,210,423
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 140","Sintaluta",8,6,4,0,0,109,2,0,0,129,247
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 141","Wolseley",27,25,18,1,0,194,4,0,0,269,370
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 142","Wolseley",12,14,8,0,1,148,2,0,0,185,226
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 500","Mobile poll/Bureau itinérant",4,5,9,0,1,20,2,0,4,45,39
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 501","Mobile poll/Bureau itinérant",6,7,1,0,1,22,2,0,4,43,18
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 502","Mobile poll/Bureau itinérant",4,15,0,1,0,17,2,0,1,40,49
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 503","Mobile poll/Bureau itinérant",4,13,2,1,1,13,1,0,0,35,25
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 504A","Mobile poll/Bureau itinérant",5,7,1,2,0,18,1,1,0,35,6
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 504B","Regina",Merged with No./Fusionné avec le n°54,,,,,,,,,,43
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 505","Mobile poll/Bureau itinérant",15,12,3,1,1,46,1,0,1,80,93
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 506A","Mobile poll/Bureau itinérant",9,6,1,0,0,27,0,0,0,43,33
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 506B","Regina",Merged with No./Fusionné avec le n°95,,,,,,,,,,6
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 507","Mobile poll/Bureau itinérant",2,10,2,0,1,44,1,0,5,65,73
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 600","Wynyard",46,18,20,0,1,348,2,1,2,438,
