Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josh Eisses,Gudie Hutchings,Lucas Knill,Robert Miles,Holly Pike,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 21","Forresters Point",115,107,3,3,19,0,247,395
10005,"Long Range Mountains/Long Range Mountains"," 22","Roddickton",90,50,5,1,9,0,155,388
10005,"Long Range Mountains/Long Range Mountains"," 23","Roddickton",107,52,5,0,14,2,180,359
10005,"Long Range Mountains/Long Range Mountains"," 24","Plum Point",61,59,2,1,11,5,139,163
10005,"Long Range Mountains/Long Range Mountains"," 25","Bird Cove",51,32,1,1,8,3,96,159
10005,"Long Range Mountains/Long Range Mountains"," 26","Englee",77,91,6,1,5,13,193,422
10005,"Long Range Mountains/Long Range Mountains"," 27","Shoal Cove",66,18,3,1,12,1,101,170
10005,"Long Range Mountains/Long Range Mountains"," 28","Castors River",51,79,4,1,22,0,157,301
10005,"Long Range Mountains/Long Range Mountains"," 29A","Port Saunders",79,78,4,3,24,4,192,426
10005,"Long Range Mountains/Long Range Mountains"," 29B","Mobile poll/Bureau itinérant",5,31,2,0,2,1,41,13
10005,"Long Range Mountains/Long Range Mountains"," 29C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°29B,,,,,,,27
10005,"Long Range Mountains/Long Range Mountains"," 30","Port Saunders",29,15,0,0,2,1,47,96
10005,"Long Range Mountains/Long Range Mountains"," 31","Hawke's Bay",85,51,3,1,12,2,154,232
10005,"Long Range Mountains/Long Range Mountains"," 32","Port au Choix",71,46,4,3,10,0,134,289
10005,"Long Range Mountains/Long Range Mountains"," 33","Port au Choix",58,76,2,0,9,3,148,339
10005,"Long Range Mountains/Long Range Mountains"," 34","River of Ponds",39,54,2,0,12,0,107,200
10005,"Long Range Mountains/Long Range Mountains"," 35","Jackson's Arm",24,82,2,1,12,4,125,249
10005,"Long Range Mountains/Long Range Mountains"," 36","Daniel's Harbour",59,86,2,3,21,0,171,335
10005,"Long Range Mountains/Long Range Mountains"," 37","Sop's Arm",30,34,0,0,4,1,69,108
10005,"Long Range Mountains/Long Range Mountains"," 38","Parson's Pond",37,73,8,4,22,2,146,413
10005,"Long Range Mountains/Long Range Mountains"," 39A","Pollards Point",20,86,0,6,11,0,123,257
10005,"Long Range Mountains/Long Range Mountains"," 39B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,11
10005,"Long Range Mountains/Long Range Mountains"," 40","Cow Head",21,32,4,0,7,0,64,121
10005,"Long Range Mountains/Long Range Mountains"," 41","Cow Head",26,70,5,0,19,2,122,218
10005,"Long Range Mountains/Long Range Mountains"," 42","St. Paul's",32,37,4,1,17,3,94,209
10005,"Long Range Mountains/Long Range Mountains"," 43","Hampden",66,118,7,1,26,0,218,473
10005,"Long Range Mountains/Long Range Mountains"," 44","Rocky Harbour",41,117,2,2,23,1,186,394
10005,"Long Range Mountains/Long Range Mountains"," 45","Rocky Harbour",44,103,13,2,31,1,194,415
10005,"Long Range Mountains/Long Range Mountains"," 46","Cormack",79,87,3,1,40,0,210,497
10005,"Long Range Mountains/Long Range Mountains"," 47","Norris Point",45,148,8,1,24,0,226,450
10005,"Long Range Mountains/Long Range Mountains"," 48","Norris Point",6,44,1,1,11,0,63,124
10005,"Long Range Mountains/Long Range Mountains"," 49","Wiltondale",17,47,0,0,18,2,84,145
