Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tina Bains,Jeffrey Breti,Jaswinder Singh Dilawari,George Gidora,Kevin Pielak,Randeep Singh Sarai,Sarjit Singh Saran,John Werring,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Surrey Centre/Surrey-Centre"," 1","Surrey",61,3,6,0,2,48,51,9,3,183,474
59032,"Surrey Centre/Surrey-Centre"," 2","Surrey",59,2,3,1,1,59,47,26,0,198,480
59032,"Surrey Centre/Surrey-Centre"," 3","Surrey",55,1,4,0,2,59,46,21,0,188,464
59032,"Surrey Centre/Surrey-Centre"," 4","Surrey",36,3,6,0,0,68,50,18,1,182,483
59032,"Surrey Centre/Surrey-Centre"," 5","Surrey",33,0,4,0,1,72,41,10,0,161,531
59032,"Surrey Centre/Surrey-Centre"," 6","Surrey",50,1,5,0,6,63,41,16,3,185,582
59032,"Surrey Centre/Surrey-Centre"," 7","Surrey",42,0,4,0,1,72,52,12,2,185,464
59032,"Surrey Centre/Surrey-Centre"," 8","Surrey",51,0,6,1,0,78,65,24,0,225,529
59032,"Surrey Centre/Surrey-Centre"," 9","Surrey",75,1,1,1,0,87,71,14,4,254,555
59032,"Surrey Centre/Surrey-Centre"," 10","Surrey",67,2,11,0,0,98,79,12,4,273,487
59032,"Surrey Centre/Surrey-Centre"," 11","Surrey",23,1,1,1,1,51,45,7,6,136,409
59032,"Surrey Centre/Surrey-Centre"," 12","Surrey",37,1,3,0,1,93,52,3,5,195,467
59032,"Surrey Centre/Surrey-Centre"," 13","Surrey",57,4,4,0,3,50,41,14,1,174,438
59032,"Surrey Centre/Surrey-Centre"," 14","Surrey",74,1,0,0,1,58,64,17,0,215,469
59032,"Surrey Centre/Surrey-Centre"," 15","Surrey",57,0,6,1,2,64,61,17,4,212,466
59032,"Surrey Centre/Surrey-Centre"," 16","Surrey",65,1,6,0,0,64,40,24,0,200,414
59032,"Surrey Centre/Surrey-Centre"," 17","Surrey",36,0,7,0,2,34,23,11,0,113,425
59032,"Surrey Centre/Surrey-Centre"," 18","Surrey",61,2,1,1,4,72,45,22,2,210,563
59032,"Surrey Centre/Surrey-Centre"," 19","Surrey",56,0,0,0,0,49,45,17,1,168,392
59032,"Surrey Centre/Surrey-Centre"," 20","Surrey",24,0,3,0,1,56,44,14,0,142,512
59032,"Surrey Centre/Surrey-Centre"," 21","Surrey",58,1,4,0,2,71,30,13,0,179,494
59032,"Surrey Centre/Surrey-Centre"," 22","Surrey",29,1,3,1,2,53,33,15,0,137,458
59032,"Surrey Centre/Surrey-Centre"," 23","Surrey",22,1,4,0,1,67,65,8,6,174,478
59032,"Surrey Centre/Surrey-Centre"," 24","Surrey",25,1,2,0,0,79,66,12,5,190,530
59032,"Surrey Centre/Surrey-Centre"," 25","Surrey",53,1,0,1,3,73,46,7,1,185,464
59032,"Surrey Centre/Surrey-Centre"," 26","Surrey",52,2,3,0,2,68,64,17,2,210,444
59032,"Surrey Centre/Surrey-Centre"," 27","Surrey",32,1,2,1,4,48,61,20,5,174,512
59032,"Surrey Centre/Surrey-Centre"," 28","Surrey",53,2,8,1,2,71,64,7,3,211,545
59032,"Surrey Centre/Surrey-Centre"," 29","Surrey",55,0,2,0,0,71,52,14,2,196,467
59032,"Surrey Centre/Surrey-Centre"," 30","Surrey",61,2,1,1,4,91,54,13,0,227,462
59032,"Surrey Centre/Surrey-Centre"," 31","Surrey",30,0,0,1,1,81,57,16,1,187,489
59032,"Surrey Centre/Surrey-Centre"," 32","Surrey",25,1,4,0,0,38,32,10,0,110,347
59032,"Surrey Centre/Surrey-Centre"," 33","Surrey",30,0,8,1,3,47,46,7,3,145,426
59032,"Surrey Centre/Surrey-Centre"," 34","Surrey",32,2,0,0,1,21,23,5,2,86,314
59032,"Surrey Centre/Surrey-Centre"," 35","Surrey",51,0,8,1,2,47,36,7,0,152,472
59032,"Surrey Centre/Surrey-Centre"," 36","Surrey",47,2,4,1,1,44,44,9,2,154,491
59032,"Surrey Centre/Surrey-Centre"," 37","Surrey",26,2,0,1,0,59,40,5,0,133,387
59032,"Surrey Centre/Surrey-Centre"," 38","Surrey",32,1,4,1,2,43,44,10,0,137,506
59032,"Surrey Centre/Surrey-Centre"," 39","Surrey",31,0,0,0,3,36,23,8,1,102,395
59032,"Surrey Centre/Surrey-Centre"," 40","Surrey",15,2,2,4,0,28,37,12,0,100,404
59032,"Surrey Centre/Surrey-Centre"," 41","Surrey",19,0,2,1,0,27,24,4,0,77,307
59032,"Surrey Centre/Surrey-Centre"," 42","Surrey",75,0,9,0,0,63,45,15,0,207,485
59032,"Surrey Centre/Surrey-Centre"," 43","Surrey",81,0,7,0,6,70,42,19,1,226,488
59032,"Surrey Centre/Surrey-Centre"," 44","Surrey",46,1,1,1,3,72,66,13,1,204,467
59032,"Surrey Centre/Surrey-Centre"," 45","Surrey",69,1,9,0,1,47,56,20,3,206,398
59032,"Surrey Centre/Surrey-Centre"," 46","Surrey",34,0,2,0,1,29,38,13,4,121,420
59032,"Surrey Centre/Surrey-Centre"," 47","Surrey",39,2,5,0,2,25,25,1,0,99,361
59032,"Surrey Centre/Surrey-Centre"," 48","Surrey",56,2,2,0,2,58,58,8,4,190,617
59032,"Surrey Centre/Surrey-Centre"," 49","Surrey",66,2,6,0,2,70,58,19,1,224,441
59032,"Surrey Centre/Surrey-Centre"," 50","Surrey",43,1,4,0,0,78,65,10,3,204,533
59032,"Surrey Centre/Surrey-Centre"," 51","Surrey",44,0,2,0,0,79,54,4,3,186,557
59032,"Surrey Centre/Surrey-Centre"," 52","Surrey",62,3,4,1,2,44,55,9,2,182,502
59032,"Surrey Centre/Surrey-Centre"," 53","Surrey",52,0,3,1,4,43,67,6,4,180,465
59032,"Surrey Centre/Surrey-Centre"," 54","Surrey",42,0,4,0,1,47,29,7,0,130,339
59032,"Surrey Centre/Surrey-Centre"," 55","Surrey",31,3,4,0,3,34,40,12,0,127,344
59032,"Surrey Centre/Surrey-Centre"," 56","Surrey",45,1,0,1,2,62,52,8,1,172,456
59032,"Surrey Centre/Surrey-Centre"," 57","Surrey",56,1,3,0,2,61,59,16,3,201,491
59032,"Surrey Centre/Surrey-Centre"," 58","Surrey",44,0,5,0,3,49,57,16,0,174,474
59032,"Surrey Centre/Surrey-Centre"," 59","Surrey",62,0,9,0,1,83,83,19,0,257,828
59032,"Surrey Centre/Surrey-Centre"," 60","Surrey",36,0,0,0,1,46,60,9,0,152,416
59032,"Surrey Centre/Surrey-Centre"," 61","Surrey",34,0,5,2,4,48,32,9,2,136,496
59032,"Surrey Centre/Surrey-Centre"," 62","Surrey",54,0,5,1,4,61,42,11,2,180,545
59032,"Surrey Centre/Surrey-Centre"," 63","Surrey",37,0,3,0,1,67,52,7,1,168,457
59032,"Surrey Centre/Surrey-Centre"," 64","Surrey",30,0,1,0,1,80,58,9,0,179,448
59032,"Surrey Centre/Surrey-Centre"," 65","Surrey",29,1,5,0,1,85,55,2,1,179,489
59032,"Surrey Centre/Surrey-Centre"," 66","Surrey",37,3,3,1,3,82,75,8,2,214,461
59032,"Surrey Centre/Surrey-Centre"," 67","Surrey",40,0,2,0,0,54,61,17,1,175,428
59032,"Surrey Centre/Surrey-Centre"," 68","Surrey",55,0,1,1,1,52,62,11,0,183,473
59032,"Surrey Centre/Surrey-Centre"," 69","Surrey",43,3,4,0,4,94,52,5,2,207,494
59032,"Surrey Centre/Surrey-Centre"," 70","Surrey",24,1,1,0,0,72,38,9,0,145,471
59032,"Surrey Centre/Surrey-Centre"," 71","Surrey",62,2,4,1,4,79,70,22,6,250,525
59032,"Surrey Centre/Surrey-Centre"," 72","Surrey",74,0,1,2,1,55,65,16,0,214,438
59032,"Surrey Centre/Surrey-Centre"," 73","Surrey",73,1,4,0,5,65,60,12,1,221,464
59032,"Surrey Centre/Surrey-Centre"," 74","Surrey",45,0,2,0,2,38,43,10,3,143,321
59032,"Surrey Centre/Surrey-Centre"," 75","Surrey",51,1,2,0,4,55,67,19,2,201,657
59032,"Surrey Centre/Surrey-Centre"," 76","Surrey",79,2,2,0,2,49,55,23,0,212,545
59032,"Surrey Centre/Surrey-Centre"," 77","Surrey",85,3,5,0,2,42,45,17,1,200,584
59032,"Surrey Centre/Surrey-Centre"," 78","Surrey",43,2,1,1,1,32,27,8,4,119,454
59032,"Surrey Centre/Surrey-Centre"," 79","Surrey",37,1,1,0,3,40,33,6,0,121,411
59032,"Surrey Centre/Surrey-Centre"," 80","Surrey",71,0,3,1,1,53,55,9,6,199,515
59032,"Surrey Centre/Surrey-Centre"," 81","Surrey",61,2,1,2,0,66,65,9,0,206,622
