Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Jeffrey Gallagher,Bob Jonkman,Phil McColeman,Sabrina Sawyer,Danielle Takacs,John The Engineer Turmel,Dave Wrobel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 1","Brant",1,2,31,162,40,69,0,4,1,310,517
35013,"Brantford--Brant/Brantford--Brant"," 2","Brant",0,0,16,104,18,60,0,2,2,202,380
35013,"Brantford--Brant/Brantford--Brant"," 3","Brant",1,1,15,132,34,65,0,2,0,250,497
35013,"Brantford--Brant/Brantford--Brant"," 4","Brant",0,0,19,149,36,91,0,7,2,304,528
35013,"Brantford--Brant/Brantford--Brant"," 5","Brant",0,1,16,137,28,86,0,4,2,274,483
35013,"Brantford--Brant/Brantford--Brant"," 6","Brant",1,0,18,115,45,93,0,4,3,279,560
35013,"Brantford--Brant/Brantford--Brant"," 7","Brant",0,1,27,153,37,85,0,6,1,310,529
35013,"Brantford--Brant/Brantford--Brant"," 8","Brant",0,0,10,136,9,60,3,1,1,220,476
35013,"Brantford--Brant/Brantford--Brant"," 9","Brant",1,0,22,124,35,86,0,7,2,277,542
35013,"Brantford--Brant/Brantford--Brant"," 10","Brant",1,1,18,147,40,77,1,9,2,296,578
35013,"Brantford--Brant/Brantford--Brant"," 11","Brantford",0,2,14,109,53,95,1,6,2,282,573
35013,"Brantford--Brant/Brantford--Brant"," 12","Brantford",2,1,17,111,73,80,0,10,0,294,542
35013,"Brantford--Brant/Brantford--Brant"," 13","Brantford",0,3,7,68,74,78,0,4,2,236,509
35013,"Brantford--Brant/Brantford--Brant"," 14","Brantford",0,0,16,115,54,99,0,7,0,291,499
35013,"Brantford--Brant/Brantford--Brant"," 15","Brantford",0,2,13,94,51,91,0,4,2,257,495
35013,"Brantford--Brant/Brantford--Brant"," 16A","Brantford",1,1,10,76,35,48,0,5,0,176,342
35013,"Brantford--Brant/Brantford--Brant"," 16B","Brantford",0,0,13,61,33,83,0,3,2,195,332
35013,"Brantford--Brant/Brantford--Brant"," 17","Brantford",0,1,2,73,61,79,1,11,0,228,534
35013,"Brantford--Brant/Brantford--Brant"," 18","Brantford",0,2,9,125,66,95,0,4,3,304,543
35013,"Brantford--Brant/Brantford--Brant"," 19","Brantford",0,2,11,93,64,90,0,5,0,265,502
35013,"Brantford--Brant/Brantford--Brant"," 20","Brantford",0,3,14,76,63,61,1,7,1,226,454
35013,"Brantford--Brant/Brantford--Brant"," 21","Brantford",0,2,14,114,52,73,0,3,3,261,539
35013,"Brantford--Brant/Brantford--Brant"," 22","Brantford",0,1,8,64,34,72,0,3,0,182,451
35013,"Brantford--Brant/Brantford--Brant"," 23","Brant",0,0,19,109,29,58,0,1,0,216,446
35013,"Brantford--Brant/Brantford--Brant"," 24","Brant",1,0,19,69,47,87,0,5,0,228,435
35013,"Brantford--Brant/Brantford--Brant"," 25","Brant",0,0,24,117,42,73,0,4,2,262,473
35013,"Brantford--Brant/Brantford--Brant"," 26","Brant",0,5,27,130,43,103,1,4,1,314,610
