Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élisabeth Brière,Steve Côté,Pierre-Luc Dusseault,Claude Forgues,Edwin Moreno,Mathieu Morin,Hubert Richard,Dany Sévigny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Sherbrooke/Sherbrooke"," 182","Sherbrooke",61,0,75,64,1,11,1,16,2,231,418
24073,"Sherbrooke/Sherbrooke"," 183","Sherbrooke",70,1,54,48,2,6,0,20,9,210,479
24073,"Sherbrooke/Sherbrooke"," 184","Sherbrooke",74,1,47,48,2,10,0,19,5,206,394
24073,"Sherbrooke/Sherbrooke"," 185","Sherbrooke",67,1,70,31,4,5,0,18,8,204,514
24073,"Sherbrooke/Sherbrooke"," 186","Sherbrooke",54,0,49,45,5,7,0,27,4,191,417
24073,"Sherbrooke/Sherbrooke"," 187","Sherbrooke",68,2,54,49,3,14,0,48,2,240,553
24073,"Sherbrooke/Sherbrooke"," 188","Sherbrooke",39,0,87,35,4,7,1,11,0,184,436
24073,"Sherbrooke/Sherbrooke"," 189","Sherbrooke",56,1,56,53,4,19,0,16,6,211,451
24073,"Sherbrooke/Sherbrooke"," 190","Sherbrooke",72,0,68,50,4,15,0,29,2,240,465
24073,"Sherbrooke/Sherbrooke"," 191","Sherbrooke",46,0,34,40,1,9,0,9,2,141,338
24073,"Sherbrooke/Sherbrooke"," 192A","Sherbrooke",43,0,45,34,1,4,0,10,0,137,298
24073,"Sherbrooke/Sherbrooke"," 192B","Sherbrooke",61,0,44,38,0,3,0,10,3,159,311
24073,"Sherbrooke/Sherbrooke"," 193","Sherbrooke",71,2,86,61,0,11,0,44,3,278,502
24073,"Sherbrooke/Sherbrooke"," 194","Sherbrooke",60,0,63,64,3,20,0,25,2,237,479
24073,"Sherbrooke/Sherbrooke"," 195","Sherbrooke",47,2,78,68,1,10,0,28,5,239,499
24073,"Sherbrooke/Sherbrooke"," 196","Sherbrooke",74,1,56,73,1,13,0,28,2,248,441
24073,"Sherbrooke/Sherbrooke"," 197","Sherbrooke",56,0,70,64,3,12,0,24,4,233,456
24073,"Sherbrooke/Sherbrooke"," 400","Sherbrooke",25,2,7,7,0,0,0,1,8,50,88
24073,"Sherbrooke/Sherbrooke"," 401","Sherbrooke",85,2,21,40,0,1,1,20,15,185,289
24073,"Sherbrooke/Sherbrooke"," 402","Sherbrooke",22,0,6,8,1,0,0,6,2,45,172
24073,"Sherbrooke/Sherbrooke"," 403","Sherbrooke",57,1,20,19,1,1,1,11,5,116,90
24073,"Sherbrooke/Sherbrooke"," 404","Sherbrooke",28,0,10,19,0,1,0,6,8,72,103
24073,"Sherbrooke/Sherbrooke"," 405","Sherbrooke",61,0,15,24,1,0,0,16,14,131,189
24073,"Sherbrooke/Sherbrooke"," 406","Sherbrooke",16,2,4,5,0,1,0,8,1,37,105
24073,"Sherbrooke/Sherbrooke"," 407","Sherbrooke",23,0,7,15,0,0,1,7,0,53,70
24073,"Sherbrooke/Sherbrooke"," 408","Sherbrooke",33,0,2,5,0,1,0,4,1,46,61
24073,"Sherbrooke/Sherbrooke"," 409","Sherbrooke",24,0,8,10,0,0,0,4,1,47,69
24073,"Sherbrooke/Sherbrooke"," 410","Sherbrooke",22,0,3,18,0,0,0,4,0,47,71
