Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Frank Godon,Jenni Johnson,Laverne Lewycky,Dan Mazier,Cathy Scofield-Singh,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 162","Forrest",7,0,29,149,16,18,0,219,304
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 163","Wellwood",3,0,18,137,5,9,0,172,278
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 164","Maskawata",2,2,19,174,13,15,0,225,340
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 165","Brookdale",4,1,12,127,8,11,1,164,330
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 166","Douglas",1,1,12,139,9,18,0,180,285
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 167","Sioux Valley",0,0,34,2,28,2,0,66,223
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 168","Sioux Valley",1,0,26,4,10,7,1,49,281
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 169","Sidney",7,5,9,216,11,4,0,252,391
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 170","Austin",6,3,6,185,1,4,0,205,300
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 171","Austin",11,5,15,331,13,9,0,384,520
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 172","MacGregor",8,14,13,239,8,4,2,288,412
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 173A","MacGregor",4,1,18,226,15,11,0,275,434
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 173B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°518,,,,,,,,18
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 174","MacGregor",3,2,23,203,23,15,0,269,371
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 175","MacGregor",2,0,10,202,11,11,0,236,327
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 176","Carberry",4,1,24,154,16,14,0,213,498
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 177","Carberry",7,1,30,166,26,17,1,248,405
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 178","Carberry",6,0,25,132,16,7,2,188,343
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 179","Carberry",2,2,29,79,18,15,0,145,307
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 180","Carberry",1,1,20,94,13,7,2,138,288
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 181","Carberry",4,2,9,145,4,5,0,169,283
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 500","Mobile poll/Bureau itinérant",1,5,14,34,10,4,2,70,103
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 501","Mobile poll/Bureau itinérant",1,2,10,21,3,3,0,40,114
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 502","Mobile poll/Bureau itinérant",3,2,5,20,4,4,2,40,57
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 503","Mobile poll/Bureau itinérant",1,4,12,28,8,1,0,54,125
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 504","Mobile poll/Bureau itinérant",2,1,13,17,3,8,1,45,93
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 505","Mobile poll/Bureau itinérant",1,2,15,34,13,6,2,73,106
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 506","Mobile poll/Bureau itinérant",0,1,22,36,26,2,6,93,150
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 507","Mobile poll/Bureau itinérant",2,0,32,68,31,7,5,145,228
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 508","Mobile poll/Bureau itinérant",1,5,14,17,9,3,1,50,145
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 509","Mobile poll/Bureau itinérant",1,1,12,22,16,4,0,56,106
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 510","Mobile poll/Bureau itinérant",1,4,3,33,13,2,0,56,92
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 511","Mobile poll/Bureau itinérant",0,0,14,23,8,3,1,49,87
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 512","Mobile poll/Bureau itinérant",1,0,8,34,11,1,1,56,118
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 513","Mobile poll/Bureau itinérant",4,0,9,26,12,3,0,54,71
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 514","Mobile poll/Bureau itinérant",0,1,2,25,4,3,0,35,43
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 515","Mobile poll/Bureau itinérant",1,1,8,34,17,4,0,65,79
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 516","Mobile poll/Bureau itinérant",2,0,12,79,18,6,0,117,222
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 517","Mobile poll/Bureau itinérant",1,5,4,26,10,4,1,51,90
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 518","Mobile poll/Bureau itinérant",0,1,4,36,5,5,0,51,37
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 600","Pelican Rapids",0,0,25,2,13,1,0,41,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 601","Birch River--Mafeking",2,0,28,17,22,5,1,75,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 602","Camperville",1,1,22,4,25,0,0,53,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 603","Swan River",9,6,35,366,37,17,2,472,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 604","Swan River",12,4,56,368,41,18,0,499,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 605","Roblin",2,16,27,307,24,11,0,387,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 606","Winnipegosis",2,1,15,68,21,2,0,109,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 607","Waterhen",1,1,27,19,28,1,0,77,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 608","Crane River 51",0,0,17,1,5,0,0,23,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 609","Ebb and Flow 52",1,0,57,1,28,0,0,87,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 610","Ste. Rose du Lac",4,0,24,86,22,7,1,144,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 611","Dauphin",7,2,71,315,53,21,1,470,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 612","Dauphin",6,0,90,242,46,21,3,408,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 613","Dauphin",4,3,24,235,40,17,4,327,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 614","Grandview--Gilbert Plains",5,3,37,151,13,21,1,231,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 615","Waywayseecappo First Nation",2,6,53,45,38,8,0,152,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 616","Russell",8,5,27,310,28,19,2,399,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 617","Birtle",1,0,13,107,11,12,0,144,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 618","Shoal Lake",0,1,13,131,13,13,0,171,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 619","Sandy Lake ",2,0,9,2,5,6,0,24,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 620","Rolling River 67",0,0,12,0,5,4,0,21,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 621","Minnedosa",3,0,20,119,13,21,1,177,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 622","McCreary",7,1,13,98,12,10,0,141,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 623","Sandy Bay",0,0,18,2,3,1,1,25,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 624","Gladstore",3,0,15,107,12,2,0,139,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 625","Neepawa",6,5,29,332,58,30,0,460,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 626","Minnedosa",2,1,22,164,36,32,0,257,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 627","Hamiota",3,0,16,107,13,12,0,151,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 628","Sioux Valley",0,1,13,0,8,3,0,25,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 629","Brandon--Rivers",6,1,28,145,8,13,2,203,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 630","Carberry",1,1,19,173,16,9,0,219,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 631","North Norfolk--Victoria",1,2,4,130,11,3,2,153,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa",,Group 1/Groupe 1, 5,2,29,62,35,12,66,211,106
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa",,Group 2/Groupe 2, 22,18,137,583,108,58,33,959,
