Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glen Beaton,Lawrence MacAulay,Wayne Phelan,Christene Squires,Lynne Thiele,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 64","Stratford",62,145,87,1,20,1,316,609
11001,"Cardigan/Cardigan"," 65","Stratford",41,105,58,0,23,0,227,482
11001,"Cardigan/Cardigan"," 66","Hazelbrook",28,54,51,2,11,0,146,329
11001,"Cardigan/Cardigan"," 67","Pownal",26,80,79,5,29,0,219,418
11001,"Cardigan/Cardigan"," 68","Alexandra",26,73,46,1,6,1,153,303
11001,"Cardigan/Cardigan"," 69","Iona",25,83,63,1,8,2,182,254
11001,"Cardigan/Cardigan"," 70","Murray River North",25,80,56,2,13,1,177,358
11001,"Cardigan/Cardigan"," 71","Lewes",14,43,39,2,8,0,106,319
11001,"Cardigan/Cardigan"," 72","Abney",33,73,76,11,13,1,207,421
11001,"Cardigan/Cardigan"," 73","Mount Buchanan",39,111,62,5,12,2,231,376
11001,"Cardigan/Cardigan"," 74","Wood Islands",18,59,44,1,9,1,132,336
11001,"Cardigan/Cardigan"," 75","Flat River",35,69,55,3,9,3,174,373
11001,"Cardigan/Cardigan"," 500","Mobile poll/Bureau itinérant",3,30,9,1,1,0,44,69
11001,"Cardigan/Cardigan"," 501","Mobile poll/Bureau itinérant",5,26,19,0,1,1,52,106
11001,"Cardigan/Cardigan"," 502","Mobile poll/Bureau itinérant",4,36,26,1,1,2,70,112
11001,"Cardigan/Cardigan"," 503","Mobile poll/Bureau itinérant",13,45,20,0,1,2,81,94
11001,"Cardigan/Cardigan"," 600","Souris",78,473,269,5,45,2,872,
11001,"Cardigan/Cardigan"," 601","Mount Stewart",86,444,236,10,44,7,827,
11001,"Cardigan/Cardigan"," 602","Central Kings & Queens",55,397,199,2,36,4,693,
11001,"Cardigan/Cardigan"," 603","Montague",54,351,202,6,23,11,647,
11001,"Cardigan/Cardigan"," 604","Stratford",87,324,215,8,24,11,669,
11001,"Cardigan/Cardigan"," 605","Stratford",146,342,186,9,52,1,736,
11001,"Cardigan/Cardigan"," 606","Stratford Center",150,578,281,5,72,10,1096,
11001,"Cardigan/Cardigan"," 607","Stratford Center",125,441,250,5,45,8,874,
11001,"Cardigan/Cardigan"," 608","Wood Islands",88,275,213,6,41,6,629,
11001,"Cardigan/Cardigan",,Group 1/Groupe 1, 7,27,9,1,6,2,52,52
11001,"Cardigan/Cardigan",,Group 2/Groupe 2, 121,363,197,7,44,12,744,
