Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Crumplin,Chanel Lalonde,Paul Lefebvre,Beth Mairs,Sean Paterson,J. David Popescu,Pierre St-Amant,Charlene Sylvestre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"Sudbury/Sudbury"," 1","Greater Sudbury / Grand Sudbury",12,1,101,70,1,0,42,1,0,228,437
35103,"Sudbury/Sudbury"," 2","Greater Sudbury / Grand Sudbury",10,1,118,55,8,1,51,1,0,245,497
35103,"Sudbury/Sudbury"," 3","Greater Sudbury / Grand Sudbury",25,3,114,87,2,1,57,2,3,294,506
35103,"Sudbury/Sudbury"," 4","Greater Sudbury / Grand Sudbury",13,1,79,78,4,0,55,1,0,231,403
35103,"Sudbury/Sudbury"," 5","Greater Sudbury / Grand Sudbury",12,2,169,82,1,0,59,2,1,328,593
35103,"Sudbury/Sudbury"," 6","Greater Sudbury / Grand Sudbury",7,0,81,66,2,0,31,0,2,189,453
35103,"Sudbury/Sudbury"," 7","Greater Sudbury / Grand Sudbury",12,2,126,54,4,0,51,0,4,253,385
35103,"Sudbury/Sudbury"," 8","Greater Sudbury / Grand Sudbury",11,1,101,86,6,0,54,1,0,260,444
35103,"Sudbury/Sudbury"," 9","Greater Sudbury / Grand Sudbury",10,0,78,46,0,1,42,0,0,177,351
35103,"Sudbury/Sudbury"," 10","Greater Sudbury / Grand Sudbury",41,0,154,169,6,0,111,1,0,482,628
35103,"Sudbury/Sudbury"," 11","Greater Sudbury / Grand Sudbury",13,0,85,56,3,0,60,1,0,218,396
35103,"Sudbury/Sudbury"," 12","Greater Sudbury / Grand Sudbury",8,0,81,46,0,0,36,0,0,171,342
35103,"Sudbury/Sudbury"," 13","Greater Sudbury / Grand Sudbury",8,3,83,67,2,0,55,0,0,218,426
35103,"Sudbury/Sudbury"," 14","Greater Sudbury / Grand Sudbury",14,1,76,70,2,0,46,1,0,210,429
35103,"Sudbury/Sudbury"," 15","Greater Sudbury / Grand Sudbury",13,2,76,59,1,0,40,0,2,193,388
35103,"Sudbury/Sudbury"," 16","Greater Sudbury / Grand Sudbury",4,0,56,74,1,0,21,0,0,156,352
35103,"Sudbury/Sudbury"," 17","Greater Sudbury / Grand Sudbury",10,1,93,59,2,0,42,0,3,210,376
35103,"Sudbury/Sudbury"," 18","Greater Sudbury / Grand Sudbury",9,2,77,59,8,1,20,0,0,176,341
35103,"Sudbury/Sudbury"," 19","Greater Sudbury / Grand Sudbury",9,1,129,66,6,0,82,0,0,293,503
35103,"Sudbury/Sudbury"," 20","Greater Sudbury / Grand Sudbury",11,0,107,38,2,1,41,0,0,200,317
35103,"Sudbury/Sudbury"," 21","Greater Sudbury / Grand Sudbury",10,0,94,53,3,1,27,0,2,190,371
35103,"Sudbury/Sudbury"," 22","Greater Sudbury / Grand Sudbury",16,0,76,44,1,0,34,0,0,171,366
35103,"Sudbury/Sudbury"," 23","Greater Sudbury / Grand Sudbury",8,0,94,45,4,1,33,2,0,187,363
35103,"Sudbury/Sudbury"," 24","Greater Sudbury / Grand Sudbury",12,1,95,63,5,0,29,0,1,206,360
35103,"Sudbury/Sudbury"," 25","Greater Sudbury / Grand Sudbury",9,2,57,65,3,1,31,0,2,170,375
35103,"Sudbury/Sudbury"," 26","Greater Sudbury / Grand Sudbury",8,0,114,46,6,0,43,0,3,220,417
35103,"Sudbury/Sudbury"," 27","Greater Sudbury / Grand Sudbury",15,0,87,49,3,0,36,0,0,190,349
35103,"Sudbury/Sudbury"," 28","Greater Sudbury / Grand Sudbury",6,0,100,45,2,0,41,0,3,197,406
35103,"Sudbury/Sudbury"," 29","Greater Sudbury / Grand Sudbury",10,0,36,43,4,0,26,0,0,119,284
35103,"Sudbury/Sudbury"," 30","Greater Sudbury / Grand Sudbury",12,2,103,53,2,0,45,0,1,218,416
35103,"Sudbury/Sudbury"," 31","Greater Sudbury / Grand Sudbury",7,2,66,48,5,0,36,0,0,164,351
35103,"Sudbury/Sudbury"," 32","Greater Sudbury / Grand Sudbury",17,0,90,72,5,0,43,1,0,228,402
