Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carter Antoine,Connor Moen,Ryan Schultz,Cathay Wagantall,Stacey Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 1","Crooked River",7,2,0,74,1,1,85,123
47014,"Yorkton--Melville/Yorkton--Melville"," 2","Mistatim",6,7,2,78,3,0,96,148
47014,"Yorkton--Melville/Yorkton--Melville"," 3","Prairie River",12,2,0,60,6,1,81,115
47014,"Yorkton--Melville/Yorkton--Melville"," 4","Hudson Bay",17,8,3,136,2,0,166,338
47014,"Yorkton--Melville/Yorkton--Melville"," 5","Hudson Bay",2,0,0,57,5,0,64,131
47014,"Yorkton--Melville/Yorkton--Melville"," 6","Hudson Bay",36,12,0,157,5,5,215,417
47014,"Yorkton--Melville/Yorkton--Melville"," 7","Hudson Bay",14,7,5,137,4,1,168,339
47014,"Yorkton--Melville/Yorkton--Melville"," 8","Hudson Bay",18,7,3,135,3,3,169,353
47014,"Yorkton--Melville/Yorkton--Melville"," 9","Hudson Bay",18,2,1,153,11,0,185,336
47014,"Yorkton--Melville/Yorkton--Melville"," 10","Kinistin 91",76,36,1,23,3,0,139,197
47014,"Yorkton--Melville/Yorkton--Melville"," 11","Pleasantdale",21,4,4,92,4,2,127,224
47014,"Yorkton--Melville/Yorkton--Melville"," 12A","St. Brieux",14,8,6,187,7,2,224,305
47014,"Yorkton--Melville/Yorkton--Melville"," 12B","St. Brieux",Merged with No./Fusionné avec le n°14,,,,,,,100
47014,"Yorkton--Melville/Yorkton--Melville"," 13","St. Brieux",27,4,8,198,0,0,237,307
47014,"Yorkton--Melville/Yorkton--Melville"," 14","St. Brieux",2,0,2,86,4,1,95,33
47014,"Yorkton--Melville/Yorkton--Melville"," 15","Naicam",Merged with No./Fusionné avec le n°14,,,,,,,33
47014,"Yorkton--Melville/Yorkton--Melville"," 16","Bjorkdale",9,20,7,154,5,1,196,318
47014,"Yorkton--Melville/Yorkton--Melville"," 17","McKague",11,8,3,105,3,0,130,174
47014,"Yorkton--Melville/Yorkton--Melville"," 18","Naicam",11,2,0,114,3,0,130,235
47014,"Yorkton--Melville/Yorkton--Melville"," 19","Naicam",11,4,4,119,2,0,140,294
47014,"Yorkton--Melville/Yorkton--Melville"," 20","Naicam",9,1,2,85,1,0,98,226
47014,"Yorkton--Melville/Yorkton--Melville"," 21","Chelan",9,6,1,67,1,1,85,158
47014,"Yorkton--Melville/Yorkton--Melville"," 22","Porcupine Plain",13,7,2,118,1,0,141,345
47014,"Yorkton--Melville/Yorkton--Melville"," 23","Porcupine Plain",21,10,1,91,2,0,125,253
47014,"Yorkton--Melville/Yorkton--Melville"," 24","Porcupine Plain",6,3,4,110,2,0,125,222
47014,"Yorkton--Melville/Yorkton--Melville"," 25","Archerwill",15,8,2,219,2,1,247,354
47014,"Yorkton--Melville/Yorkton--Melville"," 26","Carragana",6,3,1,70,1,0,81,146
47014,"Yorkton--Melville/Yorkton--Melville"," 27","Périgord",2,11,2,100,3,0,118,173
47014,"Yorkton--Melville/Yorkton--Melville"," 28","Spalding",19,7,2,199,5,0,232,336
47014,"Yorkton--Melville/Yorkton--Melville"," 29","Weekes",8,0,1,98,3,0,110,181
47014,"Yorkton--Melville/Yorkton--Melville"," 30","Rose Valley",4,4,4,151,8,0,171,239
47014,"Yorkton--Melville/Yorkton--Melville"," 31","Rose Valley",17,9,6,120,3,0,155,222
47014,"Yorkton--Melville/Yorkton--Melville"," 32","Yellowquill 90",73,23,3,4,10,1,114,313
47014,"Yorkton--Melville/Yorkton--Melville"," 33","Fosston",11,3,1,78,1,0,94,154
47014,"Yorkton--Melville/Yorkton--Melville"," 34","Watson",20,6,3,137,3,1,170,259
47014,"Yorkton--Melville/Yorkton--Melville"," 35","Watson",17,7,4,135,8,2,173,244
47014,"Yorkton--Melville/Yorkton--Melville"," 36","Watson",8,5,4,118,4,0,139,202
47014,"Yorkton--Melville/Yorkton--Melville"," 37","Kelvington",17,1,6,203,4,3,234,379
47014,"Yorkton--Melville/Yorkton--Melville"," 38","Kelvington",17,7,2,191,8,2,227,368
47014,"Yorkton--Melville/Yorkton--Melville"," 39","Kelvington",17,10,8,226,9,3,273,382
47014,"Yorkton--Melville/Yorkton--Melville"," 40","Lintlaw",8,10,8,163,2,2,193,278
47014,"Yorkton--Melville/Yorkton--Melville"," 41","Quill Lake",9,7,5,165,1,2,189,231
47014,"Yorkton--Melville/Yorkton--Melville"," 42","Quill Lake",13,9,3,116,6,2,149,241
47014,"Yorkton--Melville/Yorkton--Melville"," 43","Endeavour",8,3,7,89,2,0,109,213
47014,"Yorkton--Melville/Yorkton--Melville"," 44","Endeavour",8,6,2,88,0,0,104,208
47014,"Yorkton--Melville/Yorkton--Melville"," 45","Wadena",7,4,5,101,5,0,122,197
47014,"Yorkton--Melville/Yorkton--Melville"," 46","Wadena",13,12,3,162,3,1,194,384
47014,"Yorkton--Melville/Yorkton--Melville"," 47","Wadena",8,4,4,104,2,1,123,95
47014,"Yorkton--Melville/Yorkton--Melville"," 48A","Wadena",Merged with No./Fusionné avec le n°47,,,,,,,139
