Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tanya Baertl,Ken Hardie,Annie Ohana,Mike Poulin,Shinder Purewal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 1","Surrey",13,40,23,3,70,0,149,451
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 2","Surrey",6,58,28,1,51,1,145,455
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3","Surrey",4,47,17,4,87,0,159,440
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 4","Surrey",15,63,29,5,54,0,166,415
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5","Surrey",11,48,26,1,69,0,155,510
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 6","Surrey",10,49,26,5,66,3,159,455
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7","Surrey",13,67,39,8,77,0,204,480
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 8","Surrey",9,70,29,8,61,1,178,513
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 9","Surrey",6,49,38,3,64,1,161,398
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 10","Surrey",5,69,41,4,62,0,181,515
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 11","Surrey",4,59,30,5,66,0,164,460
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12","Surrey",7,54,24,4,68,0,157,486
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13","Surrey",5,43,24,6,71,0,149,445
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14","Surrey",9,52,29,3,62,0,155,429
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15","Surrey",7,40,34,3,79,0,163,466
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 16","Surrey",8,56,34,6,62,0,166,383
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 17","Surrey",13,45,12,0,51,0,121,334
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 18","Surrey",11,56,21,0,73,0,161,385
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 19","Surrey",15,66,30,0,81,0,192,441
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 20","Surrey",7,43,28,2,92,1,173,489
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 21","Surrey",17,64,49,3,98,2,233,567
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 22","Surrey",10,51,32,5,29,2,129,405
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 23A","Surrey",11,52,31,3,50,0,147,377
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 23B","Surrey",15,54,50,5,44,0,168,453
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 24A","Surrey",9,60,54,1,53,1,178,438
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 24B","Surrey",14,64,32,9,65,0,184,534
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 25","Surrey",13,65,53,3,70,2,206,488
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 26","Surrey",8,56,26,6,33,0,129,549
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 27","Surrey",20,101,61,14,101,1,298,602
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 28","Surrey",11,63,42,5,52,1,174,391
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 29","Surrey",5,44,18,2,55,5,129,473
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 30","Surrey",21,66,53,5,75,2,222,587
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 31","Surrey",5,50,23,5,49,1,133,538
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 32","Surrey",12,52,33,3,49,0,149,506
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 33","Surrey",4,39,41,5,41,1,131,500
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 34","Surrey",8,39,37,3,24,2,113,350
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 35","Surrey",10,44,35,1,51,1,142,453
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 36","Surrey",6,41,47,3,53,1,151,417
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 37","Surrey",5,48,44,2,37,0,136,451
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 38","Surrey",8,65,38,3,47,1,162,484
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 39","Surrey",7,69,47,6,45,1,175,542
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 40A","Surrey",4,27,29,1,25,0,86,277
