Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mario Beaulieu,Robert Coutu,Franco Fiori,Jacinthe Lafrenaye,Randy Manseau,Ève Péclet,Jonathan Plamondon,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 158","Montréal",90,3,9,0,4,30,77,1,1,215,339
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 159","Montréal",54,3,11,0,1,24,17,1,2,113,330
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 160","Montréal",82,6,7,0,2,31,37,0,1,166,369
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 161","Montréal",85,7,12,0,2,24,57,1,1,189,398
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 162","Montréal",68,14,7,1,1,27,48,0,3,169,417
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 163","Montréal",81,4,7,0,1,29,66,0,2,190,316
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 164","Montréal",57,11,16,0,0,19,105,0,2,210,442
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 165","Montréal",57,10,8,0,1,32,67,1,2,178,373
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 166","Montréal",102,11,8,1,3,28,60,0,2,215,440
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 167","Montréal",57,8,8,1,2,20,84,0,3,183,421
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 168","Montréal",58,25,9,0,0,19,70,0,0,181,339
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 169","Montréal",88,18,8,1,2,16,62,0,2,197,436
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 170","Montréal",57,20,7,1,0,22,60,0,0,167,327
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 171","Montréal",86,12,13,0,0,30,65,0,3,209,422
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 172","Montréal",93,4,8,0,0,25,33,0,2,165,401
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 173","Montréal",43,8,10,3,2,15,36,2,4,123,333
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 174","Montréal",84,11,12,2,1,10,64,0,2,186,421
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 175","Montréal",65,16,4,0,1,18,69,0,3,176,449
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 176","Montréal",118,14,9,0,0,26,73,0,2,242,407
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 177","Montréal",84,16,7,0,2,17,69,0,2,197,407
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 178","Montréal",76,11,5,1,1,14,50,0,2,160,331
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 179","Montréal",85,11,10,0,0,27,65,3,9,210,389
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 180","Montréal",96,17,7,0,1,20,77,0,4,222,421
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 181","Montréal",93,12,6,0,2,21,47,1,0,182,398
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 182","Montréal",78,3,9,0,4,19,26,0,1,140,350
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 183","Montréal",93,8,5,0,5,30,61,0,3,205,346
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 184","Montréal",82,6,15,0,0,20,47,1,1,172,320
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 185","Montréal",49,8,6,0,0,19,37,0,3,122,361
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 186","Montréal",95,12,9,0,0,22,64,0,1,203,371
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 187","Montréal",71,5,8,0,1,41,67,1,3,197,353
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 188","Montréal",65,13,5,2,3,27,58,0,2,175,350
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 189","Montréal",74,5,7,0,4,21,40,0,2,153,323
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 190","Montréal",67,6,3,0,4,13,73,0,0,166,376
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 191","Montréal",128,6,11,2,0,35,70,1,2,255,400
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 192","Montréal",101,17,10,0,0,34,50,1,5,218,433
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 193","Montréal",86,14,5,1,1,29,62,0,0,198,379
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 194","Montréal",49,10,8,0,3,25,51,0,3,149,399
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 195","Montréal",55,5,7,0,0,15,29,0,0,111,343
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 196","Montréal",40,3,2,0,1,3,22,0,0,71,476
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 197","Montréal",26,8,6,1,3,11,42,0,0,97,232
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 198","Montréal",45,9,0,1,0,14,65,0,5,139,457
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 199","Montréal",25,16,8,0,3,18,54,0,1,125,308
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 200","Montréal",53,17,10,1,1,25,74,0,2,183,386
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 201","Montréal",80,15,12,0,1,36,93,0,3,240,441
