Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allison Cillis,Janet Errygers,Jennifer Stebbing,David Sweet,David Tilden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 1","Flamborough",24,19,72,99,7,0,221,460
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 2","Flamborough",30,21,73,94,5,1,224,481
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 3","Flamborough",20,18,64,98,5,0,205,410
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 4","Flamborough",32,11,55,103,5,0,206,380
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 5","Flamborough",9,9,53,106,6,0,183,394
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 6","Flamborough",28,23,76,97,4,0,228,425
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 7","Flamborough",16,16,63,116,3,0,214,430
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 8","Flamborough",21,13,62,78,0,1,175,318
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 9","Flamborough",26,12,91,100,1,0,230,482
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 10","Flamborough",27,24,54,104,7,0,216,418
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 11","Flamborough",23,16,59,140,4,2,244,401
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 12","Flamborough",16,11,72,74,3,0,176,314
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 13","Flamborough",35,29,108,134,6,1,313,607
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 14","Flamborough",49,18,128,133,7,3,338,717
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 15","Flamborough",36,24,71,122,4,2,259,476
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 16","Flamborough",33,20,62,118,4,0,237,411
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 17","Flamborough",30,24,84,113,3,1,255,409
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 18","Flamborough",22,19,37,130,4,0,212,377
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 19","Flamborough",26,17,54,135,8,0,240,462
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 20","Flamborough",28,19,49,115,4,0,215,386
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 21A","Flamborough",42,19,117,104,4,1,287,558
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 21B","Flamborough",31,16,112,93,1,2,255,516
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 22","Flamborough",37,14,94,86,4,1,236,486
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 23","Flamborough",34,24,139,94,1,1,293,564
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 24","Flamborough",34,21,91,100,4,3,253,464
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 25","Flamborough",23,13,69,93,4,1,203,400
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 26","Flamborough",26,18,65,92,3,0,204,396
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 27","Flamborough",34,13,61,128,10,0,246,477
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 28","Flamborough",26,15,49,96,7,2,195,321
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 29","Flamborough",35,18,110,91,5,1,260,496
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 30","Flamborough",42,6,112,79,4,1,244,422
