Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Noel Gautron,Jennifer Malabar,Kelly Manweiler,Lawrence Toet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 1A","Winnipeg",74,0,42,7,61,0,184,269
46005,"Elmwood--Transcona/Elmwood--Transcona"," 1B","Winnipeg",58,3,41,8,59,6,175,384
46005,"Elmwood--Transcona/Elmwood--Transcona"," 2","Winnipeg",123,0,37,6,86,1,253,424
46005,"Elmwood--Transcona/Elmwood--Transcona"," 3","Winnipeg",116,2,40,9,99,0,266,414
46005,"Elmwood--Transcona/Elmwood--Transcona"," 4","Winnipeg",154,3,43,9,62,3,274,436
46005,"Elmwood--Transcona/Elmwood--Transcona"," 5","Winnipeg",113,0,31,4,77,0,225,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 6","Winnipeg",137,2,25,6,78,0,248,480
46005,"Elmwood--Transcona/Elmwood--Transcona"," 7","Winnipeg",89,3,18,14,70,1,195,485
46005,"Elmwood--Transcona/Elmwood--Transcona"," 8","Winnipeg",81,4,22,1,54,1,163,376
46005,"Elmwood--Transcona/Elmwood--Transcona"," 9","Winnipeg",112,2,22,14,53,0,203,447
46005,"Elmwood--Transcona/Elmwood--Transcona"," 10","Winnipeg",75,1,18,8,49,0,151,372
46005,"Elmwood--Transcona/Elmwood--Transcona"," 11","Winnipeg",89,2,19,13,86,1,210,388
46005,"Elmwood--Transcona/Elmwood--Transcona"," 12","Winnipeg",81,3,26,8,60,0,178,378
46005,"Elmwood--Transcona/Elmwood--Transcona"," 13","Winnipeg",75,0,30,13,104,2,224,445
46005,"Elmwood--Transcona/Elmwood--Transcona"," 14","Winnipeg",107,5,19,7,76,2,216,447
46005,"Elmwood--Transcona/Elmwood--Transcona"," 15","Winnipeg",87,1,19,10,81,0,198,421
46005,"Elmwood--Transcona/Elmwood--Transcona"," 16","Winnipeg",88,2,29,5,88,0,212,386
46005,"Elmwood--Transcona/Elmwood--Transcona"," 17","Winnipeg",91,4,30,14,63,0,202,384
46005,"Elmwood--Transcona/Elmwood--Transcona"," 18","Winnipeg",73,1,22,15,76,2,189,411
46005,"Elmwood--Transcona/Elmwood--Transcona"," 19","Winnipeg",89,2,33,8,57,1,190,426
46005,"Elmwood--Transcona/Elmwood--Transcona"," 20","Winnipeg",108,5,34,9,49,2,207,468
46005,"Elmwood--Transcona/Elmwood--Transcona"," 21","Winnipeg",74,2,16,10,54,1,157,347
46005,"Elmwood--Transcona/Elmwood--Transcona"," 22","Winnipeg",103,2,28,8,69,5,215,486
46005,"Elmwood--Transcona/Elmwood--Transcona"," 23","Winnipeg",93,2,33,6,40,1,175,419
46005,"Elmwood--Transcona/Elmwood--Transcona"," 24","Winnipeg",74,0,19,7,67,0,167,362
46005,"Elmwood--Transcona/Elmwood--Transcona"," 25","Winnipeg",59,3,11,6,47,2,128,277
46005,"Elmwood--Transcona/Elmwood--Transcona"," 26","Winnipeg",108,0,26,8,75,0,217,394
46005,"Elmwood--Transcona/Elmwood--Transcona"," 27","Winnipeg",88,1,37,2,78,0,206,296
46005,"Elmwood--Transcona/Elmwood--Transcona"," 28","Winnipeg",90,3,33,8,97,1,232,438
46005,"Elmwood--Transcona/Elmwood--Transcona"," 29","Winnipeg",85,1,19,4,81,4,194,404
46005,"Elmwood--Transcona/Elmwood--Transcona"," 30","Winnipeg",72,2,25,7,87,2,195,418
46005,"Elmwood--Transcona/Elmwood--Transcona"," 31","Winnipeg",109,3,34,8,67,0,221,498
46005,"Elmwood--Transcona/Elmwood--Transcona"," 32","Winnipeg",74,3,28,9,55,0,169,351
46005,"Elmwood--Transcona/Elmwood--Transcona"," 33","Winnipeg",97,1,24,7,66,3,198,413
46005,"Elmwood--Transcona/Elmwood--Transcona"," 34","Winnipeg",89,1,22,3,43,2,160,344
46005,"Elmwood--Transcona/Elmwood--Transcona"," 35","Winnipeg",67,3,19,1,47,1,138,313
46005,"Elmwood--Transcona/Elmwood--Transcona"," 36","Winnipeg",83,4,29,10,72,2,200,396
46005,"Elmwood--Transcona/Elmwood--Transcona"," 37","Winnipeg",81,0,29,6,60,1,177,441
46005,"Elmwood--Transcona/Elmwood--Transcona"," 38","Winnipeg",80,2,42,5,35,0,164,370
46005,"Elmwood--Transcona/Elmwood--Transcona"," 39","Winnipeg",92,2,21,7,47,0,169,393
46005,"Elmwood--Transcona/Elmwood--Transcona"," 40","Winnipeg",107,8,24,6,67,0,212,446
46005,"Elmwood--Transcona/Elmwood--Transcona"," 41","Winnipeg",147,6,26,14,68,1,262,404
46005,"Elmwood--Transcona/Elmwood--Transcona"," 42","Winnipeg",124,1,28,18,48,0,219,408
46005,"Elmwood--Transcona/Elmwood--Transcona"," 43","Winnipeg",113,3,33,12,60,1,222,407
46005,"Elmwood--Transcona/Elmwood--Transcona"," 44","Winnipeg",95,1,14,13,59,3,185,428
46005,"Elmwood--Transcona/Elmwood--Transcona"," 45","Winnipeg",80,1,14,9,99,0,203,430
46005,"Elmwood--Transcona/Elmwood--Transcona"," 46","Winnipeg",85,0,28,5,57,1,176,381
46005,"Elmwood--Transcona/Elmwood--Transcona"," 47","Winnipeg",92,2,13,5,72,0,184,419
46005,"Elmwood--Transcona/Elmwood--Transcona"," 48","Winnipeg",58,4,23,4,38,2,129,308
46005,"Elmwood--Transcona/Elmwood--Transcona"," 49","Winnipeg",59,2,19,9,74,0,163,338
46005,"Elmwood--Transcona/Elmwood--Transcona"," 50","Winnipeg",94,2,18,5,67,2,188,379
46005,"Elmwood--Transcona/Elmwood--Transcona"," 51","Winnipeg",72,2,21,2,62,0,159,387
