Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Todd Kathol,Pat Kelly,Nathan LeBlanc Fortin,Tyler Poulin,Shaoli Wang,Catriona Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 137","Calgary",24,126,12,6,1,7,2,178,473
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 138","Calgary",23,115,19,2,2,9,1,171,499
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 139","Calgary",36,87,20,4,0,4,1,152,466
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 140","Calgary",27,138,20,2,1,4,0,192,490
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 141","Calgary",20,119,16,0,0,5,1,161,444
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 142","Calgary",28,97,18,0,0,2,1,146,355
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 143","Calgary",49,101,17,5,2,8,1,183,412
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 144","Calgary",29,154,22,8,4,4,0,221,495
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 145","Calgary",35,126,11,3,1,7,4,187,449
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 146","Calgary",35,141,15,1,1,1,0,194,430
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 147","Calgary",30,228,21,9,0,2,6,296,469
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 148","Calgary",27,122,42,6,2,9,0,208,452
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 149","Calgary",40,124,18,2,0,4,0,188,467
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 150","Calgary",30,108,19,3,0,10,1,171,486
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 151","Calgary",22,105,22,1,0,5,0,155,416
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 152","Calgary",48,105,17,2,0,7,0,179,438
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 153","Calgary",26,95,15,5,1,5,1,148,440
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 154","Calgary",57,110,16,17,1,10,1,212,429
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 155","Calgary",40,137,9,7,1,9,1,204,453
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 156","Calgary",37,96,14,0,0,4,1,152,450
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 157","Calgary",30,83,19,7,0,1,2,142,347
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 158","Calgary",41,154,26,3,2,8,1,235,484
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 159","Calgary",37,99,20,3,1,4,0,164,431
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 160","Calgary",45,88,19,8,0,5,2,167,457
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 161","Calgary",43,121,13,0,1,9,0,187,451
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 162","Calgary",53,127,16,4,0,5,0,205,445
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 163","Calgary",16,91,7,2,0,6,0,122,347
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 164","Calgary",32,97,21,0,0,8,2,160,394
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 165","Calgary",44,117,18,1,0,5,0,185,442
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 166","Calgary",37,110,23,1,1,2,1,175,437
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 167","Calgary",42,128,25,8,0,14,1,218,429
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 168","Calgary",50,123,30,7,1,10,0,221,441
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 169","Calgary",42,103,29,9,3,10,1,197,434
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 170","Calgary",37,102,36,8,0,7,1,191,380
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 171","Calgary",26,108,13,3,2,8,1,161,419
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 172","Calgary",24,130,13,3,1,8,1,180,457
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 173","Calgary",34,117,14,2,2,9,0,178,477
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 174","Calgary",42,161,15,2,0,12,0,232,529
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 175","Calgary",50,153,17,2,0,6,0,228,549
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 176","Calgary",38,118,27,1,1,4,1,190,413
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 177","Calgary",18,118,7,1,1,5,0,150,438
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 178","Calgary",29,106,17,5,0,9,0,166,385
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 179","Calgary",40,121,23,2,2,6,0,194,430
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 180","Calgary",34,110,16,3,0,11,2,176,415
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 181","Calgary",23,122,16,7,0,7,0,175,441
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 182","Calgary",56,111,36,3,0,9,1,216,479
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 183","Calgary",31,86,17,3,1,9,1,148,367
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 184","Calgary",58,132,41,6,1,5,0,243,505
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 185","Calgary",38,128,35,3,6,7,2,219,418
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 186","Calgary",48,121,30,4,2,5,2,212,394
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 187","Calgary",41,147,19,6,2,12,0,227,423
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 188","Calgary",43,126,21,2,1,11,1,205,375
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 189","Calgary",34,159,20,0,0,9,0,222,424
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 190","Calgary",27,166,22,0,2,6,2,225,414
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 191","Calgary",48,164,29,1,0,16,1,259,442
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 192","Calgary",49,131,31,0,0,11,0,222,450
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 193","Calgary",45,90,34,4,0,11,1,185,359
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 194","Calgary",76,103,37,6,0,14,0,236,453
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 195","Calgary",45,98,42,1,1,8,2,197,393
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 196","Calgary",46,113,44,15,2,7,1,228,528
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 197","Calgary",44,113,21,6,0,10,2,196,365
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 198","Calgary",16,105,13,0,0,0,1,135,409
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 199","Calgary",19,111,13,4,1,3,0,151,417
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 200","Calgary",26,133,13,2,0,5,0,179,428
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 201","Calgary",30,90,32,2,1,14,1,170,426
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 202","Calgary",34,150,16,3,0,18,0,221,440
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 203","Calgary",50,148,22,7,1,13,0,241,408
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 204","Calgary",75,152,35,4,0,15,1,282,489
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 205","Calgary",37,125,13,7,0,8,0,190,370
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 206","Calgary",41,119,31,6,2,11,1,211,361
