Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Brassard,Bonnie North,Pekka Reinio,Stephanie Robinson,Lisa-Marie Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie--Innisfil/Barrie--Innisfil"," 58","Barrie",106,24,48,1,89,1,269,583
35004,"Barrie--Innisfil/Barrie--Innisfil"," 59","Barrie",112,26,55,7,84,1,285,613
35004,"Barrie--Innisfil/Barrie--Innisfil"," 60","Barrie",94,20,55,7,93,0,269,600
35004,"Barrie--Innisfil/Barrie--Innisfil"," 61","Barrie",83,19,63,3,99,2,269,609
35004,"Barrie--Innisfil/Barrie--Innisfil"," 62","Barrie",62,20,32,1,96,2,213,534
35004,"Barrie--Innisfil/Barrie--Innisfil"," 63","Barrie",92,15,41,4,65,4,221,482
35004,"Barrie--Innisfil/Barrie--Innisfil"," 64","Barrie",77,16,42,5,56,0,196,382
35004,"Barrie--Innisfil/Barrie--Innisfil"," 65","Barrie",125,27,69,5,89,3,318,571
35004,"Barrie--Innisfil/Barrie--Innisfil"," 66","Barrie",143,23,50,5,103,2,326,569
35004,"Barrie--Innisfil/Barrie--Innisfil"," 67","Innisfil",93,20,49,4,36,2,204,498
35004,"Barrie--Innisfil/Barrie--Innisfil"," 68","Innisfil",122,25,45,8,59,0,259,513
35004,"Barrie--Innisfil/Barrie--Innisfil"," 69","Innisfil",118,22,50,5,63,2,260,594
35004,"Barrie--Innisfil/Barrie--Innisfil"," 70","Innisfil",110,23,45,5,50,1,234,511
35004,"Barrie--Innisfil/Barrie--Innisfil"," 71","Barrie",71,22,55,11,56,1,216,562
35004,"Barrie--Innisfil/Barrie--Innisfil"," 72","Barrie",129,22,45,4,84,1,285,602
35004,"Barrie--Innisfil/Barrie--Innisfil"," 73","Barrie",79,27,63,7,61,1,238,591
35004,"Barrie--Innisfil/Barrie--Innisfil"," 74","Barrie",91,22,44,4,90,0,251,554
35004,"Barrie--Innisfil/Barrie--Innisfil"," 75","Barrie",99,24,63,6,75,1,268,595
35004,"Barrie--Innisfil/Barrie--Innisfil"," 76","Barrie",100,28,41,6,68,3,246,525
35004,"Barrie--Innisfil/Barrie--Innisfil"," 77","Barrie",89,15,55,3,78,1,241,456
35004,"Barrie--Innisfil/Barrie--Innisfil"," 78","Barrie",96,31,33,4,57,0,221,520
35004,"Barrie--Innisfil/Barrie--Innisfil"," 79","Barrie",104,21,47,2,70,0,244,495
35004,"Barrie--Innisfil/Barrie--Innisfil"," 80","Barrie",116,17,63,4,99,0,299,702
35004,"Barrie--Innisfil/Barrie--Innisfil"," 81","Barrie",100,16,70,8,97,0,291,597
35004,"Barrie--Innisfil/Barrie--Innisfil"," 82","Barrie",95,20,48,5,72,0,240,632
35004,"Barrie--Innisfil/Barrie--Innisfil"," 83","Barrie",128,14,65,6,84,1,298,593
35004,"Barrie--Innisfil/Barrie--Innisfil"," 84","Barrie",109,12,36,2,67,1,227,457
35004,"Barrie--Innisfil/Barrie--Innisfil"," 85","Barrie",70,19,57,7,64,1,218,528
35004,"Barrie--Innisfil/Barrie--Innisfil"," 86","Barrie",102,22,55,4,52,3,238,557
35004,"Barrie--Innisfil/Barrie--Innisfil"," 87","Barrie",107,16,49,3,61,5,241,646
35004,"Barrie--Innisfil/Barrie--Innisfil"," 88","Barrie",115,15,51,3,67,0,251,616
35004,"Barrie--Innisfil/Barrie--Innisfil"," 89","Barrie",84,12,20,6,67,1,190,442
35004,"Barrie--Innisfil/Barrie--Innisfil"," 90","Barrie",106,15,40,5,63,1,230,476
35004,"Barrie--Innisfil/Barrie--Innisfil"," 91","Barrie",96,12,49,4,71,3,235,610
35004,"Barrie--Innisfil/Barrie--Innisfil"," 92","Barrie",101,22,27,1,51,0,202,536
35004,"Barrie--Innisfil/Barrie--Innisfil"," 93","Barrie",129,21,43,4,71,1,269,606
35004,"Barrie--Innisfil/Barrie--Innisfil"," 94","Innisfil",134,21,49,4,57,3,268,478
35004,"Barrie--Innisfil/Barrie--Innisfil"," 95","Innisfil",140,32,36,9,61,5,283,581
35004,"Barrie--Innisfil/Barrie--Innisfil"," 96","Innisfil",132,26,50,6,53,3,270,577
35004,"Barrie--Innisfil/Barrie--Innisfil"," 97","Innisfil",105,27,41,6,52,1,232,531
35004,"Barrie--Innisfil/Barrie--Innisfil"," 98","Innisfil",88,20,31,6,57,4,206,475
35004,"Barrie--Innisfil/Barrie--Innisfil"," 99","Barrie",81,17,39,0,68,1,206,504
35004,"Barrie--Innisfil/Barrie--Innisfil"," 100","Barrie",87,23,25,1,83,0,219,544
35004,"Barrie--Innisfil/Barrie--Innisfil"," 101","Barrie",107,16,25,3,85,1,237,578
35004,"Barrie--Innisfil/Barrie--Innisfil"," 102","Barrie",70,18,59,4,55,1,207,505
35004,"Barrie--Innisfil/Barrie--Innisfil"," 103","Barrie",106,15,48,2,53,2,226,510
35004,"Barrie--Innisfil/Barrie--Innisfil"," 104","Barrie",73,22,48,4,66,3,216,518
35004,"Barrie--Innisfil/Barrie--Innisfil"," 105","Barrie",89,24,55,9,78,2,257,595
35004,"Barrie--Innisfil/Barrie--Innisfil"," 106","Barrie",95,15,55,9,58,2,234,513
35004,"Barrie--Innisfil/Barrie--Innisfil"," 107","Barrie",66,15,47,4,75,0,207,581
35004,"Barrie--Innisfil/Barrie--Innisfil"," 108","Barrie",92,13,69,10,70,1,255,609
35004,"Barrie--Innisfil/Barrie--Innisfil"," 109","Innisfil",135,20,40,8,60,1,264,580
35004,"Barrie--Innisfil/Barrie--Innisfil"," 110","Innisfil",128,31,53,4,73,4,293,592
35004,"Barrie--Innisfil/Barrie--Innisfil"," 111","Innisfil",111,25,38,6,58,0,238,480
35004,"Barrie--Innisfil/Barrie--Innisfil"," 112","Barrie",100,47,36,4,44,1,232,466
35004,"Barrie--Innisfil/Barrie--Innisfil"," 113","Innisfil",101,23,39,12,79,3,257,615
35004,"Barrie--Innisfil/Barrie--Innisfil"," 114","Innisfil",96,18,64,5,84,0,267,665
35004,"Barrie--Innisfil/Barrie--Innisfil"," 115","Innisfil",130,19,49,12,74,0,284,601
35004,"Barrie--Innisfil/Barrie--Innisfil"," 116","Innisfil",93,13,38,1,94,5,244,583
35004,"Barrie--Innisfil/Barrie--Innisfil"," 117","Innisfil",96,20,60,2,65,2,245,551
35004,"Barrie--Innisfil/Barrie--Innisfil"," 118","Innisfil",99,19,51,4,77,2,252,583
35004,"Barrie--Innisfil/Barrie--Innisfil"," 119","Innisfil",105,31,55,10,70,1,272,532
35004,"Barrie--Innisfil/Barrie--Innisfil"," 120","Innisfil",153,21,48,7,83,2,314,587
35004,"Barrie--Innisfil/Barrie--Innisfil"," 121A","Innisfil",57,13,26,4,48,0,148,364
35004,"Barrie--Innisfil/Barrie--Innisfil"," 121B","Innisfil",67,12,20,2,47,2,150,377
35004,"Barrie--Innisfil/Barrie--Innisfil"," 122","Innisfil",90,15,42,5,45,1,198,430
35004,"Barrie--Innisfil/Barrie--Innisfil"," 123","Innisfil",117,24,55,4,85,1,286,617
35004,"Barrie--Innisfil/Barrie--Innisfil"," 124","Barrie",95,32,45,0,75,2,249,554
35004,"Barrie--Innisfil/Barrie--Innisfil"," 125","Barrie",117,24,44,4,81,2,272,556
35004,"Barrie--Innisfil/Barrie--Innisfil"," 126","Barrie",86,12,59,8,43,3,211,528
35004,"Barrie--Innisfil/Barrie--Innisfil"," 127","Barrie",91,35,51,4,60,5,246,596
