Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Majid Jowhari,Ichha Kohli,Costas Menegakis,Igor Tvorogov,Otto Wevers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Richmond Hill/Richmond Hill"," 1","Richmond Hill",25,60,8,48,0,0,3,144,380
35087,"Richmond Hill/Richmond Hill"," 2","Richmond Hill",22,84,7,61,3,0,1,178,417
35087,"Richmond Hill/Richmond Hill"," 3","Richmond Hill",20,97,17,61,2,0,0,197,437
35087,"Richmond Hill/Richmond Hill"," 4","Richmond Hill",30,80,19,85,3,0,5,222,512
35087,"Richmond Hill/Richmond Hill"," 5","Richmond Hill",21,55,7,72,3,0,2,160,411
35087,"Richmond Hill/Richmond Hill"," 6","Richmond Hill",14,70,9,84,1,0,1,179,431
35087,"Richmond Hill/Richmond Hill"," 7","Richmond Hill",13,62,1,118,2,0,0,196,497
35087,"Richmond Hill/Richmond Hill"," 8","Richmond Hill",13,56,5,73,0,0,1,148,383
35087,"Richmond Hill/Richmond Hill"," 9","Richmond Hill",15,44,3,61,0,0,0,123,474
35087,"Richmond Hill/Richmond Hill"," 10","Richmond Hill",17,74,4,92,1,1,2,191,494
35087,"Richmond Hill/Richmond Hill"," 11","Richmond Hill",9,53,7,75,1,0,2,147,418
35087,"Richmond Hill/Richmond Hill"," 12","Richmond Hill",14,41,5,53,1,2,0,116,281
35087,"Richmond Hill/Richmond Hill"," 13","Richmond Hill",23,86,5,63,1,0,0,178,430
35087,"Richmond Hill/Richmond Hill"," 14","Richmond Hill",24,82,7,63,2,0,0,178,446
35087,"Richmond Hill/Richmond Hill"," 15","Richmond Hill",9,74,9,60,2,0,1,155,412
35087,"Richmond Hill/Richmond Hill"," 16","Richmond Hill",23,77,1,43,4,0,6,154,426
35087,"Richmond Hill/Richmond Hill"," 17","Richmond Hill",7,38,3,65,3,1,0,117,391
35087,"Richmond Hill/Richmond Hill"," 18","Richmond Hill",11,45,2,73,0,2,1,134,408
35087,"Richmond Hill/Richmond Hill"," 19","Richmond Hill",7,71,4,63,2,0,0,147,408
35087,"Richmond Hill/Richmond Hill"," 20","Richmond Hill",19,35,6,85,0,1,1,147,398
35087,"Richmond Hill/Richmond Hill"," 21","Richmond Hill",14,52,3,89,0,0,1,159,442
35087,"Richmond Hill/Richmond Hill"," 22","Richmond Hill",18,85,8,69,2,2,1,185,451
35087,"Richmond Hill/Richmond Hill"," 23","Richmond Hill",18,83,10,64,0,2,0,177,387
35087,"Richmond Hill/Richmond Hill"," 24","Richmond Hill",18,122,12,57,2,1,3,215,404
35087,"Richmond Hill/Richmond Hill"," 25","Richmond Hill",26,108,4,75,4,0,3,220,439
35087,"Richmond Hill/Richmond Hill"," 26","Richmond Hill",20,96,11,61,0,1,1,190,384
35087,"Richmond Hill/Richmond Hill"," 27","Richmond Hill",16,92,9,152,5,0,2,276,549
35087,"Richmond Hill/Richmond Hill"," 28","Richmond Hill",12,86,3,126,0,0,1,228,467
35087,"Richmond Hill/Richmond Hill"," 29","Richmond Hill",10,93,12,108,1,0,1,225,502
35087,"Richmond Hill/Richmond Hill"," 30","Richmond Hill",18,40,6,50,1,0,2,117,345
35087,"Richmond Hill/Richmond Hill"," 31","Richmond Hill",26,82,6,96,12,1,1,224,470
35087,"Richmond Hill/Richmond Hill"," 32","Richmond Hill",17,58,4,45,0,0,1,125,369
35087,"Richmond Hill/Richmond Hill"," 33","Richmond Hill",12,39,5,92,0,0,0,148,517
35087,"Richmond Hill/Richmond Hill"," 34","Richmond Hill",8,27,5,83,1,0,1,125,433
35087,"Richmond Hill/Richmond Hill"," 35","Richmond Hill",3,59,2,67,0,0,3,134,401
35087,"Richmond Hill/Richmond Hill"," 36","Richmond Hill",10,39,8,117,0,1,2,177,549
35087,"Richmond Hill/Richmond Hill"," 37","Richmond Hill",5,29,3,82,2,1,1,123,406
35087,"Richmond Hill/Richmond Hill"," 38","Richmond Hill",7,50,6,61,0,0,3,127,382
35087,"Richmond Hill/Richmond Hill"," 39","Richmond Hill",4,51,5,82,1,0,1,144,376
35087,"Richmond Hill/Richmond Hill"," 40","Richmond Hill",8,57,2,57,1,0,1,126,448
35087,"Richmond Hill/Richmond Hill"," 41","Richmond Hill",11,49,6,87,0,1,1,155,400
35087,"Richmond Hill/Richmond Hill"," 42","Richmond Hill",15,42,1,71,1,0,0,130,391
35087,"Richmond Hill/Richmond Hill"," 43","Richmond Hill",6,49,5,56,4,0,1,121,436
35087,"Richmond Hill/Richmond Hill"," 44","Richmond Hill",10,56,2,69,0,0,0,137,532
35087,"Richmond Hill/Richmond Hill"," 45","Richmond Hill",11,50,5,82,3,0,8,159,267
35087,"Richmond Hill/Richmond Hill"," 46","Richmond Hill",21,94,6,33,0,1,2,157,462
35087,"Richmond Hill/Richmond Hill"," 47","Richmond Hill",19,74,13,45,0,0,0,151,398
35087,"Richmond Hill/Richmond Hill"," 48","Richmond Hill",27,90,7,67,3,0,0,194,390
35087,"Richmond Hill/Richmond Hill"," 49","Richmond Hill",22,79,9,53,1,0,1,165,447
35087,"Richmond Hill/Richmond Hill"," 50","Richmond Hill",10,74,7,27,0,0,0,118,330
35087,"Richmond Hill/Richmond Hill"," 51","Richmond Hill",13,62,4,46,3,0,2,130,382
35087,"Richmond Hill/Richmond Hill"," 52","Richmond Hill",15,103,9,64,3,0,2,196,444
35087,"Richmond Hill/Richmond Hill"," 53","Richmond Hill",23,78,3,70,5,1,6,186,383
