Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Boissonnault,James Cumming,Donovan Eckstrom,Paul Hookham,Peggy Morton,Grad Murray,Adil Pirbhai,Katherine Swampy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton Centre/Edmonton-Centre"," 1","Edmonton",47,95,0,5,0,5,1,54,0,207,398
48014,"Edmonton Centre/Edmonton-Centre"," 2","Edmonton",40,90,2,5,0,0,2,35,1,175,380
48014,"Edmonton Centre/Edmonton-Centre"," 3","Edmonton",53,128,0,4,1,3,3,38,1,231,446
48014,"Edmonton Centre/Edmonton-Centre"," 4","Edmonton",37,87,2,2,2,0,1,47,0,178,355
48014,"Edmonton Centre/Edmonton-Centre"," 5","Edmonton",48,90,1,2,0,4,0,38,2,185,377
48014,"Edmonton Centre/Edmonton-Centre"," 6","Edmonton",55,122,0,3,1,8,0,54,0,243,435
48014,"Edmonton Centre/Edmonton-Centre"," 7","Edmonton",51,115,0,9,0,8,0,51,0,234,492
48014,"Edmonton Centre/Edmonton-Centre"," 8","Edmonton",70,157,2,4,0,4,0,65,3,305,589
48014,"Edmonton Centre/Edmonton-Centre"," 9","Edmonton",40,98,2,4,0,9,0,65,3,221,457
48014,"Edmonton Centre/Edmonton-Centre"," 10","Edmonton",47,111,0,8,2,4,0,62,0,234,437
48014,"Edmonton Centre/Edmonton-Centre"," 11","Edmonton",41,85,1,1,0,4,0,54,1,187,452
48014,"Edmonton Centre/Edmonton-Centre"," 12","Edmonton",84,115,2,6,1,9,0,63,2,282,494
48014,"Edmonton Centre/Edmonton-Centre"," 13","Edmonton",84,143,2,7,0,3,1,60,0,300,517
48014,"Edmonton Centre/Edmonton-Centre"," 14","Edmonton",75,93,1,4,0,5,0,50,0,228,581
48014,"Edmonton Centre/Edmonton-Centre"," 15","Edmonton",32,95,0,5,0,5,1,58,1,197,450
48014,"Edmonton Centre/Edmonton-Centre"," 16","Edmonton",38,62,0,1,0,4,0,36,0,141,466
48014,"Edmonton Centre/Edmonton-Centre"," 17","Edmonton",41,75,0,4,0,5,1,47,1,174,493
48014,"Edmonton Centre/Edmonton-Centre"," 18","Edmonton",51,67,0,2,1,6,0,38,2,167,483
48014,"Edmonton Centre/Edmonton-Centre"," 19","Edmonton",39,64,0,4,1,8,0,45,1,162,410
48014,"Edmonton Centre/Edmonton-Centre"," 20","Edmonton",76,101,1,5,1,3,0,58,2,247,556
48014,"Edmonton Centre/Edmonton-Centre"," 21","Edmonton",50,72,0,2,0,8,0,59,0,191,534
48014,"Edmonton Centre/Edmonton-Centre"," 22","Edmonton",83,62,0,3,0,4,0,56,0,208,493
48014,"Edmonton Centre/Edmonton-Centre"," 23","Edmonton",73,73,3,3,0,3,0,58,0,213,526
48014,"Edmonton Centre/Edmonton-Centre"," 24","Edmonton",80,61,0,2,1,3,0,46,1,194,413
48014,"Edmonton Centre/Edmonton-Centre"," 25","Edmonton",45,117,3,3,0,5,0,31,1,205,380
48014,"Edmonton Centre/Edmonton-Centre"," 26","Edmonton",30,120,0,1,2,4,0,29,0,186,401
48014,"Edmonton Centre/Edmonton-Centre"," 27","Edmonton",35,67,0,1,0,4,0,34,0,141,262
48014,"Edmonton Centre/Edmonton-Centre"," 28","Edmonton",42,102,0,2,0,5,1,38,0,190,414
48014,"Edmonton Centre/Edmonton-Centre"," 29","Edmonton",36,93,0,3,0,5,1,32,0,170,370
48014,"Edmonton Centre/Edmonton-Centre"," 30","Edmonton",44,103,1,5,0,7,0,37,1,198,431
48014,"Edmonton Centre/Edmonton-Centre"," 31","Edmonton",47,60,0,3,0,5,1,45,0,161,392
48014,"Edmonton Centre/Edmonton-Centre"," 32","Edmonton",63,67,1,7,0,1,0,31,1,171,404
48014,"Edmonton Centre/Edmonton-Centre"," 33","Edmonton",43,41,0,1,1,2,1,18,0,107,427
48014,"Edmonton Centre/Edmonton-Centre"," 34","Edmonton",37,35,3,2,2,3,0,58,1,141,458
48014,"Edmonton Centre/Edmonton-Centre"," 35","Edmonton",88,73,0,3,0,6,0,43,4,217,410
48014,"Edmonton Centre/Edmonton-Centre"," 36","Edmonton",72,67,1,2,1,9,0,66,0,218,451
48014,"Edmonton Centre/Edmonton-Centre"," 37","Edmonton",76,101,0,3,0,2,0,40,0,222,381
48014,"Edmonton Centre/Edmonton-Centre"," 38","Edmonton",71,81,0,3,0,4,0,42,0,201,330
48014,"Edmonton Centre/Edmonton-Centre"," 39","Edmonton",90,92,1,3,0,13,0,40,1,240,431
48014,"Edmonton Centre/Edmonton-Centre"," 40","Edmonton",85,86,0,0,0,4,0,44,0,219,399
48014,"Edmonton Centre/Edmonton-Centre"," 41","Edmonton",58,115,4,7,0,13,1,50,5,253,542
48014,"Edmonton Centre/Edmonton-Centre"," 42","Edmonton",26,99,1,2,0,5,1,38,1,173,449
48014,"Edmonton Centre/Edmonton-Centre"," 43","Edmonton",63,115,0,3,0,8,1,57,4,251,574
48014,"Edmonton Centre/Edmonton-Centre"," 44","Edmonton",39,33,1,4,0,4,0,23,1,105,423
48014,"Edmonton Centre/Edmonton-Centre"," 45","Edmonton",62,63,1,5,0,6,1,51,2,191,422
48014,"Edmonton Centre/Edmonton-Centre"," 46","Edmonton",53,74,3,2,0,5,3,32,0,172,383
48014,"Edmonton Centre/Edmonton-Centre"," 47","Edmonton",34,67,0,2,0,3,1,54,2,163,369
48014,"Edmonton Centre/Edmonton-Centre"," 48","Edmonton",11,27,0,0,0,0,0,18,0,56,710
48014,"Edmonton Centre/Edmonton-Centre"," 49","Edmonton",50,107,1,2,1,3,0,50,0,214,491
48014,"Edmonton Centre/Edmonton-Centre"," 50","Edmonton",64,80,0,2,1,8,1,61,3,220,561
48014,"Edmonton Centre/Edmonton-Centre"," 51","Edmonton",81,84,2,1,0,3,0,39,4,214,499
48014,"Edmonton Centre/Edmonton-Centre"," 52","Edmonton",64,58,1,5,0,3,1,69,1,202,464
48014,"Edmonton Centre/Edmonton-Centre"," 53","Edmonton",55,54,0,3,0,6,1,64,0,183,513
48014,"Edmonton Centre/Edmonton-Centre"," 54","Edmonton",71,41,1,5,0,4,0,49,4,175,481
48014,"Edmonton Centre/Edmonton-Centre"," 55","Edmonton",81,53,1,3,0,7,0,42,0,187,537
48014,"Edmonton Centre/Edmonton-Centre"," 56","Edmonton",53,129,0,8,0,3,1,51,2,247,490
48014,"Edmonton Centre/Edmonton-Centre"," 57","Edmonton",78,112,0,5,1,6,0,44,2,248,400
48014,"Edmonton Centre/Edmonton-Centre"," 58","Edmonton",75,108,3,5,0,5,2,45,3,246,411
48014,"Edmonton Centre/Edmonton-Centre"," 59","Edmonton",76,84,0,4,0,3,1,39,0,207,381
48014,"Edmonton Centre/Edmonton-Centre"," 60","Edmonton",90,90,3,3,1,12,0,43,1,243,454
48014,"Edmonton Centre/Edmonton-Centre"," 61","Edmonton",79,116,0,0,0,7,1,44,0,247,424
48014,"Edmonton Centre/Edmonton-Centre"," 62","Edmonton",97,61,2,2,0,8,0,57,1,228,373
48014,"Edmonton Centre/Edmonton-Centre"," 63","Edmonton",90,66,0,4,0,7,1,54,1,223,437
48014,"Edmonton Centre/Edmonton-Centre"," 64","Edmonton",84,88,1,3,1,3,0,51,0,231,428
48014,"Edmonton Centre/Edmonton-Centre"," 65","Edmonton",112,82,3,4,0,6,1,71,0,279,491
48014,"Edmonton Centre/Edmonton-Centre"," 66","Edmonton",123,75,0,3,1,7,1,67,2,279,487
48014,"Edmonton Centre/Edmonton-Centre"," 67","Edmonton",114,74,0,1,0,8,0,39,1,237,423
48014,"Edmonton Centre/Edmonton-Centre"," 68","Edmonton",47,48,1,2,1,7,0,40,0,146,412
48014,"Edmonton Centre/Edmonton-Centre"," 69","Edmonton",70,94,0,4,0,3,0,85,0,256,522
48014,"Edmonton Centre/Edmonton-Centre"," 70","Edmonton",69,104,0,5,0,2,0,42,0,222,415
48014,"Edmonton Centre/Edmonton-Centre"," 71","Edmonton",72,110,0,3,0,7,0,24,0,216,437
48014,"Edmonton Centre/Edmonton-Centre"," 72","Edmonton",62,77,0,2,0,4,0,72,2,219,536
48014,"Edmonton Centre/Edmonton-Centre"," 73","Edmonton",81,70,3,3,0,8,2,74,2,243,715
48014,"Edmonton Centre/Edmonton-Centre"," 74","Edmonton",44,38,1,3,0,4,0,33,1,124,539
48014,"Edmonton Centre/Edmonton-Centre"," 75","Edmonton",81,67,0,6,0,3,1,65,0,223,519
48014,"Edmonton Centre/Edmonton-Centre"," 76","Edmonton",69,72,0,1,1,7,1,68,4,223,516
48014,"Edmonton Centre/Edmonton-Centre"," 77","Edmonton",55,59,0,4,0,2,0,22,1,143,614
48014,"Edmonton Centre/Edmonton-Centre"," 78","Edmonton",41,86,1,1,1,3,0,34,0,167,441
48014,"Edmonton Centre/Edmonton-Centre"," 79A","Edmonton",28,59,1,3,0,1,2,32,0,126,385
48014,"Edmonton Centre/Edmonton-Centre"," 79B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,,109
48014,"Edmonton Centre/Edmonton-Centre"," 80","Edmonton",48,98,1,2,1,1,1,38,0,190,424
48014,"Edmonton Centre/Edmonton-Centre"," 81","Edmonton",31,74,1,2,1,3,1,34,0,147,397
48014,"Edmonton Centre/Edmonton-Centre"," 82","Edmonton",27,103,0,4,1,5,0,20,0,160,388
48014,"Edmonton Centre/Edmonton-Centre"," 83","Edmonton",40,67,1,4,0,8,1,56,0,177,400
48014,"Edmonton Centre/Edmonton-Centre"," 84","Edmonton",54,64,1,5,0,13,1,54,0,192,423
48014,"Edmonton Centre/Edmonton-Centre"," 85","Edmonton",68,48,1,3,1,9,0,49,2,181,534
48014,"Edmonton Centre/Edmonton-Centre"," 86","Edmonton",79,54,0,2,0,3,0,39,0,177,592
48014,"Edmonton Centre/Edmonton-Centre"," 87","Edmonton",83,121,1,2,0,6,0,21,1,235,524
48014,"Edmonton Centre/Edmonton-Centre"," 88","Edmonton",81,146,0,2,0,5,0,29,1,264,583
48014,"Edmonton Centre/Edmonton-Centre"," 89","Edmonton",107,112,0,0,0,6,1,37,1,264,565
48014,"Edmonton Centre/Edmonton-Centre"," 90","Edmonton",57,45,0,2,0,10,0,72,1,187,433
48014,"Edmonton Centre/Edmonton-Centre"," 91","Edmonton",77,63,1,6,1,5,1,72,4,230,475
48014,"Edmonton Centre/Edmonton-Centre"," 92","Edmonton",58,42,0,6,0,6,0,75,0,187,425
48014,"Edmonton Centre/Edmonton-Centre"," 93","Edmonton",93,80,0,5,0,7,2,73,1,261,490
48014,"Edmonton Centre/Edmonton-Centre"," 94","Edmonton",63,53,1,6,0,6,1,46,4,180,529
48014,"Edmonton Centre/Edmonton-Centre"," 95","Edmonton",22,30,0,4,0,1,0,9,2,68,457
48014,"Edmonton Centre/Edmonton-Centre"," 96A","Edmonton",22,26,0,1,0,3,0,14,1,67,244
48014,"Edmonton Centre/Edmonton-Centre"," 96B","Edmonton",24,22,0,1,1,1,1,28,7,85,247
48014,"Edmonton Centre/Edmonton-Centre"," 97","Edmonton",52,59,1,0,0,3,2,75,1,193,507
48014,"Edmonton Centre/Edmonton-Centre"," 98","Edmonton",53,123,0,0,0,2,0,20,0,198,375
48014,"Edmonton Centre/Edmonton-Centre"," 99","Edmonton",96,131,0,2,0,4,1,24,0,258,450
48014,"Edmonton Centre/Edmonton-Centre"," 100","Edmonton",85,112,1,0,0,7,0,22,0,227,433
48014,"Edmonton Centre/Edmonton-Centre"," 101","Edmonton",70,130,1,0,0,3,0,12,1,217,426
48014,"Edmonton Centre/Edmonton-Centre"," 102","Edmonton",92,77,3,0,0,7,0,56,0,235,479
48014,"Edmonton Centre/Edmonton-Centre"," 103","Edmonton",111,85,0,2,0,6,0,108,1,313,607
48014,"Edmonton Centre/Edmonton-Centre"," 104","Edmonton",76,50,1,4,0,4,0,41,0,176,355
48014,"Edmonton Centre/Edmonton-Centre"," 105","Edmonton",41,56,1,5,1,4,0,63,0,171,413
48014,"Edmonton Centre/Edmonton-Centre"," 106","Edmonton",60,71,0,3,0,5,3,31,0,173,342
48014,"Edmonton Centre/Edmonton-Centre"," 107","Edmonton",111,100,2,8,1,7,0,113,0,342,841
48014,"Edmonton Centre/Edmonton-Centre"," 108","Edmonton",58,44,1,6,0,6,0,62,2,179,353
48014,"Edmonton Centre/Edmonton-Centre"," 109","Edmonton",108,107,2,2,0,13,0,114,2,348,732
48014,"Edmonton Centre/Edmonton-Centre"," 110","Edmonton",15,6,0,0,0,2,0,13,1,37,87
48014,"Edmonton Centre/Edmonton-Centre"," 111","Edmonton",68,59,1,4,0,8,0,73,0,213,446
