Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shandi Bleiken,Amy Bronson,Rachael Harder,Grant Hepworth,Marc Slingerland,Stephnie Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Lethbridge/Lethbridge"," 1","Iron Springs",2,5,53,0,0,2,1,63,248
48026,"Lethbridge/Lethbridge"," 2","Barons",15,10,130,7,4,2,1,169,327
48026,"Lethbridge/Lethbridge"," 3","Nobleford",6,7,165,2,19,2,0,201,340
48026,"Lethbridge/Lethbridge"," 4","Nobleford",18,6,242,10,16,7,0,299,491
48026,"Lethbridge/Lethbridge"," 5","Nobleford",9,11,127,2,5,4,0,158,223
48026,"Lethbridge/Lethbridge"," 6","Keho",3,9,159,2,27,1,0,201,324
48026,"Lethbridge/Lethbridge"," 7","Picture Butte",13,7,159,3,17,3,0,202,384
48026,"Lethbridge/Lethbridge"," 8","Picture Butte",6,6,109,2,5,4,1,133,303
48026,"Lethbridge/Lethbridge"," 9","Picture Butte",4,2,96,1,6,1,0,110,226
48026,"Lethbridge/Lethbridge"," 10","Turin",3,1,81,0,3,1,0,89,241
48026,"Lethbridge/Lethbridge"," 11","Iron Springs",4,3,228,2,15,3,1,256,458
48026,"Lethbridge/Lethbridge"," 12","Monarch",15,15,259,5,25,6,3,328,491
48026,"Lethbridge/Lethbridge"," 13","Picture Butte",6,10,106,0,4,3,1,130,313
48026,"Lethbridge/Lethbridge"," 14","Shaughnessy",8,10,116,3,6,2,1,146,296
48026,"Lethbridge/Lethbridge"," 15","Shaughnessy",7,7,117,1,20,7,0,159,296
48026,"Lethbridge/Lethbridge"," 16","Diamond City",10,4,135,1,7,1,0,158,348
48026,"Lethbridge/Lethbridge"," 17","Coalhurst",11,6,125,1,8,1,1,153,336
48026,"Lethbridge/Lethbridge"," 18","Coalhurst",21,11,134,6,12,5,0,189,452
48026,"Lethbridge/Lethbridge"," 19","Coalhurst",20,16,99,3,1,3,0,142,303
48026,"Lethbridge/Lethbridge"," 20","Coalhurst",25,14,137,2,1,5,0,184,343
48026,"Lethbridge/Lethbridge"," 21","Coalhurst",21,14,120,2,5,3,0,165,403
48026,"Lethbridge/Lethbridge"," 22","Coalhurst",26,20,200,6,6,9,0,267,544
48026,"Lethbridge/Lethbridge"," 23","Diamond City",17,12,190,4,1,3,1,228,362
48026,"Lethbridge/Lethbridge"," 24","Lethbridge",40,23,146,3,1,8,2,223,414
48026,"Lethbridge/Lethbridge"," 25","Broxburn",2,2,59,0,2,0,0,65,160
48026,"Lethbridge/Lethbridge"," 26A","Lethbridge",37,21,149,2,2,10,1,222,357
48026,"Lethbridge/Lethbridge"," 26B","Lethbridge",29,24,126,2,2,9,3,195,364
48026,"Lethbridge/Lethbridge"," 27A","Lethbridge",41,18,132,3,0,5,2,201,405
48026,"Lethbridge/Lethbridge"," 27B","Lethbridge",31,20,120,3,0,2,3,179,353
48026,"Lethbridge/Lethbridge"," 28","Lethbridge",43,34,168,1,1,6,2,255,521
48026,"Lethbridge/Lethbridge"," 29","Lethbridge",19,33,185,2,2,6,5,252,510
48026,"Lethbridge/Lethbridge"," 30","Lethbridge",22,17,166,2,2,2,1,212,424
48026,"Lethbridge/Lethbridge"," 31","Lethbridge",53,48,170,6,2,3,2,284,555
48026,"Lethbridge/Lethbridge"," 32","Lethbridge",28,19,140,5,2,2,2,198,459
48026,"Lethbridge/Lethbridge"," 33","Lethbridge",31,32,133,6,1,4,0,207,463
48026,"Lethbridge/Lethbridge"," 34","Lethbridge",33,12,130,5,4,4,1,189,445
48026,"Lethbridge/Lethbridge"," 35","Lethbridge",30,16,117,5,1,7,1,177,347
48026,"Lethbridge/Lethbridge"," 36","Lethbridge",14,19,74,0,2,1,0,110,282
48026,"Lethbridge/Lethbridge"," 37","Lethbridge",15,23,108,1,0,7,0,154,406
48026,"Lethbridge/Lethbridge"," 38","Lethbridge",38,21,133,3,2,3,0,200,414
48026,"Lethbridge/Lethbridge"," 39","Lethbridge",39,19,101,10,0,4,0,173,420
48026,"Lethbridge/Lethbridge"," 40","Lethbridge",35,15,138,2,1,4,1,196,414
48026,"Lethbridge/Lethbridge"," 41","Lethbridge",30,19,94,1,0,2,1,147,349
48026,"Lethbridge/Lethbridge"," 42","Lethbridge",21,17,82,2,0,4,0,126,347
48026,"Lethbridge/Lethbridge"," 43","Lethbridge",19,27,103,3,3,6,0,161,422
48026,"Lethbridge/Lethbridge"," 44","Lethbridge",30,30,82,3,1,4,0,150,382
48026,"Lethbridge/Lethbridge"," 45","Lethbridge",29,22,157,7,2,10,2,229,474
48026,"Lethbridge/Lethbridge"," 46","Lethbridge",23,16,105,2,1,6,0,153,399
48026,"Lethbridge/Lethbridge"," 47","Lethbridge",28,17,97,4,0,11,3,160,380
48026,"Lethbridge/Lethbridge"," 48","Lethbridge",35,32,145,4,0,11,2,229,479
48026,"Lethbridge/Lethbridge"," 49A","Lethbridge",23,23,106,1,1,6,1,161,345
48026,"Lethbridge/Lethbridge"," 49B","Lethbridge",15,16,109,1,0,3,0,144,321
48026,"Lethbridge/Lethbridge"," 50A","Lethbridge",31,29,127,2,1,8,0,198,400
48026,"Lethbridge/Lethbridge"," 50B","Lethbridge",22,17,112,4,2,3,0,160,337
48026,"Lethbridge/Lethbridge"," 51","Lethbridge",25,28,122,3,0,5,1,184,433
48026,"Lethbridge/Lethbridge"," 52","Lethbridge",87,38,116,5,0,8,0,254,568
48026,"Lethbridge/Lethbridge"," 53","Lethbridge",57,40,182,1,0,8,1,289,612
48026,"Lethbridge/Lethbridge"," 54A","Lethbridge",38,19,113,1,0,3,1,175,348
48026,"Lethbridge/Lethbridge"," 54B","Lethbridge",28,34,92,1,0,3,1,159,340
48026,"Lethbridge/Lethbridge"," 55","Lethbridge",34,41,127,2,1,10,0,215,454
48026,"Lethbridge/Lethbridge"," 56A","Lethbridge",27,24,112,1,1,8,2,175,337
48026,"Lethbridge/Lethbridge"," 56B","Lethbridge",15,22,74,2,0,2,1,116,263
48026,"Lethbridge/Lethbridge"," 57","Coaldale",12,7,232,7,15,5,0,278,484
48026,"Lethbridge/Lethbridge"," 58","Coaldale",17,25,158,6,10,4,0,220,444
48026,"Lethbridge/Lethbridge"," 59A","Coaldale",12,6,101,6,3,1,0,129,351
48026,"Lethbridge/Lethbridge"," 59B","Coaldale",15,11,90,1,2,1,1,121,270
48026,"Lethbridge/Lethbridge"," 60A","Coaldale",21,10,103,1,2,8,0,145,324
48026,"Lethbridge/Lethbridge"," 60B","Coaldale",13,11,119,1,0,2,1,147,339
48026,"Lethbridge/Lethbridge"," 61","Wilson",11,14,175,6,7,3,1,217,366
48026,"Lethbridge/Lethbridge"," 62","Lethbridge",23,18,131,4,2,6,1,185,391
48026,"Lethbridge/Lethbridge"," 63","Lethbridge",36,27,112,3,2,10,0,190,432
48026,"Lethbridge/Lethbridge"," 64","Lethbridge",29,25,128,6,1,7,0,196,433
48026,"Lethbridge/Lethbridge"," 65","Lethbridge",27,22,95,1,2,6,1,154,392
48026,"Lethbridge/Lethbridge"," 66","Lethbridge",16,23,97,3,2,6,1,148,372
48026,"Lethbridge/Lethbridge"," 67","Lethbridge",22,12,106,6,7,6,1,160,371
48026,"Lethbridge/Lethbridge"," 68","Lethbridge",22,23,86,3,1,7,1,143,369
48026,"Lethbridge/Lethbridge"," 69","Lethbridge",20,20,97,3,4,2,1,147,375
48026,"Lethbridge/Lethbridge"," 70","Lethbridge",26,15,107,5,3,9,2,167,405
48026,"Lethbridge/Lethbridge"," 71","Lethbridge",31,16,115,3,2,3,0,170,422
48026,"Lethbridge/Lethbridge"," 72","Lethbridge",28,30,111,3,0,1,0,173,371
48026,"Lethbridge/Lethbridge"," 73","Lethbridge",51,29,126,4,2,5,2,219,502
48026,"Lethbridge/Lethbridge"," 74","Lethbridge",32,27,116,7,1,8,2,193,484
48026,"Lethbridge/Lethbridge"," 75","Lethbridge",36,24,93,11,1,6,0,171,472
48026,"Lethbridge/Lethbridge"," 76","Lethbridge",51,39,128,0,1,6,1,226,489
48026,"Lethbridge/Lethbridge"," 77","Lethbridge",40,24,139,3,1,3,3,213,428
48026,"Lethbridge/Lethbridge"," 78","Lethbridge",50,44,136,4,4,7,1,246,472
48026,"Lethbridge/Lethbridge"," 79","Lethbridge",27,30,140,2,1,0,0,200,341
48026,"Lethbridge/Lethbridge"," 80","Lethbridge",24,34,152,6,0,8,0,224,418
48026,"Lethbridge/Lethbridge"," 81","Lethbridge",31,41,147,2,1,4,0,226,412
48026,"Lethbridge/Lethbridge"," 82","Lethbridge",32,47,121,8,1,5,2,216,402
48026,"Lethbridge/Lethbridge"," 83","Lethbridge",20,37,136,7,0,6,0,206,383
48026,"Lethbridge/Lethbridge"," 84","Lethbridge",45,18,106,7,1,13,3,193,442
48026,"Lethbridge/Lethbridge"," 85","Lethbridge",23,18,97,3,3,12,0,156,390
48026,"Lethbridge/Lethbridge"," 86","Lethbridge",40,26,107,4,2,13,1,193,398
48026,"Lethbridge/Lethbridge"," 87","Lethbridge",33,26,109,5,0,6,1,180,435
48026,"Lethbridge/Lethbridge"," 88","Lethbridge",32,15,125,4,1,10,1,188,461
48026,"Lethbridge/Lethbridge"," 89","Lethbridge",29,27,87,4,2,8,0,157,379
48026,"Lethbridge/Lethbridge"," 90","Lethbridge",42,26,82,5,1,8,1,165,394
48026,"Lethbridge/Lethbridge"," 91","Lethbridge",40,24,127,1,1,5,2,200,407
48026,"Lethbridge/Lethbridge"," 92","Lethbridge",30,25,120,2,5,14,1,197,412
48026,"Lethbridge/Lethbridge"," 93A","Lethbridge",26,25,72,4,1,5,0,133,376
48026,"Lethbridge/Lethbridge"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,69
48026,"Lethbridge/Lethbridge"," 94","Lethbridge",29,30,69,7,0,5,1,141,425
