Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Bendayan,Andrea Clarke,Daniel Green,Célia Grimard,Mark John Hiemstra,Sabin Lévesque,Jasmine Louras,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Outremont/Outremont"," 501","Mobile poll/Bureau itinérant",27,3,3,2,0,1,3,0,39,105
24054,"Outremont/Outremont"," 502","Mobile poll/Bureau itinérant",23,5,1,1,0,1,4,2,37,107
24054,"Outremont/Outremont"," 503","Mobile poll/Bureau itinérant",24,0,1,2,0,0,2,0,29,96
24054,"Outremont/Outremont"," 600","Montréal",363,184,133,254,2,3,26,6,971,
24054,"Outremont/Outremont"," 601","Montréal",154,130,91,69,2,5,15,3,469,
24054,"Outremont/Outremont"," 602","Montréal",277,194,114,91,6,9,22,7,720,
24054,"Outremont/Outremont"," 603","Montréal",270,252,131,85,3,6,20,1,768,
24054,"Outremont/Outremont"," 604","Montréal",319,188,136,195,4,2,30,3,877,
24054,"Outremont/Outremont"," 605","Outremont",513,140,157,282,6,6,49,7,1160,
24054,"Outremont/Outremont"," 606","Outremont",552,157,227,304,5,4,91,8,1348,
24054,"Outremont/Outremont"," 607","Montréal",597,116,102,226,6,12,120,12,1191,
24054,"Outremont/Outremont"," 608","Montréal",294,54,27,46,0,11,75,5,512,
24054,"Outremont/Outremont"," 609","Montréal",335,63,48,62,2,7,56,7,580,
24054,"Outremont/Outremont"," 610","Montréal",397,94,66,155,4,15,55,7,793,
24054,"Outremont/Outremont"," 611","Montréal",463,123,94,150,0,9,90,9,938,
24054,"Outremont/Outremont",,Group 1/Groupe 1, 195,93,66,14,2,0,8,28,406,645
24054,"Outremont/Outremont",,Group 2/Groupe 2, 1877,469,322,209,5,16,530,62,3490,
