Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julius Nick Csaszar,John Kidder,Michael Nenn,Jati Sidhu,Brad Vis,Elaine Wismer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 1","Gold Bridge",4,17,15,25,36,0,1,98,158
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 2","Gold Bridge",3,29,28,16,2,0,0,78,216
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 3","Lillooet",3,45,39,17,54,0,2,160,412
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 4","Fountain Valley",2,45,97,39,64,1,0,248,545
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 5","Lillooet",0,32,37,25,90,0,1,185,402
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 6","Lillooet",1,40,28,35,27,1,0,132,328
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 7","Shalalth",2,17,27,20,52,0,0,118,244
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 8","Lillooet",3,36,34,39,84,0,0,196,440
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 9","Lillooet",0,17,27,20,14,0,1,79,289
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 10","Shalalth",4,27,52,32,31,1,1,148,337
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 11","Cache Creek",4,23,31,40,137,0,0,235,490
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 12","Cache Creek",2,22,12,28,81,0,2,147,312
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 13","Cache Creek",0,27,28,25,51,1,1,133,375
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 14","Walhachin",3,14,11,11,100,0,0,139,235
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 15","Ashcroft",6,18,20,42,75,0,2,163,297
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 16","Ashcroft",8,66,24,65,131,1,2,297,553
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 17","Ashcroft",6,44,21,45,67,2,3,188,382
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 18","Ashcroft",15,48,34,38,113,0,2,250,431
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 19","Lytton",7,42,50,24,10,0,0,133,371
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 20","Lytton",3,70,80,37,34,1,4,229,652
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 21","Spences Bridge",3,44,25,40,44,2,2,160,253
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 22","Pemberton",2,31,9,6,2,0,0,50,74
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 23","Boston Bar",20,32,65,68,92,0,1,278,505
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 24","Pemberton",Merged with No./Fusionné avec le n°25,,,,,,,,0
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 25","Harrison Mills",6,34,37,74,93,1,0,245,539
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 26","Harrison Hot Springs",8,35,28,81,85,0,1,238,443
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 27","Harrison Hot Springs",6,36,53,98,135,0,0,328,583
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 28","Chehalis 5",5,17,45,34,16,0,0,117,338
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 29","Chehalis 5",15,23,54,91,149,1,1,334,613
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 30","Harrison Mills",5,18,27,41,76,0,0,167,416
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 31","Pemberton",8,39,38,32,43,1,1,162,442
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 32","Mission",12,44,54,52,136,0,0,298,626
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 33","Mission",7,32,73,61,159,1,2,335,636
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 34","Mission",6,24,45,39,57,2,2,175,400
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 35","Mission",10,41,40,62,111,0,1,265,498
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 36","Mission",6,38,55,53,136,0,0,288,496
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 37","Mission",3,29,29,73,109,1,3,247,481
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 38","Mission",7,38,42,62,130,0,2,281,554
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 39","Dewdney",9,38,39,55,111,1,0,253,455
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 40","Dewdney",14,34,22,46,118,0,0,234,366
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 41","Dewdney",17,22,21,43,70,0,1,174,300
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 42","Mission",12,36,37,59,170,0,2,316,663
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 43","Mission",10,30,51,59,109,0,0,259,553
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 44","Mission",3,31,31,62,97,0,3,227,450
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 45","Mission",6,39,37,69,134,1,3,289,522
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 46","Mission",5,31,39,71,116,0,2,264,489
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 47","Mission",10,23,61,74,89,0,1,258,471
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 48","Mission",2,46,43,60,146,0,2,299,560
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 49","Mission",3,35,35,60,88,0,2,223,458
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 50","Mission",10,30,55,67,94,0,1,257,537
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 51","Mission",2,31,67,82,93,0,2,277,561
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 52","Mission",4,14,48,80,90,0,0,236,466
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 53","Mission",3,19,41,70,100,0,2,235,481
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 54","Mission",3,16,58,57,104,1,2,241,507
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 55","Mission",4,7,52,41,67,0,2,173,387
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 56","Mission",6,27,43,56,86,0,0,218,445
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 57","Mission",6,23,36,37,50,0,0,152,314
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 58","Mission",4,7,49,72,78,0,0,210,483
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 59","Mission",7,26,63,85,88,0,0,269,576
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 60","Mission",5,17,42,48,58,0,2,172,355
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 61","Mission",5,13,36,60,99,0,3,216,444
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 62","Mission",8,20,64,63,98,0,3,256,495
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 63","Mission",9,26,42,39,90,0,1,207,416
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 64","Mission",14,46,53,58,76,0,2,249,478
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 65","Mission",2,18,48,43,65,0,0,176,347
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon"," 66","Mission",15,36,77,57,85,0,1,271,515
