Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude André,Alexandre Boulerice,Gisèle Desrochers,Jean Désy,Geneviève Hinse,Jos Guitare Lavoie,Bobby Pellerin,Normand Raymond,Johanna Sarfati,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 1","Montréal",74,85,1,6,83,1,0,1,9,1,261,528
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 2","Montréal",46,40,0,9,89,0,1,0,22,0,207,344
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 3","Montréal",39,70,1,9,55,2,1,0,3,0,180,450
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 4","Montréal",51,50,0,10,55,0,1,1,7,5,180,397
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 5","Montréal",81,120,1,22,75,1,0,0,9,2,311,582
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 6","Montréal",63,95,1,14,67,2,1,0,3,2,248,501
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 7","Montréal",47,54,2,9,112,0,1,1,7,6,239,576
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8","Montréal",37,39,0,5,50,0,1,1,9,1,143,318
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 9","Montréal",56,82,1,5,55,1,1,1,9,4,215,366
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 10","Montréal",27,56,0,5,52,0,0,0,16,2,158,330
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 11","Montréal",53,76,1,15,68,2,2,0,4,4,225,440
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 12","Montréal",43,65,0,9,69,0,3,0,6,3,198,424
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 13","Montréal",60,102,1,18,74,1,1,1,8,1,267,557
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 14","Montréal",59,54,0,6,72,1,0,1,10,5,208,390
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 15","Montréal",64,73,0,14,44,1,1,0,1,2,200,412
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 16","Montréal",42,60,0,10,54,0,1,0,8,6,181,476
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 17","Montréal",52,94,0,13,95,0,3,1,12,8,278,553
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 18","Montréal",49,66,0,12,38,1,0,0,8,8,182,354
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 19","Montréal",56,70,0,13,56,0,3,0,5,3,206,429
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 20","Montréal",62,77,2,13,72,1,1,0,2,2,232,525
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 21","Montréal",49,49,1,7,54,2,0,0,14,0,176,463
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 22","Montréal",25,48,0,7,73,0,3,0,3,3,162,411
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 23","Montréal",39,81,0,6,63,1,2,0,6,1,199,369
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 24","Montréal",62,82,0,14,50,1,6,0,12,0,227,457
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 25","Montréal",56,74,1,13,49,1,1,0,2,0,197,425
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 26","Montréal",64,54,0,9,42,2,1,0,5,1,178,371
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 27","Montréal",47,78,0,13,65,2,1,0,11,5,222,535
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 28","Montréal",61,68,1,4,62,1,0,0,7,2,206,439
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 29","Montréal",63,74,0,18,43,1,0,0,6,1,206,454
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 30","Montréal",57,110,0,9,43,1,4,1,8,1,234,462
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 31","Montréal",66,65,1,13,49,0,0,0,1,4,199,327
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 32","Montréal",63,116,0,6,54,5,0,0,3,2,249,419
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 33","Montréal",45,89,0,9,34,2,1,0,0,8,188,326
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 34","Montréal",49,50,0,9,72,0,0,0,11,5,196,498
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 35","Montréal",41,44,1,8,88,1,1,0,6,2,192,513
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 36","Montréal",62,95,0,16,70,0,3,0,13,5,264,517
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 37","Montréal",45,77,0,18,55,0,0,0,5,1,201,412
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 38","Montréal",81,77,2,15,62,0,2,0,5,3,247,525
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 39","Montréal",64,102,0,27,39,0,0,0,4,3,239,494
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 40","Montréal",53,61,0,5,29,1,2,0,4,0,155,364
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 41","Montréal",29,55,0,7,56,1,0,0,5,5,158,307
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 42","Montréal",82,69,1,6,54,1,2,0,4,6,225,406
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 43","Montréal",52,53,0,13,58,2,0,1,4,3,186,483
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 44","Montréal",55,83,0,10,59,1,2,0,3,2,215,383
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 45","Montréal",39,53,0,12,69,0,2,0,10,1,186,548
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 46","Montréal",46,66,0,5,52,0,1,0,10,1,181,407
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 47","Montréal",82,128,0,14,69,1,2,2,2,2,302,519
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 48","Montréal",34,98,0,17,72,2,1,0,7,3,234,460
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 49","Montréal",82,141,0,12,41,2,0,0,1,2,281,467
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 50","Montréal",70,101,1,13,45,1,1,0,6,6,244,443
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 51","Montréal",66,112,1,11,67,0,3,1,8,3,272,486
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 52","Montréal",84,128,0,20,61,3,0,0,5,4,305,545
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 53","Montréal",59,87,1,11,48,2,4,2,7,2,223,485
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 54","Montréal",51,90,0,12,37,1,1,1,5,3,201,357
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 55","Montréal",61,83,0,11,25,1,3,0,0,2,186,356
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 56","Montréal",47,83,1,7,23,3,0,0,0,0,164,315
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 57","Montréal",39,94,0,15,31,0,0,0,4,2,185,426
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 58","Montréal",55,72,0,19,48,1,1,0,2,0,198,393
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 59","Montréal",69,82,0,20,67,0,1,0,6,2,247,425
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 60","Montréal",45,44,0,8,71,0,1,0,9,4,182,418
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 61","Montréal",53,60,0,11,66,0,1,0,2,0,193,386
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 62","Montréal",58,100,1,5,100,0,0,0,8,0,272,519
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 63","Montréal",47,61,0,13,78,0,0,0,4,0,203,441
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 64","Montréal",45,74,0,10,64,2,0,0,7,3,205,408
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 65","Montréal",35,59,0,6,38,0,2,0,5,3,148,328
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 66","Montréal",65,98,0,9,60,0,3,0,5,3,243,518
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 67","Montréal",62,108,0,9,45,2,1,0,8,2,237,510
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 68","Montréal",45,103,0,9,29,0,2,0,1,1,190,324
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 69","Montréal",42,88,0,9,20,1,0,0,1,0,161,305
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 70","Montréal",48,89,0,12,37,1,0,0,6,0,193,422
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 71","Montréal",52,113,1,12,52,1,2,0,1,0,234,429
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 72","Montréal",49,60,2,13,61,0,0,0,13,6,204,417
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 73","Montréal",46,109,0,16,28,2,2,0,1,0,204,343
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 74","Montréal",73,103,1,13,57,2,1,0,2,0,252,385
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 75","Montréal",72,121,0,18,41,2,0,0,5,4,263,465
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 76","Montréal",54,128,0,16,56,3,2,0,6,2,267,507
