Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irma DeVries,Roger Fuhr,Geoff Krauter,Pirie Mitchell,John Nater,Collan Simmons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Perth--Wellington/Perth--Wellington"," 1","Mount Forest",5,2,21,53,92,15,2,190,514
35083,"Perth--Wellington/Perth--Wellington"," 2","Mount Forest",1,6,50,53,104,17,4,235,578
35083,"Perth--Wellington/Perth--Wellington"," 3","Mount Forest",1,5,28,62,85,24,0,205,542
35083,"Perth--Wellington/Perth--Wellington"," 4","Wellington North",4,7,13,44,96,24,2,190,457
35083,"Perth--Wellington/Perth--Wellington"," 5","Mount Forest",0,6,22,39,81,12,2,162,449
35083,"Perth--Wellington/Perth--Wellington"," 6","Mount Forest",4,5,34,31,70,12,4,160,464
35083,"Perth--Wellington/Perth--Wellington"," 7","Mount Forest",1,9,20,37,112,17,1,197,475
35083,"Perth--Wellington/Perth--Wellington"," 8","Mount Forest",6,4,33,37,85,22,2,189,491
35083,"Perth--Wellington/Perth--Wellington"," 9","Mount Forest",5,2,24,47,58,17,1,154,396
35083,"Perth--Wellington/Perth--Wellington"," 10","Wellington North",3,4,23,43,83,9,1,166,450
35083,"Perth--Wellington/Perth--Wellington"," 11","Wellington North",2,3,23,42,91,12,3,176,443
35083,"Perth--Wellington/Perth--Wellington"," 12","Minto",10,5,29,59,154,25,3,285,570
35083,"Perth--Wellington/Perth--Wellington"," 13","Minto",5,22,62,73,189,28,1,380,684
35083,"Perth--Wellington/Perth--Wellington"," 14","Wellington North",1,5,12,34,98,11,0,161,347
35083,"Perth--Wellington/Perth--Wellington"," 15","Wellington North",1,1,13,25,93,7,0,140,349
35083,"Perth--Wellington/Perth--Wellington"," 16","Wellington North",3,4,34,41,98,25,1,206,418
35083,"Perth--Wellington/Perth--Wellington"," 17","Wellington North",4,4,16,27,101,17,1,170,396
35083,"Perth--Wellington/Perth--Wellington"," 18","Wellington North",6,6,24,33,115,15,0,199,430
35083,"Perth--Wellington/Perth--Wellington"," 19","Arthur",4,6,28,23,106,27,0,194,448
35083,"Perth--Wellington/Perth--Wellington"," 20","Arthur",3,3,23,40,107,18,1,195,412
35083,"Perth--Wellington/Perth--Wellington"," 21","Wellington North",2,3,7,34,104,17,0,167,352
35083,"Perth--Wellington/Perth--Wellington"," 22","Arthur",6,0,40,38,63,15,1,163,387
35083,"Perth--Wellington/Perth--Wellington"," 23","Minto",3,3,17,46,116,9,0,194,422
35083,"Perth--Wellington/Perth--Wellington"," 24","Minto",1,2,12,42,91,12,0,160,398
35083,"Perth--Wellington/Perth--Wellington"," 25","Minto",3,2,38,47,107,26,1,224,468
35083,"Perth--Wellington/Perth--Wellington"," 26","Minto",8,3,25,40,124,20,0,220,442
35083,"Perth--Wellington/Perth--Wellington"," 27","Minto",4,3,28,45,121,23,0,224,427
35083,"Perth--Wellington/Perth--Wellington"," 28","Minto",16,4,10,30,131,20,0,211,462
35083,"Perth--Wellington/Perth--Wellington"," 29","Minto",0,4,23,34,139,19,1,220,488
35083,"Perth--Wellington/Perth--Wellington"," 30","Minto",10,10,35,36,132,23,2,248,526
35083,"Perth--Wellington/Perth--Wellington"," 31","Minto",8,0,36,56,119,26,1,246,560
35083,"Perth--Wellington/Perth--Wellington"," 32","Minto",3,9,38,48,96,10,4,208,489
35083,"Perth--Wellington/Perth--Wellington"," 33","Minto",5,5,28,47,99,16,1,201,477
35083,"Perth--Wellington/Perth--Wellington"," 34","North Perth",13,0,23,44,134,11,2,227,491
35083,"Perth--Wellington/Perth--Wellington"," 35","Mapleton",7,1,21,31,160,17,0,237,438
35083,"Perth--Wellington/Perth--Wellington"," 36","Alma",3,10,34,39,154,31,2,273,440
35083,"Perth--Wellington/Perth--Wellington"," 37","Mapleton",1,8,23,32,108,15,0,187,441
35083,"Perth--Wellington/Perth--Wellington"," 38","North Perth",1,1,19,49,103,17,0,190,346
35083,"Perth--Wellington/Perth--Wellington"," 39","North Perth",6,10,22,26,127,5,0,196,368
35083,"Perth--Wellington/Perth--Wellington"," 40","Mapleton",4,5,23,37,136,21,2,228,520
35083,"Perth--Wellington/Perth--Wellington"," 41","Mapleton",8,4,14,49,156,16,1,248,559
35083,"Perth--Wellington/Perth--Wellington"," 42","Mapleton",10,4,23,47,124,15,3,226,443
35083,"Perth--Wellington/Perth--Wellington"," 43","Mapleton",3,4,22,47,160,19,0,255,556
