Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allison Brown,Russ Emo,Michele Fisher,Chad Ransom,Kyle Seeback,Stefan Wiesen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Dufferin--Caledon/Dufferin--Caledon"," 1","Mulmur",17,1,57,12,116,32,2,237,515
35022,"Dufferin--Caledon/Dufferin--Caledon"," 2","Honeywood--Mulmur",23,0,64,10,111,47,0,255,546
35022,"Dufferin--Caledon/Dufferin--Caledon"," 3","Mulmur--Violet Hill",27,1,59,11,117,20,0,235,460
35022,"Dufferin--Caledon/Dufferin--Caledon"," 4","Mulmur--Mansfield",15,3,63,4,86,34,1,206,472
35022,"Dufferin--Caledon/Dufferin--Caledon"," 5","Mulmur--Violet Hill",20,1,79,12,102,33,2,249,475
35022,"Dufferin--Caledon/Dufferin--Caledon"," 6","Melancthon",30,3,53,4,123,35,0,248,496
35022,"Dufferin--Caledon/Dufferin--Caledon"," 7","Horning's Mills",31,0,60,13,127,33,1,265,488
35022,"Dufferin--Caledon/Dufferin--Caledon"," 8","Mulmur",12,0,44,2,73,30,1,162,445
35022,"Dufferin--Caledon/Dufferin--Caledon"," 9","Melancthon",19,0,30,7,87,23,3,169,531
35022,"Dufferin--Caledon/Dufferin--Caledon"," 10","Melancthon",24,3,31,17,95,21,0,191,542
35022,"Dufferin--Caledon/Dufferin--Caledon"," 11","Melancthon Southeast",26,1,50,4,85,18,0,184,491
35022,"Dufferin--Caledon/Dufferin--Caledon"," 12","Shelburne",53,1,134,1,74,15,4,282,758
35022,"Dufferin--Caledon/Dufferin--Caledon"," 13A","Shelburne",24,2,50,3,47,10,1,137,391
35022,"Dufferin--Caledon/Dufferin--Caledon"," 13B","Shelburne",18,5,47,3,47,8,2,130,392
35022,"Dufferin--Caledon/Dufferin--Caledon"," 14","Shelburne",45,0,74,13,127,33,5,297,649
35022,"Dufferin--Caledon/Dufferin--Caledon"," 15","Shelburne",28,2,58,5,113,28,2,236,557
35022,"Dufferin--Caledon/Dufferin--Caledon"," 16","Shelburne",26,1,79,10,112,25,2,255,511
35022,"Dufferin--Caledon/Dufferin--Caledon"," 17","Shelburne",47,2,71,9,91,29,3,252,632
35022,"Dufferin--Caledon/Dufferin--Caledon"," 18","Shelburne",39,3,45,9,113,34,0,243,582
35022,"Dufferin--Caledon/Dufferin--Caledon"," 19","Shelburne",34,2,60,8,92,31,0,227,498
35022,"Dufferin--Caledon/Dufferin--Caledon"," 20","Mono",25,1,107,10,131,71,0,345,596
35022,"Dufferin--Caledon/Dufferin--Caledon"," 21","Mono",16,1,71,4,116,63,0,271,578
35022,"Dufferin--Caledon/Dufferin--Caledon"," 22","Mono",28,0,75,1,141,52,0,297,582
35022,"Dufferin--Caledon/Dufferin--Caledon"," 23","Mono",14,0,83,5,134,73,0,309,629
35022,"Dufferin--Caledon/Dufferin--Caledon"," 24","Shelburne",36,0,58,16,144,44,4,302,607
35022,"Dufferin--Caledon/Dufferin--Caledon"," 25","Shelburne",45,9,51,10,151,24,7,297,611
35022,"Dufferin--Caledon/Dufferin--Caledon"," 26","Amaranth",33,1,84,5,152,24,2,301,627
35022,"Dufferin--Caledon/Dufferin--Caledon"," 27","Amaranth",18,0,80,4,109,30,2,243,521
35022,"Dufferin--Caledon/Dufferin--Caledon"," 28","Caledon",19,0,65,4,149,25,0,262,608
35022,"Dufferin--Caledon/Dufferin--Caledon"," 29","Caledon",17,0,69,4,111,18,3,222,489
35022,"Dufferin--Caledon/Dufferin--Caledon"," 30","Caledon",26,0,81,7,103,30,1,248,572
35022,"Dufferin--Caledon/Dufferin--Caledon"," 31","Caledon",12,0,84,4,131,15,1,247,533
35022,"Dufferin--Caledon/Dufferin--Caledon"," 32","Caledon",20,1,102,1,113,20,0,257,514
35022,"Dufferin--Caledon/Dufferin--Caledon"," 33","Caledon",32,6,92,7,145,26,0,308,609
35022,"Dufferin--Caledon/Dufferin--Caledon"," 34","Caledon",20,0,114,0,104,25,1,264,541
35022,"Dufferin--Caledon/Dufferin--Caledon"," 35","Mono",17,2,96,4,145,55,0,319,674
35022,"Dufferin--Caledon/Dufferin--Caledon"," 36","Caledon",33,2,92,5,142,41,1,316,543
35022,"Dufferin--Caledon/Dufferin--Caledon"," 37","Caledon",21,0,112,10,133,45,2,323,607
35022,"Dufferin--Caledon/Dufferin--Caledon"," 38","Mono",16,0,72,11,156,32,0,287,567
35022,"Dufferin--Caledon/Dufferin--Caledon"," 39","Mono",23,0,73,2,147,31,0,276,569
35022,"Dufferin--Caledon/Dufferin--Caledon"," 40","Mono",40,3,68,7,115,41,1,275,577
35022,"Dufferin--Caledon/Dufferin--Caledon"," 41","Mono",16,3,102,4,118,29,2,274,519
35022,"Dufferin--Caledon/Dufferin--Caledon"," 42","Caledon",21,0,97,3,95,20,1,237,517
35022,"Dufferin--Caledon/Dufferin--Caledon"," 43","Caledon",27,0,117,5,118,9,0,276,577
35022,"Dufferin--Caledon/Dufferin--Caledon"," 44","Caledon",27,1,124,2,94,19,1,268,596
35022,"Dufferin--Caledon/Dufferin--Caledon"," 45","Caledon",28,3,106,7,74,14,0,232,468
35022,"Dufferin--Caledon/Dufferin--Caledon"," 46","Caledon",27,0,66,3,114,15,0,225,517
35022,"Dufferin--Caledon/Dufferin--Caledon"," 47","Caledon",36,0,116,1,100,14,2,269,594
35022,"Dufferin--Caledon/Dufferin--Caledon"," 48","East Luther Grand Valley",14,1,38,5,141,23,0,222,462
35022,"Dufferin--Caledon/Dufferin--Caledon"," 49","Caledon",18,1,56,1,123,28,0,227,470
35022,"Dufferin--Caledon/Dufferin--Caledon"," 50","Mono",44,0,158,5,141,11,2,361,794
35022,"Dufferin--Caledon/Dufferin--Caledon"," 51","Mono",20,0,102,9,125,31,0,287,652
35022,"Dufferin--Caledon/Dufferin--Caledon"," 52","Caledon",21,1,115,8,117,26,0,288,579
