Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Caldwell,Branko Gasperlin,James Maloney,Janice Murray,Barry O'Brien,Jude Sulejmani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 1","Etobicoke",25,27,148,0,79,0,3,282,525
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 2","Etobicoke",22,9,121,0,76,0,0,228,468
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 3","Etobicoke",12,10,110,0,68,0,0,200,376
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 4","Etobicoke",11,6,126,1,102,0,0,246,514
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 5","Etobicoke",10,9,98,0,90,1,0,208,484
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 6","Etobicoke",20,5,124,0,68,2,1,220,421
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 7","Etobicoke",23,10,148,0,88,1,0,270,473
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 8","Etobicoke",15,9,69,0,89,0,0,182,456
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 9","Etobicoke",12,12,110,0,105,1,0,240,581
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 10","Etobicoke",13,11,127,0,80,2,2,235,392
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 11","Etobicoke",12,29,135,1,82,3,0,262,620
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 12","Etobicoke",12,15,119,0,49,2,1,198,430
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 13","Etobicoke",23,20,134,0,88,3,1,269,658
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 14","Etobicoke",20,7,116,0,92,0,0,235,612
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 15","Etobicoke",14,27,133,0,85,2,0,261,593
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 16","Etobicoke",18,48,167,2,93,4,3,335,730
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 17","Etobicoke",18,13,166,0,79,5,2,283,599
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 18","Etobicoke",13,7,125,0,66,4,0,215,438
