Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Javin Ames-Sinclair,Ashlee Hicks,Robert Kitchen,Judy Mergel,Travis Patron,Phillip Zajac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 17","Broadview",21,47,119,5,0,3,0,195,343
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 18","Sedley",14,22,119,4,0,2,0,161,336
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 19","Rocanville",7,22,263,4,0,12,0,308,431
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 20","Rocanville",10,15,198,6,2,1,0,232,334
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 21","Rocanville",18,19,209,12,1,2,0,261,343
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 22","Whitewood",12,25,157,3,0,6,0,203,393
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 23","Whitewood",4,17,112,5,1,1,0,140,318
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 24","St. Hubert Mission",11,19,179,3,1,1,0,214,350
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 25","Candiac--Montmartre",14,25,165,4,0,3,0,211,376
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 26","Candiac--Montmartre",10,15,156,1,0,0,0,182,384
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 27","Wapella",5,7,135,5,5,0,0,157,274
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 28","Wapella",1,13,139,3,0,3,0,159,222
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 29","Francis",8,23,134,2,1,4,0,172,252
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 30","Glenavon",4,11,206,3,0,0,0,224,310
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 31","Lang",14,7,138,4,4,7,0,174,242
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 32","Kipling",3,13,192,1,2,0,0,211,280
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 33","Kipling",10,16,257,11,0,1,0,295,388
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 34","Kipling",9,22,204,9,0,1,0,245,331
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 35","Windthorst",6,15,197,6,0,1,1,226,329
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 36","Moosomin",9,7,204,5,1,5,0,231,420
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 37","Moosomin",7,20,233,4,0,1,0,265,500
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 38","Moosomin",4,17,162,1,1,3,0,188,311
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 39","Moosomin",7,10,116,2,1,1,0,137,317
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 40","Moosomin",10,10,200,0,2,5,0,227,389
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 41","Moosomin",9,12,183,10,2,2,0,218,387
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 42","Cedoux",9,3,138,2,1,2,0,155,249
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 43","Kayville",2,8,49,1,1,2,0,63,92
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 44","Langbank",4,9,142,3,0,3,0,161,242
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 45","Fillmore",11,29,244,9,0,4,2,299,396
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 46","Kennedy",5,15,162,2,0,2,0,186,260
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 47","Yellow Grass",4,13,282,5,0,4,0,308,433
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 48","Fleming",6,9,78,2,2,4,0,101,153
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 49","Creelman",1,6,107,1,0,4,0,119,165
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 50","Corning",1,4,94,0,0,0,1,100,172
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 51","Viceroy",3,5,118,0,0,1,1,128,227
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 52","Pangman",13,27,180,2,1,3,0,226,295
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 53","Ocean Man",16,24,4,3,0,0,1,48,51
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 54","Ogema",15,20,241,7,0,1,0,284,401
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 55","Khedive",6,12,149,2,1,1,0,171,238
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 56","Kenosee Park",16,12,267,4,1,3,0,303,405
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 57","Weyburn",5,12,143,1,0,1,0,162,285
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 58","Weyburn",19,17,183,4,0,13,1,237,445
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 59","Weyburn",4,15,193,1,1,5,0,219,428
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 60","Weyburn",8,19,179,4,0,3,2,215,395
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 61","Weyburn",10,19,154,6,2,1,0,192,444
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 62","Weyburn",8,13,158,2,2,1,0,184,367
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 63","Weyburn",6,8,207,1,0,3,0,225,425
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 64","Pheasant Rump Nakota 68",4,16,4,2,0,2,1,29,14
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 65","Weyburn",5,22,200,1,0,5,2,235,396
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 66","Weyburn",11,34,169,3,0,3,1,221,400
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 67","Weyburn",4,19,180,5,3,2,1,214,398
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 68","Weyburn",5,14,161,3,0,1,1,185,371
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 69","Weyburn",3,27,184,6,0,3,0,223,386
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 70","Weyburn",8,16,174,7,2,6,2,215,402
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 71","McTaggart",3,18,190,4,1,3,0,219,413
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 72","Weyburn",11,17,170,8,0,3,1,210,431
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 73","Weyburn",15,32,139,4,1,6,1,198,374
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 74","Weyburn",15,28,121,4,0,4,0,172,390
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 75","Weyburn",7,22,178,4,0,5,1,217,392
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 76","Weyburn",15,24,171,6,2,3,0,221,474
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 77","Weyburn",6,19,203,0,2,2,0,232,475
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 78","North Weyburn",3,10,200,5,0,8,0,226,437
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 79","Fairlight",1,7,114,1,0,2,0,125,229
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 80","Wawota",6,13,167,3,0,2,1,192,289
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 81","Wawota",4,11,211,1,3,1,1,232,353
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 82","Griffin",2,14,179,1,0,7,0,203,297
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 83","Maryfield",10,18,244,6,2,3,0,283,377
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 84","White Bear 70",58,89,46,7,0,2,1,203,313
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 85","Stoughton",7,22,213,7,1,5,0,255,364
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 86","Heward",10,14,240,10,0,9,0,283,393
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 87","Kisbey",7,14,141,3,0,0,2,167,312
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 88","Ceylon",4,11,152,4,0,2,0,173,238
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 89","Bengough",9,9,202,6,0,5,0,231,474
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 90","Arcola",7,15,171,1,1,1,1,197,298
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 91","Arcola",4,8,189,7,0,1,0,209,275
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 92","Radville",9,30,219,9,3,2,1,273,496
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 93","Radville",9,4,166,6,0,5,0,190,277
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 94","Carlyle",6,17,142,1,0,2,2,170,341
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 95","Carlyle",6,17,197,6,0,3,0,229,451
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 96","Carlyle",10,9,155,6,0,1,1,182,501
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 97","Carlyle",6,7,175,3,0,0,0,191,285
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 98","Goodwater",3,4,152,3,0,1,0,163,249
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 99","Coronach",4,10,154,4,0,1,1,174,300
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 100","Coronach",7,17,160,3,1,0,1,189,313
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 101","Halbrite",6,15,239,0,0,1,0,261,368
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 102","Midale",6,10,302,1,3,4,1,327,432
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 103","Manor",6,6,235,3,1,0,0,251,345
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 104","Wauchope",3,6,167,1,8,3,0,188,318
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 105","Antler",7,5,180,3,10,2,2,209,346
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 106","Redvers",12,13,217,3,9,2,0,256,426
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 107","Wauchope",12,4,117,0,1,0,0,134,198
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 108","Benson",3,7,174,1,0,2,0,187,331
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 109","Big Beaver",2,1,74,0,0,1,0,78,124
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 110","Lampman",8,3,248,1,0,6,0,266,354
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 111","Browning",2,9,276,0,3,4,0,294,410
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 112","Minton",4,5,119,0,0,1,0,129,202
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 113","Macoun",3,9,196,1,2,3,1,215,307
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 114","Lake Alma",2,2,155,3,0,7,0,169,218
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 115","Alameda",5,19,245,5,0,4,1,279,418
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 116","Storthoaks",0,2,122,1,1,2,0,128,164
