Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Frank Fang,Dean Maher,Marcela Ramirez,Robert Stewart,Adam Vaughan,Diana Yoon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Spadina--Fort York/Spadina--Fort York"," 1","Toronto",42,21,2,3,143,75,3,289,565
35101,"Spadina--Fort York/Spadina--Fort York"," 2","Toronto",43,19,2,3,177,50,1,295,454
35101,"Spadina--Fort York/Spadina--Fort York"," 3","Toronto",12,18,0,3,114,57,1,205,490
35101,"Spadina--Fort York/Spadina--Fort York"," 4","Toronto",40,17,0,8,160,84,1,310,714
35101,"Spadina--Fort York/Spadina--Fort York"," 5A","Toronto",24,6,0,0,70,35,0,135,317
35101,"Spadina--Fort York/Spadina--Fort York"," 5B","Toronto",28,2,0,2,84,45,3,164,390
35101,"Spadina--Fort York/Spadina--Fort York"," 6","Toronto",49,11,0,3,125,72,7,267,613
35101,"Spadina--Fort York/Spadina--Fort York"," 7","Toronto",37,22,3,10,146,112,1,331,622
35101,"Spadina--Fort York/Spadina--Fort York"," 8","Toronto",52,22,0,3,149,109,4,339,707
35101,"Spadina--Fort York/Spadina--Fort York"," 9","Toronto",32,4,0,1,115,36,2,190,434
35101,"Spadina--Fort York/Spadina--Fort York"," 10","Toronto",39,6,0,3,150,43,3,244,656
35101,"Spadina--Fort York/Spadina--Fort York"," 11","Toronto",47,11,0,0,138,68,1,265,497
35101,"Spadina--Fort York/Spadina--Fort York"," 12A","Toronto",24,9,1,3,90,31,0,158,300
35101,"Spadina--Fort York/Spadina--Fort York"," 12B","Toronto",25,9,0,4,93,36,0,167,316
35101,"Spadina--Fort York/Spadina--Fort York"," 13A","Toronto",36,6,1,1,82,36,0,162,431
35101,"Spadina--Fort York/Spadina--Fort York"," 13B","Toronto",28,10,1,0,71,23,3,136,337
35101,"Spadina--Fort York/Spadina--Fort York"," 14","Toronto",16,13,0,3,163,78,0,273,640
35101,"Spadina--Fort York/Spadina--Fort York"," 15A","Toronto",44,8,3,3,129,38,1,226,462
35101,"Spadina--Fort York/Spadina--Fort York"," 15B","Toronto",37,7,0,2,129,43,1,219,474
35101,"Spadina--Fort York/Spadina--Fort York"," 16","Toronto",Merged with No./Fusionné avec le n°465-1,,,,,,,,179
35101,"Spadina--Fort York/Spadina--Fort York"," 17A","Toronto",19,6,0,0,49,17,2,93,214
35101,"Spadina--Fort York/Spadina--Fort York"," 17B","Toronto",23,4,0,4,56,16,0,103,286
35101,"Spadina--Fort York/Spadina--Fort York"," 17C","Toronto",38,3,0,2,53,13,2,111,276
35101,"Spadina--Fort York/Spadina--Fort York"," 17D","Toronto",28,5,0,4,72,22,2,133,314
35101,"Spadina--Fort York/Spadina--Fort York"," 18","Toronto",48,10,0,5,168,40,0,271,555
35101,"Spadina--Fort York/Spadina--Fort York"," 19","Toronto",49,12,1,1,149,86,1,299,580
35101,"Spadina--Fort York/Spadina--Fort York"," 20","Toronto",36,19,2,1,122,85,0,265,570
35101,"Spadina--Fort York/Spadina--Fort York"," 21","Toronto",35,13,0,3,105,50,0,206,463
35101,"Spadina--Fort York/Spadina--Fort York"," 22A","Toronto",36,2,0,0,89,43,0,170,354
35101,"Spadina--Fort York/Spadina--Fort York"," 22B","Toronto",34,12,0,0,103,27,1,177,340
35101,"Spadina--Fort York/Spadina--Fort York"," 23","Toronto",74,10,0,2,155,39,0,280,639
35101,"Spadina--Fort York/Spadina--Fort York"," 24A","Toronto",45,14,1,2,149,42,1,254,454
35101,"Spadina--Fort York/Spadina--Fort York"," 24B","Toronto",35,10,1,3,90,34,0,173,364
35101,"Spadina--Fort York/Spadina--Fort York"," 24C","Toronto",45,4,1,4,124,42,1,221,431
35101,"Spadina--Fort York/Spadina--Fort York"," 25A","Toronto",29,10,0,4,80,30,0,153,278
35101,"Spadina--Fort York/Spadina--Fort York"," 25B","Toronto",28,6,0,1,42,27,0,104,213
35101,"Spadina--Fort York/Spadina--Fort York"," 26","Toronto",86,14,0,2,174,53,1,330,667
35101,"Spadina--Fort York/Spadina--Fort York"," 27A","Toronto",35,6,0,0,118,30,1,190,321
35101,"Spadina--Fort York/Spadina--Fort York"," 27B","Toronto",33,5,0,1,81,36,1,157,318
35101,"Spadina--Fort York/Spadina--Fort York"," 28","Toronto",31,12,2,1,93,55,4,198,464
35101,"Spadina--Fort York/Spadina--Fort York"," 29","Toronto",30,16,0,1,135,69,1,252,602
35101,"Spadina--Fort York/Spadina--Fort York"," 30","Toronto",25,7,1,3,106,80,0,222,515
35101,"Spadina--Fort York/Spadina--Fort York"," 31","Toronto",38,27,0,0,152,78,0,295,572
35101,"Spadina--Fort York/Spadina--Fort York"," 32","Toronto",24,22,1,1,115,85,0,248,590
35101,"Spadina--Fort York/Spadina--Fort York"," 33","Toronto",29,14,0,3,151,61,1,259,572
35101,"Spadina--Fort York/Spadina--Fort York"," 34","Toronto",34,9,2,2,102,56,1,206,554
35101,"Spadina--Fort York/Spadina--Fort York"," 35","Toronto",21,17,1,4,153,83,2,281,548
35101,"Spadina--Fort York/Spadina--Fort York"," 36","Toronto",29,21,0,1,121,81,0,253,551
35101,"Spadina--Fort York/Spadina--Fort York"," 37","Toronto",34,20,0,2,180,56,0,292,603
35101,"Spadina--Fort York/Spadina--Fort York"," 38","Toronto",41,14,1,4,134,85,0,279,573
35101,"Spadina--Fort York/Spadina--Fort York"," 39","Toronto",26,11,0,4,100,82,0,223,555
35101,"Spadina--Fort York/Spadina--Fort York"," 40A","Toronto",26,12,0,6,98,63,1,206,363
35101,"Spadina--Fort York/Spadina--Fort York"," 40B","Toronto",28,16,0,1,82,54,0,181,343
35101,"Spadina--Fort York/Spadina--Fort York"," 41","Toronto",40,13,0,2,134,35,0,224,564
35101,"Spadina--Fort York/Spadina--Fort York"," 42A","Toronto",29,5,0,3,82,40,2,161,360
35101,"Spadina--Fort York/Spadina--Fort York"," 42B","Toronto",33,12,0,0,114,28,0,187,416
35101,"Spadina--Fort York/Spadina--Fort York"," 42C","Toronto",38,7,0,2,106,31,2,186,397
35101,"Spadina--Fort York/Spadina--Fort York"," 43","Toronto",45,14,0,2,194,42,0,297,616
35101,"Spadina--Fort York/Spadina--Fort York"," 44","Toronto",30,17,1,5,140,36,0,229,442
35101,"Spadina--Fort York/Spadina--Fort York"," 45","Toronto",42,10,0,2,133,34,0,221,538
35101,"Spadina--Fort York/Spadina--Fort York"," 46A","Toronto",48,10,0,0,103,36,0,197,451
35101,"Spadina--Fort York/Spadina--Fort York"," 46B","Toronto",34,8,0,2,96,24,1,165,383
35101,"Spadina--Fort York/Spadina--Fort York"," 47","Toronto",23,16,0,4,123,69,2,237,491
35101,"Spadina--Fort York/Spadina--Fort York"," 48","Toronto",20,12,1,2,105,70,0,210,450
35101,"Spadina--Fort York/Spadina--Fort York"," 49","Toronto",35,11,0,3,122,59,0,230,479
35101,"Spadina--Fort York/Spadina--Fort York"," 50","Toronto",24,14,0,1,115,54,2,210,598
35101,"Spadina--Fort York/Spadina--Fort York"," 51","Toronto",15,14,1,3,143,81,1,258,511
35101,"Spadina--Fort York/Spadina--Fort York"," 52","Toronto",29,10,2,6,143,26,2,218,480
35101,"Spadina--Fort York/Spadina--Fort York"," 53A","Toronto",9,14,0,1,82,44,1,151,303
35101,"Spadina--Fort York/Spadina--Fort York"," 53B","Toronto",29,6,2,0,88,42,0,167,257
35101,"Spadina--Fort York/Spadina--Fort York"," 54A","Toronto",43,15,0,5,132,31,1,227,419
35101,"Spadina--Fort York/Spadina--Fort York"," 54B","Toronto",40,8,0,3,103,33,2,189,394
35101,"Spadina--Fort York/Spadina--Fort York"," 55","Toronto",73,17,0,2,195,82,0,369,665
35101,"Spadina--Fort York/Spadina--Fort York"," 56","Toronto",50,17,0,2,118,14,0,201,493
35101,"Spadina--Fort York/Spadina--Fort York"," 57","Toronto",25,10,0,5,100,44,0,184,409
35101,"Spadina--Fort York/Spadina--Fort York"," 58A","Toronto",39,14,0,1,87,40,0,181,340
35101,"Spadina--Fort York/Spadina--Fort York"," 58B","Toronto",32,10,0,3,82,34,0,161,356
35101,"Spadina--Fort York/Spadina--Fort York"," 59A","Toronto",21,12,0,0,75,39,0,147,193
35101,"Spadina--Fort York/Spadina--Fort York"," 59B","Toronto",10,3,0,0,41,15,1,70,205
35101,"Spadina--Fort York/Spadina--Fort York"," 60","Toronto",51,14,0,1,167,53,0,286,496
35101,"Spadina--Fort York/Spadina--Fort York"," 61","Toronto",12,14,1,3,146,78,5,259,596
35101,"Spadina--Fort York/Spadina--Fort York"," 62","Toronto",26,14,0,4,122,138,2,306,657
35101,"Spadina--Fort York/Spadina--Fort York"," 63","Toronto",28,25,0,4,127,66,1,251,482
35101,"Spadina--Fort York/Spadina--Fort York"," 64","Toronto",32,17,0,0,142,95,1,287,583
35101,"Spadina--Fort York/Spadina--Fort York"," 65A","Toronto",12,7,0,2,80,46,4,151,271
35101,"Spadina--Fort York/Spadina--Fort York"," 65B","Toronto",15,3,2,4,90,30,4,148,278
35101,"Spadina--Fort York/Spadina--Fort York"," 66","Toronto",71,26,0,2,250,57,0,406,623
35101,"Spadina--Fort York/Spadina--Fort York"," 67","Toronto",36,11,1,1,136,68,1,254,620
35101,"Spadina--Fort York/Spadina--Fort York"," 68","Toronto",50,18,1,1,147,54,0,271,569
35101,"Spadina--Fort York/Spadina--Fort York"," 69","Toronto",24,11,1,4,176,48,1,265,669
35101,"Spadina--Fort York/Spadina--Fort York"," 70","Toronto",32,20,0,4,114,41,3,214,567
35101,"Spadina--Fort York/Spadina--Fort York"," 71","Toronto",23,43,1,5,176,114,3,365,521
35101,"Spadina--Fort York/Spadina--Fort York"," 400","Toronto",53,11,0,2,139,56,2,263,476
35101,"Spadina--Fort York/Spadina--Fort York"," 401","Toronto",22,10,0,2,110,48,3,195,258
35101,"Spadina--Fort York/Spadina--Fort York"," 402","Toronto",Merged with No./Fusionné avec le n°417,,,,,,,,174
35101,"Spadina--Fort York/Spadina--Fort York"," 403","Toronto",Merged with No./Fusionné avec le n°465,,,,,,,,246
35101,"Spadina--Fort York/Spadina--Fort York"," 403-1","Toronto",60,10,0,2,138,30,0,240,290
35101,"Spadina--Fort York/Spadina--Fort York"," 404","Toronto",69,10,0,1,158,35,0,273,352
35101,"Spadina--Fort York/Spadina--Fort York"," 404-1","Toronto",59,12,1,4,103,37,0,216,281
35101,"Spadina--Fort York/Spadina--Fort York"," 405","Toronto",Merged with No./Fusionné avec le n°411,,,,,,,,235
35101,"Spadina--Fort York/Spadina--Fort York"," 406","Toronto",50,2,0,0,59,6,0,117,365
35101,"Spadina--Fort York/Spadina--Fort York"," 407","Toronto",54,11,0,0,145,27,1,238,513
35101,"Spadina--Fort York/Spadina--Fort York"," 408","Toronto",Merged with No./Fusionné avec le n°401,,,,,,,,189
35101,"Spadina--Fort York/Spadina--Fort York"," 409","Toronto",Merged with No./Fusionné avec le n°403-1,,,,,,,,264
35101,"Spadina--Fort York/Spadina--Fort York"," 410","Toronto",69,13,0,5,121,33,1,242,383
35101,"Spadina--Fort York/Spadina--Fort York"," 411","Toronto",56,8,1,3,146,36,0,250,319
35101,"Spadina--Fort York/Spadina--Fort York"," 412","Toronto",Merged with No./Fusionné avec le n°416-1,,,,,,,,283
35101,"Spadina--Fort York/Spadina--Fort York"," 413","Toronto",Merged with No./Fusionné avec le n°416,,,,,,,,176
35101,"Spadina--Fort York/Spadina--Fort York"," 414","Toronto",41,13,0,2,136,34,0,226,266
35101,"Spadina--Fort York/Spadina--Fort York"," 414-1","Toronto",Merged with No./Fusionné avec le n°415,,,,,,,,319
35101,"Spadina--Fort York/Spadina--Fort York"," 415","Toronto",92,11,0,3,163,48,6,323,292
35101,"Spadina--Fort York/Spadina--Fort York"," 416","Toronto",76,8,2,0,81,19,0,186,312
35101,"Spadina--Fort York/Spadina--Fort York"," 416-1","Toronto",67,15,0,4,182,47,3,318,311
35101,"Spadina--Fort York/Spadina--Fort York"," 417","Toronto",41,4,0,2,98,23,4,172,186
35101,"Spadina--Fort York/Spadina--Fort York"," 418","Toronto",Merged with No./Fusionné avec le n°414,,,,,,,,179
35101,"Spadina--Fort York/Spadina--Fort York"," 419","Toronto",Merged with No./Fusionné avec le n°419-1,,,,,,,,242
