Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pietro Biacchi,François Desrochers,Simon Marcil,Christian Montpetit,Anne-Marie Saint-Germain,Julie Tremblay,Karl Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mirabel/Mirabel"," 1","Sainte-Anne-des-Plaines",1,29,144,1,7,18,50,6,256,540
24048,"Mirabel/Mirabel"," 2","Sainte-Anne-des-Plaines",0,18,130,1,15,16,57,4,241,460
24048,"Mirabel/Mirabel"," 3","Sainte-Anne-des-Plaines",3,17,140,2,18,16,39,7,242,449
24048,"Mirabel/Mirabel"," 4","Sainte-Anne-des-Plaines",2,19,108,2,20,11,25,5,192,405
24048,"Mirabel/Mirabel"," 5","Sainte-Anne-des-Plaines",1,13,118,1,13,13,34,8,201,360
24048,"Mirabel/Mirabel"," 6","Sainte-Anne-des-Plaines",1,14,72,1,5,6,48,7,154,415
24048,"Mirabel/Mirabel"," 7","Sainte-Anne-des-Plaines",0,18,85,1,15,17,41,2,179,354
24048,"Mirabel/Mirabel"," 8","Sainte-Anne-des-Plaines",2,14,84,1,8,9,29,8,155,345
24048,"Mirabel/Mirabel"," 9","Sainte-Anne-des-Plaines",0,10,94,2,8,15,31,4,164,380
24048,"Mirabel/Mirabel"," 10A","Sainte-Anne-des-Plaines",2,21,98,2,14,7,31,5,180,389
24048,"Mirabel/Mirabel"," 10B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,,23
24048,"Mirabel/Mirabel"," 11","Sainte-Anne-des-Plaines",2,17,100,0,15,5,30,4,173,351
24048,"Mirabel/Mirabel"," 12","Sainte-Anne-des-Plaines",0,19,104,2,20,13,32,1,191,421
24048,"Mirabel/Mirabel"," 13","Sainte-Anne-des-Plaines",0,16,101,1,18,13,42,5,196,377
24048,"Mirabel/Mirabel"," 14","Sainte-Anne-des-Plaines",1,19,121,1,19,11,58,9,239,447
24048,"Mirabel/Mirabel"," 15","Sainte-Anne-des-Plaines",3,28,119,4,18,13,65,4,254,457
24048,"Mirabel/Mirabel"," 16","Sainte-Anne-des-Plaines",0,7,118,4,10,4,42,3,188,380
24048,"Mirabel/Mirabel"," 17","Sainte-Anne-des-Plaines",0,10,128,1,15,16,33,11,214,495
24048,"Mirabel/Mirabel"," 18","Sainte-Anne-des-Plaines",1,9,87,1,11,4,35,9,157,367
24048,"Mirabel/Mirabel"," 19","Sainte-Anne-des-Plaines",1,10,86,0,14,6,19,4,140,346
24048,"Mirabel/Mirabel"," 20","Sainte-Anne-des-Plaines",1,15,95,4,18,9,31,3,176,371
24048,"Mirabel/Mirabel"," 21","Sainte-Anne-des-Plaines",1,16,119,2,21,17,38,7,221,422
24048,"Mirabel/Mirabel"," 22","Sainte-Anne-des-Plaines",4,19,122,2,18,9,34,11,219,394
24048,"Mirabel/Mirabel"," 23","Sainte-Anne-des-Plaines",0,22,92,7,7,8,20,5,161,348
24048,"Mirabel/Mirabel"," 24","Sainte-Anne-des-Plaines",1,11,94,1,10,12,37,4,170,413
24048,"Mirabel/Mirabel"," 25","Sainte-Anne-des-Plaines",1,22,137,1,25,15,59,2,262,764
24048,"Mirabel/Mirabel"," 26","Sainte-Anne-des-Plaines",1,20,135,1,6,14,29,2,208,399
24048,"Mirabel/Mirabel"," 27","Mirabel",3,17,109,1,15,13,41,2,201,455
24048,"Mirabel/Mirabel"," 28","Mirabel",1,30,117,1,11,5,25,2,192,430
24048,"Mirabel/Mirabel"," 29","Mirabel",0,12,88,2,3,2,29,7,143,330
24048,"Mirabel/Mirabel"," 30","Mirabel",0,23,117,2,15,14,74,4,249,499
24048,"Mirabel/Mirabel"," 31A","Mirabel",0,25,158,3,22,12,77,8,305,601
24048,"Mirabel/Mirabel"," 31B","Mobile poll/Bureau itinérant",0,25,112,4,4,2,59,11,217,204
24048,"Mirabel/Mirabel"," 32","Mirabel",2,15,96,4,20,7,43,1,188,396
24048,"Mirabel/Mirabel"," 33","Mirabel",1,14,141,3,27,12,57,4,259,492
24048,"Mirabel/Mirabel"," 34A","Mirabel",3,12,83,2,14,14,43,4,175,363
24048,"Mirabel/Mirabel"," 34B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,22
24048,"Mirabel/Mirabel"," 35","Mirabel",0,18,103,1,16,8,78,3,227,422
24048,"Mirabel/Mirabel"," 36","Mirabel",0,17,98,0,18,10,42,3,188,365
24048,"Mirabel/Mirabel"," 37","Mirabel",2,19,117,0,12,17,68,0,235,433
24048,"Mirabel/Mirabel"," 38","Mirabel",3,8,87,1,13,8,50,4,174,345
24048,"Mirabel/Mirabel"," 39A","Mirabel",2,12,121,0,17,17,39,9,217,468
24048,"Mirabel/Mirabel"," 39B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,9
24048,"Mirabel/Mirabel"," 40","Mirabel",1,16,139,3,23,12,65,5,264,550
24048,"Mirabel/Mirabel"," 41","Mirabel",0,18,103,4,19,15,58,2,219,510
24048,"Mirabel/Mirabel"," 42","Mirabel",4,15,118,3,30,6,45,5,226,476
24048,"Mirabel/Mirabel"," 43","Mirabel",0,23,141,3,39,20,67,5,298,528
24048,"Mirabel/Mirabel"," 44","Mirabel",1,14,135,0,12,17,53,8,240,444
24048,"Mirabel/Mirabel"," 45A","Mirabel",0,18,97,4,14,9,27,2,171,428
24048,"Mirabel/Mirabel"," 45B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502C,,,,,,,,,10
24048,"Mirabel/Mirabel"," 46","Mirabel",1,18,86,0,14,5,43,5,172,422
24048,"Mirabel/Mirabel"," 47","Mirabel",0,11,132,0,22,11,39,6,221,419
24048,"Mirabel/Mirabel"," 48","Mirabel",0,21,130,4,20,10,99,8,292,630
24048,"Mirabel/Mirabel"," 49","Saint-Colomban",2,24,110,3,8,14,53,6,220,457
