Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raheem Aman,Eric Duncan,Heather Megill,Kelsey Catherine Schmitz,Sabile Trimm,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 1","Beauchamps",7,55,86,24,11,1,184,386
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 2","Glen Nevis",12,79,60,14,4,5,174,331
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 3","Glen Norman",8,87,48,15,11,0,169,327
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 4","Glen Norman",8,81,60,33,5,0,187,401
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 5","Glen Roy",8,77,65,19,3,1,173,312
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 6","Glen Roy",9,63,47,23,2,1,145,332
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 7","Glen Roy",11,95,48,28,5,0,187,360
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 8","Curry Hill",8,67,29,34,4,1,143,269
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 9","Wood Creek",8,34,31,22,7,0,102,275
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 10","Creg Quay",12,65,76,22,2,0,177,277
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 11","Creg Quay",3,57,47,16,2,0,125,310
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 12","Tayside",10,98,48,17,3,2,178,289
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 13","Tayside",10,136,60,23,9,2,240,383
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 14","Moose Creek",4,93,41,22,5,1,166,300
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 15","St. Raphaels",17,152,77,31,2,0,279,542
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 16","Williamstown",9,124,59,23,5,1,221,406
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 17","Summerstown Station",8,95,28,21,4,1,157,340
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 18","Martintown",6,69,31,22,5,0,133,273
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 19","Martintown",9,85,31,21,1,1,148,312
