Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ramez Ayoub,Normand Beaudet,Louise Chabot,Marie Claude Fournier,Alain Lamontagne,Désiré Mounanga,Andy Piano,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 1","Blainville",111,9,96,32,1,0,0,18,3,270,435
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 2","Blainville",76,6,75,33,0,3,0,26,2,221,387
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 3","Blainville",125,18,111,32,0,0,1,22,8,317,501
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 4","Blainville",116,7,102,37,0,4,1,31,4,302,500
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 5","Blainville",85,8,94,30,1,0,0,11,3,232,336
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 6","Blainville",79,14,99,20,2,1,0,11,5,231,393
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 7","Blainville",76,13,102,18,0,1,1,17,2,230,431
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 8","Blainville",59,19,138,11,1,0,0,16,8,252,429
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 9","Blainville",110,8,87,40,1,2,0,14,1,263,580
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 10A","Blainville",79,11,64,18,0,2,0,9,3,186,352
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 10B","Blainville",64,4,55,19,2,4,0,6,0,154,336
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 11","Blainville",95,12,120,16,0,0,0,37,2,282,480
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 12","Blainville",88,13,92,25,0,2,0,18,6,244,484
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 13","Blainville",66,3,87,6,0,4,0,17,7,190,455
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 14","Blainville",63,10,111,9,2,3,0,20,6,224,416
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 15","Blainville",59,8,106,8,1,0,1,14,5,202,378
