Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kira Brunner,Roberta Marie Graham,Alain Houle,Robert McFadzean,Shannon Stubbs,Jeffrey Swanson,Mark Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 1","Breynat",2,1,5,1,163,7,4,0,183,241
48025,"Lakeland/Lakeland"," 2","Grosmont",13,1,9,0,236,21,21,1,302,520
48025,"Lakeland/Lakeland"," 3","Baptiste Lake",4,0,3,0,123,13,6,0,149,333
48025,"Lakeland/Lakeland"," 4","Athabasca",7,0,7,1,185,13,7,2,222,442
48025,"Lakeland/Lakeland"," 5","Baptiste Lake",4,2,3,1,175,12,5,0,202,427
48025,"Lakeland/Lakeland"," 6","Athabasca",4,1,5,0,39,2,7,0,58,159
48025,"Lakeland/Lakeland"," 7","Athabasca",9,0,4,0,66,22,11,1,113,304
48025,"Lakeland/Lakeland"," 8A","Athabasca",3,0,8,1,110,18,11,1,152,349
48025,"Lakeland/Lakeland"," 8B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°16B,,,,,,,,,9
48025,"Lakeland/Lakeland"," 9","Athabasca",2,0,2,1,99,12,19,0,135,325
48025,"Lakeland/Lakeland"," 10","Athabasca",5,0,3,3,126,28,17,0,182,429
48025,"Lakeland/Lakeland"," 11","Athabasca",6,0,6,0,158,21,16,0,207,530
48025,"Lakeland/Lakeland"," 12","Athabasca",0,0,5,1,113,7,4,0,130,308
48025,"Lakeland/Lakeland"," 13","Athabasca",5,1,7,0,93,10,8,0,124,226
48025,"Lakeland/Lakeland"," 14","Amber Valley",3,1,5,1,259,16,8,0,293,563
48025,"Lakeland/Lakeland"," 15","Grassland",3,0,14,3,278,10,9,0,317,521
48025,"Lakeland/Lakeland"," 16A","Athabasca",4,0,2,0,85,8,12,0,111,270
48025,"Lakeland/Lakeland"," 16B","Mobile poll/Bureau itinérant",0,1,2,1,27,4,5,0,40,65
48025,"Lakeland/Lakeland"," 17","Colinton",2,0,1,2,146,8,7,0,166,334
48025,"Lakeland/Lakeland"," 18","Colinton",5,1,6,1,129,15,14,2,173,315
48025,"Lakeland/Lakeland"," 19","Perryvale",12,3,13,1,200,23,17,0,269,533
48025,"Lakeland/Lakeland"," 20","Mewatha Beach",3,1,4,1,247,10,9,0,275,564
48025,"Lakeland/Lakeland"," 21A","Boyle",0,1,10,1,99,10,5,0,126,330
48025,"Lakeland/Lakeland"," 21B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°22B,,,,,,,,,1
48025,"Lakeland/Lakeland"," 22A","Boyle",3,0,3,2,109,17,6,0,140,348
48025,"Lakeland/Lakeland"," 22B","Mobile poll/Bureau itinérant",0,1,2,1,15,3,2,0,24,24
48025,"Lakeland/Lakeland"," 23","Ellscott",1,0,2,0,181,5,3,0,192,392
48025,"Lakeland/Lakeland"," 24","Rochester",11,2,9,1,193,22,15,0,253,380
48025,"Lakeland/Lakeland"," 25","Alpen Siding",1,2,11,2,188,11,9,0,224,352
48025,"Lakeland/Lakeland"," 26","Buffalo Lake Metis Settlement",8,0,3,0,111,23,37,1,183,415
48025,"Lakeland/Lakeland"," 27","Kikino",4,1,4,1,99,54,17,0,180,454
48025,"Lakeland/Lakeland"," 28","Thorhild",2,1,5,0,129,11,8,0,156,300
48025,"Lakeland/Lakeland"," 29","Thorhild",4,1,9,2,267,14,9,0,306,547
48025,"Lakeland/Lakeland"," 30","Thorhild",3,0,11,0,170,18,6,0,208,429
48025,"Lakeland/Lakeland"," 31","Hollow Lake",3,2,3,0,173,18,7,0,206,409
48025,"Lakeland/Lakeland"," 32","Waskatenau",5,0,2,0,150,16,7,0,180,279
48025,"Lakeland/Lakeland"," 33","Warspite",0,0,2,0,80,5,3,0,90,233
48025,"Lakeland/Lakeland"," 34","White Fish Lake 128",8,1,10,7,33,164,39,2,264,806
48025,"Lakeland/Lakeland"," 35","Edwand",6,0,8,2,151,17,7,0,191,333
48025,"Lakeland/Lakeland"," 36","Smoky Lake",1,1,2,0,87,11,3,0,105,256
48025,"Lakeland/Lakeland"," 37","Smoky Lake",0,1,7,1,94,5,5,0,113,248
48025,"Lakeland/Lakeland"," 38","Smoky Lake",1,0,5,0,65,12,10,1,94,194
48025,"Lakeland/Lakeland"," 39","Victoria Settlement",4,0,3,0,109,10,4,0,130,322
48025,"Lakeland/Lakeland"," 40","St. Lina",3,0,3,3,238,12,13,0,272,454
48025,"Lakeland/Lakeland"," 41","Egremont",4,1,4,0,82,8,5,0,104,279
48025,"Lakeland/Lakeland"," 42","Radway",3,0,7,0,202,20,11,0,243,411
48025,"Lakeland/Lakeland"," 43","Bellis",2,1,7,0,134,10,5,2,161,274
48025,"Lakeland/Lakeland"," 44","Vilna",8,3,3,3,156,19,12,1,205,561
48025,"Lakeland/Lakeland"," 45","Stry",1,0,10,0,100,11,4,0,126,195
48025,"Lakeland/Lakeland"," 46","Spedden",6,1,2,0,161,9,6,0,185,318
48025,"Lakeland/Lakeland"," 47","Glendon",1,2,6,0,294,12,6,2,323,462
48025,"Lakeland/Lakeland"," 48","Beacon Corner",0,0,1,0,98,7,1,0,107,181
48025,"Lakeland/Lakeland"," 49","Mallaig",4,0,5,2,217,16,13,0,257,381
48025,"Lakeland/Lakeland"," 50","Skaro",2,0,6,0,128,6,5,0,147,359
48025,"Lakeland/Lakeland"," 51","Bruderheim",5,0,4,1,251,22,10,0,293,496
