Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kirsty Duncan,Naiima Farah,Renata Ford,Nancy Ghuman,Sarabjit Kaur,Sudhir Mehta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Etobicoke North/Etobicoke-Nord"," 1","Etobicoke",135,16,6,2,43,0,2,204,532
35029,"Etobicoke North/Etobicoke-Nord"," 2","Etobicoke",103,6,3,0,26,0,0,138,325
35029,"Etobicoke North/Etobicoke-Nord"," 3","Etobicoke",157,17,8,2,42,0,1,227,607
35029,"Etobicoke North/Etobicoke-Nord"," 4","Etobicoke",153,9,3,0,21,1,0,187,427
35029,"Etobicoke North/Etobicoke-Nord"," 5","Etobicoke",159,12,1,4,54,0,2,232,482
35029,"Etobicoke North/Etobicoke-Nord"," 6","Etobicoke",90,21,5,3,43,0,1,163,379
35029,"Etobicoke North/Etobicoke-Nord"," 7","Etobicoke",100,25,2,2,40,0,0,169,399
35029,"Etobicoke North/Etobicoke-Nord"," 8","Etobicoke",143,28,6,1,41,1,0,220,524
35029,"Etobicoke North/Etobicoke-Nord"," 9","Etobicoke",142,19,4,1,50,1,1,218,408
35029,"Etobicoke North/Etobicoke-Nord"," 10","Etobicoke",133,14,5,3,27,0,0,182,389
35029,"Etobicoke North/Etobicoke-Nord"," 11","Etobicoke",119,17,2,1,25,0,6,170,349
35029,"Etobicoke North/Etobicoke-Nord"," 12","Etobicoke",122,17,16,5,92,3,0,255,632
35029,"Etobicoke North/Etobicoke-Nord"," 13","Etobicoke",93,11,11,7,61,3,6,192,332
35029,"Etobicoke North/Etobicoke-Nord"," 14","Etobicoke",143,32,5,3,33,1,2,219,495
35029,"Etobicoke North/Etobicoke-Nord"," 15","Etobicoke",85,16,4,3,37,3,2,150,459
35029,"Etobicoke North/Etobicoke-Nord"," 16","Etobicoke",102,20,5,1,39,0,5,172,393
35029,"Etobicoke North/Etobicoke-Nord"," 17","Etobicoke",93,23,8,1,63,1,3,192,454
35029,"Etobicoke North/Etobicoke-Nord"," 18","Etobicoke",120,30,3,0,40,0,4,197,415
35029,"Etobicoke North/Etobicoke-Nord"," 19","Etobicoke",128,14,3,3,85,1,1,235,555
35029,"Etobicoke North/Etobicoke-Nord"," 20","Etobicoke",71,10,2,4,71,2,1,161,444
35029,"Etobicoke North/Etobicoke-Nord"," 21","Etobicoke",82,5,1,3,52,0,8,151,440
35029,"Etobicoke North/Etobicoke-Nord"," 22","Etobicoke",89,18,6,2,23,0,2,140,335
35029,"Etobicoke North/Etobicoke-Nord"," 23","Etobicoke",166,27,3,6,61,0,7,270,596
35029,"Etobicoke North/Etobicoke-Nord"," 24","Etobicoke",139,7,2,1,46,1,7,203,468
35029,"Etobicoke North/Etobicoke-Nord"," 25","Etobicoke",150,20,4,0,70,0,3,247,534
35029,"Etobicoke North/Etobicoke-Nord"," 26","Etobicoke",89,11,3,2,52,2,6,165,404
35029,"Etobicoke North/Etobicoke-Nord"," 27","Etobicoke",191,26,4,5,37,1,8,272,564
35029,"Etobicoke North/Etobicoke-Nord"," 28","Etobicoke",141,12,2,1,18,0,0,174,377
35029,"Etobicoke North/Etobicoke-Nord"," 29","Etobicoke",115,24,8,4,59,1,5,216,431
35029,"Etobicoke North/Etobicoke-Nord"," 30","Etobicoke",115,24,3,5,53,0,5,205,426
35029,"Etobicoke North/Etobicoke-Nord"," 31","Etobicoke",136,21,2,9,58,0,2,228,415
35029,"Etobicoke North/Etobicoke-Nord"," 32","Etobicoke",115,18,2,2,61,0,0,198,379
35029,"Etobicoke North/Etobicoke-Nord"," 33","Etobicoke",134,29,4,4,65,0,2,238,527
35029,"Etobicoke North/Etobicoke-Nord"," 34","Etobicoke",129,31,9,11,41,1,0,222,392
35029,"Etobicoke North/Etobicoke-Nord"," 35","Etobicoke",109,33,3,7,49,0,2,203,422
35029,"Etobicoke North/Etobicoke-Nord"," 36","Etobicoke",84,23,1,1,15,0,0,124,344
35029,"Etobicoke North/Etobicoke-Nord"," 37","Etobicoke",150,28,4,12,69,0,0,263,461
35029,"Etobicoke North/Etobicoke-Nord"," 38","Etobicoke",84,14,3,11,41,0,3,156,399
35029,"Etobicoke North/Etobicoke-Nord"," 39","Etobicoke",152,32,7,12,62,0,0,265,500
