Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna Di Carlo,Peter Fonseca,Wladyslaw Lizon,Maha Rasheed,Syed Rizvi,Tom Takacs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 45","Mississauga",2,125,52,3,2,29,3,216,745
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 46","Mississauga",1,122,28,6,2,24,1,184,559
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 47","Mississauga",0,135,58,4,1,17,2,217,556
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 48","Mississauga",2,93,51,6,1,25,1,179,458
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 49","Mississauga",0,88,64,7,2,16,0,177,411
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 50","Mississauga",1,100,88,3,2,12,3,209,375
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 51","Mississauga",0,85,76,3,4,15,3,186,412
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 52","Mississauga",0,109,82,12,2,12,1,218,438
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 53","Mississauga",2,123,70,4,1,26,7,233,532
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 54","Mississauga",1,104,78,7,2,29,0,221,452
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 55","Mississauga",0,76,52,4,2,17,3,154,360
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 56","Mississauga",0,66,48,11,4,18,3,150,465
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 57","Mississauga",1,115,128,10,2,23,4,283,507
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 58","Mississauga",0,101,92,4,2,14,1,214,463
