Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Matt Jeneroux,Valerie Kennedy,Kevin Morris,Audrey Redman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 1","Edmonton",63,94,14,1,58,0,230,456
48018,"Edmonton Riverbend/Edmonton Riverbend"," 2","Edmonton",48,125,11,12,44,0,240,432
48018,"Edmonton Riverbend/Edmonton Riverbend"," 3","Edmonton",52,98,3,3,33,0,189,361
48018,"Edmonton Riverbend/Edmonton Riverbend"," 4","Edmonton",56,84,5,5,51,0,201,422
48018,"Edmonton Riverbend/Edmonton Riverbend"," 5","Edmonton",43,88,5,8,37,0,181,362
48018,"Edmonton Riverbend/Edmonton Riverbend"," 6","Edmonton",59,131,8,3,61,0,262,403
48018,"Edmonton Riverbend/Edmonton Riverbend"," 7","Edmonton",49,137,15,7,45,0,253,363
48018,"Edmonton Riverbend/Edmonton Riverbend"," 8","Edmonton",60,115,4,2,30,0,211,340
48018,"Edmonton Riverbend/Edmonton Riverbend"," 9","Edmonton",62,108,16,4,48,0,238,351
48018,"Edmonton Riverbend/Edmonton Riverbend"," 10","Edmonton",38,93,7,0,41,0,179,329
48018,"Edmonton Riverbend/Edmonton Riverbend"," 11","Edmonton",48,105,11,1,45,0,210,411
48018,"Edmonton Riverbend/Edmonton Riverbend"," 12","Edmonton",72,128,11,5,48,1,265,511
48018,"Edmonton Riverbend/Edmonton Riverbend"," 13","Edmonton",40,110,4,1,52,3,210,426
48018,"Edmonton Riverbend/Edmonton Riverbend"," 14","Edmonton",44,125,3,4,24,0,200,428
48018,"Edmonton Riverbend/Edmonton Riverbend"," 15","Edmonton",41,101,7,2,42,1,194,351
48018,"Edmonton Riverbend/Edmonton Riverbend"," 16","Edmonton",37,142,4,0,18,1,202,408
48018,"Edmonton Riverbend/Edmonton Riverbend"," 17","Edmonton",47,113,2,3,31,1,197,403
48018,"Edmonton Riverbend/Edmonton Riverbend"," 18","Edmonton",66,99,10,4,36,1,216,426
48018,"Edmonton Riverbend/Edmonton Riverbend"," 19","Edmonton",53,158,4,1,34,3,253,552
48018,"Edmonton Riverbend/Edmonton Riverbend"," 20","Edmonton",40,118,3,2,27,1,191,384
48018,"Edmonton Riverbend/Edmonton Riverbend"," 21","Edmonton",47,105,6,0,30,0,188,367
48018,"Edmonton Riverbend/Edmonton Riverbend"," 22","Edmonton",56,108,9,0,24,0,197,363
48018,"Edmonton Riverbend/Edmonton Riverbend"," 23","Edmonton",54,174,6,4,22,1,261,467
48018,"Edmonton Riverbend/Edmonton Riverbend"," 24","Edmonton",63,164,6,1,35,0,269,515
48018,"Edmonton Riverbend/Edmonton Riverbend"," 25","Edmonton",66,151,2,2,58,0,279,587
48018,"Edmonton Riverbend/Edmonton Riverbend"," 26","Edmonton",76,200,11,2,32,1,322,576
48018,"Edmonton Riverbend/Edmonton Riverbend"," 27","Edmonton",44,157,7,1,22,1,232,459
48018,"Edmonton Riverbend/Edmonton Riverbend"," 28","Edmonton",44,121,6,2,44,0,217,355
48018,"Edmonton Riverbend/Edmonton Riverbend"," 29A","Edmonton",55,114,1,2,22,0,194,439
48018,"Edmonton Riverbend/Edmonton Riverbend"," 29B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,62
48018,"Edmonton Riverbend/Edmonton Riverbend"," 30","Edmonton",41,104,3,2,25,2,177,427
48018,"Edmonton Riverbend/Edmonton Riverbend"," 31","Edmonton",47,122,4,3,20,2,198,410
48018,"Edmonton Riverbend/Edmonton Riverbend"," 32","Edmonton",40,112,4,1,16,0,173,413
48018,"Edmonton Riverbend/Edmonton Riverbend"," 33","Edmonton",46,124,4,0,24,0,198,447
48018,"Edmonton Riverbend/Edmonton Riverbend"," 34","Edmonton",48,106,3,0,30,0,187,442
48018,"Edmonton Riverbend/Edmonton Riverbend"," 35","Edmonton",58,127,6,3,72,0,266,551
48018,"Edmonton Riverbend/Edmonton Riverbend"," 36","Edmonton",71,62,6,3,40,0,182,405
48018,"Edmonton Riverbend/Edmonton Riverbend"," 37","Edmonton",44,105,5,8,47,0,209,418
48018,"Edmonton Riverbend/Edmonton Riverbend"," 38","Edmonton",39,74,7,6,44,0,170,353
48018,"Edmonton Riverbend/Edmonton Riverbend"," 39","Edmonton",46,75,8,6,56,0,191,399
48018,"Edmonton Riverbend/Edmonton Riverbend"," 40","Edmonton",36,93,8,1,41,0,179,371
48018,"Edmonton Riverbend/Edmonton Riverbend"," 41","Edmonton",62,145,15,4,82,1,309,537
48018,"Edmonton Riverbend/Edmonton Riverbend"," 42","Edmonton",61,108,9,1,72,2,253,373
48018,"Edmonton Riverbend/Edmonton Riverbend"," 43","Edmonton",55,111,14,1,52,0,233,374
48018,"Edmonton Riverbend/Edmonton Riverbend"," 44","Edmonton",43,145,4,3,34,3,232,420
48018,"Edmonton Riverbend/Edmonton Riverbend"," 45","Edmonton",46,124,1,3,50,1,225,413
48018,"Edmonton Riverbend/Edmonton Riverbend"," 46","Edmonton",53,99,5,3,62,1,223,452
48018,"Edmonton Riverbend/Edmonton Riverbend"," 47","Edmonton",54,141,9,3,54,1,262,437
48018,"Edmonton Riverbend/Edmonton Riverbend"," 48","Edmonton",55,110,8,2,69,0,244,423
48018,"Edmonton Riverbend/Edmonton Riverbend"," 49","Edmonton",66,157,16,1,59,3,302,526
48018,"Edmonton Riverbend/Edmonton Riverbend"," 50","Edmonton",62,121,18,3,53,0,257,465
48018,"Edmonton Riverbend/Edmonton Riverbend"," 51","Edmonton",41,97,9,6,38,1,192,390
48018,"Edmonton Riverbend/Edmonton Riverbend"," 52","Edmonton",41,113,5,3,36,0,198,393
48018,"Edmonton Riverbend/Edmonton Riverbend"," 53","Edmonton",56,87,10,6,57,2,218,357
48018,"Edmonton Riverbend/Edmonton Riverbend"," 54","Edmonton",51,101,4,2,57,2,217,389
48018,"Edmonton Riverbend/Edmonton Riverbend"," 55","Edmonton",40,125,4,7,58,1,235,451
48018,"Edmonton Riverbend/Edmonton Riverbend"," 56A","Edmonton",83,72,2,8,31,1,197,490
