Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard Barré,Jean-François Bélanger,Sabrina Huet-Côté,Brigitte Sansoucy,Simon-Pierre Savard-Tremblay,René Vincelette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 1","Saint-Marcel-de-Richelieu",37,4,8,26,100,47,9,231,385
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 2","Saint-Louis",22,1,5,29,106,35,2,200,349
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 3","Saint-Louis",12,1,1,16,72,19,2,123,244
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 4","Saint-Hugues",27,1,15,46,82,42,2,215,344
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 5","Saint-Hugues",36,3,7,27,72,36,4,185,291
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 6","Saint-Hugues",34,1,21,54,114,48,8,280,370
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 7","Saint-Nazaire-d'Acton",37,4,9,38,72,31,6,197,318
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 8","Saint-Nazaire-d'Acton",45,2,11,34,98,38,8,236,357
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 9","Saint-Bernard-de-Michaudville",13,2,11,16,76,35,3,156,249
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 10","Saint-Bernard-de-Michaudville",19,0,3,19,68,23,9,141,216
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 11","Sainte-Hélène-de-Bagot",38,1,9,12,77,27,6,170,322
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 12","Sainte-Hélène-de-Bagot",26,1,7,53,83,27,4,201,383
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 13","Sainte-Hélène-de-Bagot",24,2,4,11,43,18,2,104,219
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 14","Sainte-Hélène-de-Bagot",25,0,10,34,79,23,8,179,347
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 15","Saint-Théodore-d'Acton",22,3,7,26,80,21,5,164,286
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 16","Saint-Théodore-d'Acton",37,1,6,27,98,24,7,200,332
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 17","Saint-Théodore-d'Acton",22,2,6,47,89,32,6,204,300
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 18","Saint-Théodore-d'Acton",26,0,11,29,76,20,4,166,261
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 19","Saint-Jude",19,1,7,15,92,21,8,163,302
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 20","Saint-Jude",19,3,9,28,91,36,1,187,376
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 21","Saint-Jude",17,3,12,22,61,24,0,139,327
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 22","Saint-Barnabé-Sud",50,4,15,30,108,43,5,255,394
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 23","Saint-Barnabé-Sud",20,2,11,33,75,46,1,188,273
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 24","Saint-Simon",34,4,8,33,73,43,6,201,338
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 25","Saint-Simon",55,2,3,33,70,41,8,212,343
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 26","Saint-Simon",33,3,11,41,109,47,2,246,373
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 27","Sainte-Christine",17,2,6,23,91,24,4,167,283
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 28","Sainte-Christine",20,4,4,32,89,29,5,183,301
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 29","Acton Vale",18,1,8,36,97,44,0,204,413
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 30","Acton Vale",16,3,6,34,98,42,2,201,415
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 31","Acton Vale",16,1,5,31,69,22,4,148,332
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 32","Acton Vale",18,1,7,25,79,22,6,158,324
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 33","Acton Vale",17,3,7,38,82,25,4,176,456
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 34","Acton Vale",23,5,11,36,90,35,3,203,443
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 35","Acton Vale",20,0,3,39,59,26,9,156,413
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 36","Acton Vale",21,3,5,24,83,31,9,176,411
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 37","Acton Vale",45,6,4,12,85,45,5,202,424
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 38","Acton Vale",24,2,7,31,98,28,5,195,389
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 39","Acton Vale",24,3,4,32,83,43,5,194,498
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 40","Acton Vale",25,3,9,27,70,23,4,161,382
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 41","Acton Vale",12,2,6,31,85,13,6,155,375
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 42","Acton Vale",26,1,8,21,95,22,3,176,387
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 43","Acton Vale",24,2,8,22,78,29,3,166,356
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 44","Upton",30,2,8,34,57,32,3,166,294
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 45","Upton",17,3,3,22,45,28,3,121,290
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 46","Upton",40,4,10,56,93,29,10,242,392
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 47","Upton",29,1,13,39,86,27,5,200,421
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 48","Upton",27,2,8,30,67,16,2,152,269
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 49","Saint-Liboire",19,0,5,30,85,22,3,164,269
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 50","Saint-Liboire",16,1,5,27,86,28,3,166,274
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 51","Saint-Liboire",34,4,9,43,126,34,12,262,441
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 52","Saint-Liboire",27,4,10,58,108,38,4,249,363
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 53","Saint-Liboire",17,3,7,25,65,38,4,159,248
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 54","Saint-Liboire",18,0,17,28,81,25,2,171,298
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 55","Saint-Liboire",25,0,7,31,85,32,2,182,352
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 56","Saint-Hyacinthe",23,3,6,32,92,26,3,185,347
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 57","Saint-Hyacinthe",20,1,7,41,88,42,6,205,383
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 58","Saint-Hyacinthe",42,6,4,27,94,39,6,218,388
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 59","Saint-Hyacinthe",27,1,10,27,87,27,3,182,380
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 60","Saint-Hyacinthe",31,0,3,41,97,42,8,222,417
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 61","Saint-Hyacinthe",18,1,3,34,84,38,10,188,419
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 62","Saint-Hyacinthe",28,1,6,26,78,39,3,181,364
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 63","Saint-Hyacinthe",25,0,7,31,88,60,7,218,426
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 64","Saint-Hyacinthe",54,3,9,33,83,29,4,215,415
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 65","Saint-Hyacinthe",43,2,12,36,72,32,7,204,417
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 66","Saint-Hyacinthe",7,0,8,17,48,20,0,100,243
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 67","Saint-Hyacinthe",27,0,3,41,89,38,4,202,387
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 68","Saint-Hyacinthe",26,2,7,50,66,44,4,199,399
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 69","Saint-Hyacinthe",16,1,3,41,80,39,4,184,345
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 70","Saint-Hyacinthe",36,1,10,54,119,66,5,291,482
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 71","Saint-Hyacinthe",27,2,6,34,71,33,4,177,348
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 72","Saint-Hyacinthe",25,1,4,35,115,44,6,230,427
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 73","Saint-Hyacinthe",23,0,8,50,86,38,2,207,386
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 74","Saint-Hyacinthe",35,2,9,51,101,44,5,247,485
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 75","Saint-Hyacinthe",21,2,2,25,76,35,3,164,308
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 76","Saint-Hyacinthe",25,1,5,43,108,47,8,237,437
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 77","Saint-Hyacinthe",44,1,9,35,110,45,6,250,456
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 78","Saint-Hyacinthe",23,0,5,27,77,39,3,174,362
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 79","Saint-Hyacinthe",31,0,5,49,112,48,3,248,412
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 80","Saint-Hyacinthe",29,0,8,38,80,40,3,198,360
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 81","Saint-Hyacinthe",19,4,7,27,97,41,9,204,407
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 82","La Présentation",39,5,8,44,88,47,5,236,405
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 83","La Présentation",24,2,5,19,84,30,1,165,334
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 84","La Présentation",38,2,7,46,118,46,2,259,467
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 85","La Présentation",40,3,8,38,97,44,2,232,400
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 86","La Présentation",23,0,7,33,94,39,5,201,334
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 87","Roxton Falls",33,1,4,15,55,25,3,136,243
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 88","Roxton Falls",25,4,7,34,102,34,8,214,439
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 89","Roxton Falls",31,0,4,22,53,38,7,155,315
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 90","Roxton Falls",29,1,5,14,44,34,3,130,262
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 91","Roxton",19,4,5,15,64,45,5,157,337
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 92","Roxton",35,0,4,23,55,51,2,170,332
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 93A","Saint-Hyacinthe",45,2,1,15,43,81,9,196,272
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 93B","Saint-Hyacinthe",22,1,2,25,53,91,6,200,261
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 94","Saint-Hyacinthe",20,0,3,47,73,57,0,200,375
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 95","Saint-Hyacinthe",22,1,7,45,80,56,1,212,443
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 96","Saint-Hyacinthe",20,1,3,16,47,46,3,136,384
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 97","Saint-Hyacinthe",8,2,8,32,38,16,4,108,348
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 98","Saint-Hyacinthe",24,0,5,35,58,43,7,172,344
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 99","Saint-Hyacinthe",21,2,5,29,56,53,2,168,344
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 100","Saint-Hyacinthe",23,0,8,40,64,50,3,188,445
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 101","Saint-Hyacinthe",21,2,7,34,59,31,5,159,509
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 102","Saint-Hyacinthe",17,0,7,40,50,54,4,172,376
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 103","Saint-Hyacinthe",14,1,6,24,38,41,2,126,336
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 104","Saint-Hyacinthe",23,2,4,30,52,57,8,176,451
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 105","Saint-Hyacinthe",18,1,1,24,57,54,2,157,421
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 106A","Saint-Hyacinthe",12,0,4,20,42,39,5,122,293
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 106B","Mobile poll/Bureau itinérant",5,1,1,14,15,62,15,113,125
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 107A","Saint-Hyacinthe",10,0,8,34,57,37,2,148,365
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 107B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,10
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 108","Saint-Hyacinthe",17,0,3,35,74,26,3,158,406
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 109","Saint-Hyacinthe",19,3,8,31,68,33,2,164,399
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 110","Saint-Hyacinthe",13,0,6,27,49,29,2,126,415
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 111","Saint-Hyacinthe",36,4,1,13,33,64,13,164,250
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 112","Saint-Hyacinthe",16,1,7,22,45,17,4,112,389
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 113","Saint-Hyacinthe",18,0,8,41,39,28,3,137,494
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 114","Saint-Hyacinthe",11,1,6,19,33,24,1,95,387
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 115","Saint-Hyacinthe",7,0,2,28,38,25,4,104,375
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 116","Saint-Hyacinthe",14,1,9,25,36,26,1,112,362
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 117","Saint-Hyacinthe",5,0,4,18,47,31,5,110,383
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 118","Saint-Hyacinthe",21,0,10,41,53,22,1,148,431
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 119","Saint-Hyacinthe",15,2,12,50,56,35,4,174,463
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 120","Béthanie",37,0,7,22,73,27,2,168,258
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 121","Saint-Hyacinthe",24,2,8,33,51,37,8,163,454
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 122","Saint-Hyacinthe",18,3,7,38,62,32,3,163,399
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 123","Saint-Hyacinthe",18,0,8,50,83,31,6,196,451
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 124","Saint-Hyacinthe",25,1,6,31,56,24,5,148,363
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 125","Saint-Hyacinthe",19,1,4,31,53,29,7,144,371
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 126","Saint-Hyacinthe",19,1,8,28,53,39,7,155,369
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 127","Saint-Hyacinthe",28,4,3,44,82,36,9,206,419
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 128","Saint-Hyacinthe",22,1,8,37,57,45,7,177,402
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 129","Saint-Hyacinthe",18,0,4,20,61,35,2,140,386
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 130","Saint-Hyacinthe",24,3,5,33,65,33,7,170,380
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 131","Saint-Valérien-de-Milton",44,0,12,36,72,46,2,212,311
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 132","Saint-Valérien-de-Milton",27,3,11,49,77,32,4,203,341
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 133","Saint-Valérien-de-Milton",34,2,5,37,94,62,3,237,376
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 134","Saint-Valérien-de-Milton",22,0,7,31,91,34,5,190,310
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 135","Saint-Hyacinthe",19,0,14,74,91,35,8,241,546
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 136","Saint-Hyacinthe",34,1,5,31,65,46,14,196,332
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 137","Saint-Hyacinthe",23,0,12,41,55,45,5,181,357
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 138","Saint-Hyacinthe",8,1,16,37,59,40,5,166,403
