Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Bokhari,Carol Dyck,Peter Fragiskatos,Salim Mansur,Dirka Prout,Clara Sorrenti,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 404","London",43,10,69,7,49,1,1,180,288
35052,"London North Centre/London-Centre-Nord"," 405","London",24,8,36,2,29,0,0,99,222
35052,"London North Centre/London-Centre-Nord"," 406","London",31,11,69,4,37,0,1,153,250
35052,"London North Centre/London-Centre-Nord"," 407","London",9,3,49,4,26,0,0,91,240
35052,"London North Centre/London-Centre-Nord"," 408","London",34,10,51,2,19,0,1,117,201
35052,"London North Centre/London-Centre-Nord"," 409","London",Merged with No./Fusionné avec le n°410,,,,,,,,127
35052,"London North Centre/London-Centre-Nord"," 410","London",25,6,67,4,45,1,0,148,245
35052,"London North Centre/London-Centre-Nord"," 411A","London",Merged with No./Fusionné avec le n°410,,,,,,,,95
35052,"London North Centre/London-Centre-Nord"," 411B","London",Merged with No./Fusionné avec le n°412,,,,,,,,93
35052,"London North Centre/London-Centre-Nord"," 412","London",30,7,64,3,55,0,0,159,210
35052,"London North Centre/London-Centre-Nord"," 413","London",Merged with No./Fusionné avec le n°412,,,,,,,,140
35052,"London North Centre/London-Centre-Nord"," 414","London",Merged with No./Fusionné avec le n°415,,,,,,,,189
35052,"London North Centre/London-Centre-Nord"," 415","London",31,8,85,5,65,1,0,195,216
35052,"London North Centre/London-Centre-Nord"," 500","Mobile poll/Bureau itinérant",38,8,46,2,14,1,3,112,452
35052,"London North Centre/London-Centre-Nord"," 501","Mobile poll/Bureau itinérant",56,12,77,1,7,0,3,156,294
35052,"London North Centre/London-Centre-Nord"," 502","Mobile poll/Bureau itinérant",40,13,102,3,11,0,14,183,210
35052,"London North Centre/London-Centre-Nord"," 503","Mobile poll/Bureau itinérant",47,7,60,10,15,0,8,147,214
35052,"London North Centre/London-Centre-Nord"," 504","Mobile poll/Bureau itinérant",39,7,66,3,19,0,3,137,385
35052,"London North Centre/London-Centre-Nord"," 505","Mobile poll/Bureau itinérant",18,6,18,2,11,1,2,58,121
35052,"London North Centre/London-Centre-Nord"," 506","Mobile poll/Bureau itinérant",28,12,84,4,26,0,3,157,324
35052,"London North Centre/London-Centre-Nord"," 600","London",283,36,513,20,126,1,2,981,
35052,"London North Centre/London-Centre-Nord"," 601","London",193,64,322,15,134,0,2,730,
35052,"London North Centre/London-Centre-Nord"," 602","London",329,85,558,21,122,1,9,1125,
35052,"London North Centre/London-Centre-Nord"," 603","London",335,34,420,13,67,1,4,874,
35052,"London North Centre/London-Centre-Nord"," 604","London",354,64,427,20,94,2,2,963,
35052,"London North Centre/London-Centre-Nord"," 605","London",256,64,453,13,114,2,4,906,
35052,"London North Centre/London-Centre-Nord"," 606","London",221,64,366,18,129,2,5,805,
35052,"London North Centre/London-Centre-Nord"," 607","London",128,31,161,16,114,0,8,458,
35052,"London North Centre/London-Centre-Nord"," 608","London",121,41,243,8,156,6,4,579,
35052,"London North Centre/London-Centre-Nord"," 609","London",96,72,382,24,124,1,1,700,
35052,"London North Centre/London-Centre-Nord"," 610","London",163,95,347,20,78,3,1,707,
35052,"London North Centre/London-Centre-Nord"," 611","London",263,72,456,25,188,2,7,1013,
35052,"London North Centre/London-Centre-Nord"," 612","London",168,68,308,14,216,3,7,784,
35052,"London North Centre/London-Centre-Nord"," 613","London",90,61,297,28,183,1,0,660,
35052,"London North Centre/London-Centre-Nord"," 614","London",83,70,241,10,214,0,4,622,
35052,"London North Centre/London-Centre-Nord"," 615","London",126,40,178,18,133,0,5,500,
35052,"London North Centre/London-Centre-Nord"," 616","London",98,53,154,6,194,1,1,507,
35052,"London North Centre/London-Centre-Nord"," 617","London",179,72,451,17,184,5,0,908,
35052,"London North Centre/London-Centre-Nord",,Group 1/Groupe 1, 31,32,139,5,47,2,14,270,362
35052,"London North Centre/London-Centre-Nord",,Group 2/Groupe 2, 511,283,1233,86,507,6,70,2696,
