Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Den Tandt,Daniel Little,Alex Ruff,Chris Stephen,Bill Townsend,Danielle Valiquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 41","Meaford",61,2,54,25,4,22,3,171,367
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 42","Meaford",59,0,61,12,2,17,1,152,321
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 43","Owen Sound",51,3,53,37,3,13,1,161,420
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 44","Owen Sound",44,1,43,30,4,16,0,138,302
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 45","Owen Sound",67,4,63,27,16,15,1,193,409
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 46","Owen Sound",67,1,89,32,7,9,0,205,433
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 47","Owen Sound",61,1,63,38,8,11,2,184,464
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 48","Owen Sound",59,1,35,26,8,8,0,137,485
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 49","South Bruce Peninsula",50,1,72,23,6,12,1,165,393
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 50","South Bruce Peninsula",73,2,81,17,8,15,1,197,423
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 51","South Bruce Peninsula",53,4,108,16,5,18,0,204,408
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 52","South Bruce Peninsula",61,1,62,20,2,12,0,158,398
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 53","South Bruce Peninsula",66,0,104,23,1,7,0,201,466
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 54","South Bruce Peninsula",86,2,86,30,10,16,3,233,501
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 55","East Linton",67,0,90,15,2,8,0,182,365
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 56","Sarawak",92,0,103,12,4,18,0,229,447
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 57","Sarawak",73,2,121,20,10,15,0,241,428
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 58","Owen Sound",65,1,72,23,5,15,2,183,382
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 59","Sarawak",58,1,68,26,0,9,0,162,325
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 60","Sarawak",57,1,71,30,6,20,1,186,369
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 61","Sarawak",49,2,97,14,2,12,4,180,359
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 62","Owen Sound",43,1,65,32,5,14,0,160,363
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 63","Meaford",94,4,143,15,7,44,2,309,574
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 64","Meaford",54,1,74,17,10,34,2,192,320
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 65","Meaford",75,0,63,16,3,13,1,171,361
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 66","Meaford",51,1,71,15,1,11,0,150,313
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 67","Owen Sound",48,2,66,35,2,8,0,161,514
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 68","Owen Sound",59,1,80,19,6,11,0,176,450
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 69","Owen Sound",39,2,86,25,4,13,0,169,408
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 70A","Owen Sound",47,3,52,21,6,5,1,135,294
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 70B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,115
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 71","Owen Sound",52,1,66,28,6,11,0,164,414
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 72","Owen Sound",49,1,66,35,5,11,0,167,435
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 73","Owen Sound",63,0,63,20,0,12,0,158,431
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 74","Keppel",34,1,95,28,4,9,1,172,333
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 75","Cruickshank",56,0,108,34,4,22,0,224,429
