Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Den Tandt,Daniel Little,Alex Ruff,Chris Stephen,Bill Townsend,Danielle Valiquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 201","Hanover",39,2,67,13,4,10,2,137,379
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 202","Hanover",51,0,65,22,5,12,0,155,394
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 203","Hanover",34,1,76,32,14,22,0,179,476
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 204","Hanover",60,1,90,24,10,13,1,199,456
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 205","Hanover",42,3,92,32,8,11,0,188,436
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 206","Hanover",87,1,108,22,5,20,3,246,477
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 207","Hanover",47,1,77,24,12,13,0,174,412
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 208","Egremont",50,0,122,22,19,36,0,249,437
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 209","Holstein",53,1,99,29,6,21,1,210,378
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 210","Landerkin",27,0,56,10,4,13,1,111,264
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 211","Holstein",72,0,170,19,6,12,1,280,513
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 212","Hampden",46,1,111,22,10,33,0,223,446
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 213","Moltke",57,2,92,31,15,22,0,219,455
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 214","Moltke",42,1,89,25,11,19,1,188,415
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 215","Ayton",28,1,65,23,5,5,0,127,335
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 216","Nenagh",48,1,117,21,12,22,0,221,526
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 217","Alsfeldt",61,2,112,15,10,16,1,217,434
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 400","Owen Sound",46,3,61,13,2,5,0,130,141
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 401","Hanover",35,3,35,4,5,1,3,86,240
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 500","Mobile poll/Bureau itinérant",19,1,21,6,0,3,5,55,159
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 501","Mobile poll/Bureau itinérant",19,2,23,5,2,0,2,53,107
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 502","Mobile poll/Bureau itinérant",24,2,28,4,2,4,3,67,114
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 503","Mobile poll/Bureau itinérant",17,0,25,5,2,5,3,57,96
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 504","Mobile poll/Bureau itinérant",69,7,92,6,0,5,2,181,141
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 505","Mobile poll/Bureau itinérant",52,1,41,2,0,5,6,107,182
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 506","Mobile poll/Bureau itinérant",18,0,17,6,3,1,3,48,100
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 507","Mobile poll/Bureau itinérant",16,3,13,3,0,7,5,47,83
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 508","Mobile poll/Bureau itinérant",16,2,32,4,0,1,1,56,171
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 600","North Bruce Peninsula",87,2,81,23,8,21,1,223,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 601","Lion's Head",181,1,352,52,19,56,7,668,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 602","Wiarton",285,3,478,102,33,99,3,1003,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 603","Sauble Beach",237,2,373,51,14,57,0,734,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 604","Tara",157,2,448,62,12,41,0,722,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 605","Owen Sound--Heritage Mall",227,4,394,60,12,41,5,743,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 606","Owen Sound",435,0,413,116,14,70,4,1052,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 607","Owen Sound",244,1,335,104,22,58,4,768,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 608","Owen Sound",409,2,309,88,7,53,4,872,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 609","Owen Sound",179,1,243,45,11,34,0,513,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 610","Meaford",285,6,338,66,17,76,4,792,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 611","Meaford",221,2,346,48,7,92,2,718,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 612","Chatsworth",194,5,545,86,22,111,5,968,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 613","Chesley",140,5,357,81,19,36,3,641,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 614","Hanover",255,1,323,65,14,53,6,717,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 615","Durham",227,8,463,80,55,64,7,904,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 616","Lauriston",245,3,428,80,18,127,3,904,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 617","Osprey",101,3,215,30,12,45,1,407,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 618","Flesherton",162,7,319,55,23,80,3,649,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 619","Dundalk",157,4,256,61,16,52,5,551,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 620","Ayton",142,4,280,54,17,59,2,558,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 621","Hanover",233,1,301,60,25,56,9,685,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 1/Groupe 1, 61,2,45,8,5,19,2,142,138
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 2/Groupe 2, 647,2,771,206,45,180,38,1889,
