Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Ducharme,Louis Gagnon,Bernard Généreux,Serge Haché,Hugo Latulippe,Aladin Legault d'Auteuil,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 1","L'Isle-Verte",3,73,52,2,13,58,0,201,343
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 2","L'Isle-Verte",7,77,51,3,11,35,3,187,335
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 3","L'Isle-Verte",8,59,91,0,14,27,5,204,381
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 4","Notre-Dame-des-Sept-Douleurs",0,18,2,0,3,4,0,27,36
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 5","Saint-Paul-de-la-Croix",5,54,53,1,15,30,0,158,267
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 6","Saint-Cyprien",6,70,49,1,14,32,5,177,290
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 7","Saint-Cyprien",2,69,35,2,7,32,11,158,270
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 8","Saint-Cyprien",5,70,46,0,18,17,5,161,273
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 9","Saint-Épiphane",2,58,43,3,9,31,1,147,369
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 10","Saint-Épiphane",2,38,43,1,10,29,3,126,281
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 11","Cacouna",2,63,37,1,27,14,1,145,314
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 12","Cacouna",4,50,52,0,10,23,1,140,286
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 13","Cacouna",4,44,40,0,20,17,2,127,308
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 14","Cacouna",1,54,38,2,27,22,4,148,331
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 15","Cacouna",4,60,37,1,13,10,2,127,297
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 16","Saint-Arsène",6,59,71,0,13,18,3,170,291
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 17","Saint-Arsène",2,62,72,1,10,25,4,176,289
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 18","Saint-Arsène",1,72,58,2,19,30,3,185,322
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 19","Saint-François-Xavier-de-Viger",1,23,29,0,2,9,2,66,187
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 20","Rivière-du-Loup",3,77,49,1,20,30,1,181,419
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 21","Rivière-du-Loup",5,98,75,1,18,35,2,234,495
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 22","Rivière-du-Loup",6,80,71,0,10,30,5,202,441
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 23","Rivière-du-Loup",3,84,74,4,26,35,0,226,469
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 24","Saint-Hubert-de-Rivière-du-Loup",4,51,81,0,14,33,5,188,354
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 25","Saint-Hubert-de-Rivière-du-Loup",0,61,82,1,17,21,2,184,313
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 26","Saint-Hubert-de-Rivière-du-Loup",6,90,61,0,16,27,2,202,378
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 27","Saint-Modeste",4,43,47,1,5,22,9,131,233
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 28","Saint-Modeste",4,60,54,1,12,23,5,159,294
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 29","Saint-Modeste",3,68,50,1,14,21,0,157,313
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 30","Rivière-du-Loup",3,102,66,0,10,41,9,231,525
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 31","Rivière-du-Loup",6,79,58,0,6,31,6,186,407
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 32","Rivière-du-Loup",1,67,46,3,13,19,1,150,423
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 33","Rivière-du-Loup",6,76,35,1,22,24,1,165,404
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 34","Rivière-du-Loup",2,78,32,2,14,36,1,165,401
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 35","Rivière-du-Loup",4,69,22,0,15,30,0,140,321
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 36","Rivière-du-Loup",7,83,44,3,19,35,4,195,450
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 37","Rivière-du-Loup",2,48,24,0,9,30,1,114,288
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 38","Rivière-du-Loup",2,76,45,2,14,24,5,168,407
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 39","Rivière-du-Loup",2,53,39,0,12,19,3,128,430
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 40","Rivière-du-Loup",2,84,44,1,6,46,3,186,452
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 41","Rivière-du-Loup",5,92,48,1,16,30,4,196,422
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 42","Rivière-du-Loup",4,77,48,0,15,37,3,184,461
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 43","Rivière-du-Loup",2,73,38,1,16,16,3,149,402
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 44","Rivière-du-Loup",5,72,62,1,27,33,4,204,522
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 45","Rivière-du-Loup",8,91,47,1,20,25,3,195,454
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 46","Rivière-du-Loup",2,73,46,1,26,31,4,183,476
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 47","Rivière-du-Loup",5,50,40,0,6,12,6,119,365
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 48","Rivière-du-Loup",4,56,49,0,10,19,0,138,372
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 49","Rivière-du-Loup",3,74,38,1,16,15,4,151,427
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 50","Rivière-du-Loup",6,83,36,2,32,19,5,183,420
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 51","Rivière-du-Loup",3,73,44,0,23,22,2,167,415
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 52","Rivière-du-Loup",1,57,28,1,16,23,1,127,330
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 53","Rivière-du-Loup",6,61,32,0,14,28,2,143,360
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 54","Rivière-du-Loup",0,42,29,0,3,38,2,114,381
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 55","Rivière-du-Loup",3,96,48,2,24,42,2,217,474
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 56","Saint-Antonin",2,66,56,1,12,16,4,157,335
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 57","Saint-Antonin",1,72,68,1,9,17,4,172,396
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 58","Rivière-du-Loup",1,69,35,4,9,41,3,162,482
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 59","Rivière-du-Loup",5,104,52,1,13,20,6,201,526
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 60","Rivière-du-Loup",3,62,60,0,11,41,6,183,463
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 61","Rivière-du-Loup",0,64,65,0,12,48,3,192,534
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 62","Rivière-du-Loup",8,74,52,0,17,33,1,185,389
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 63","Rivière-du-Loup",4,80,59,2,17,34,4,200,451
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 64","Notre-Dame-du-Portage",1,87,49,0,16,29,0,182,351
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 65","Notre-Dame-du-Portage",7,101,27,0,36,41,2,214,356
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 66","Notre-Dame-du-Portage",5,64,51,0,21,35,1,177,311
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 67","Saint-Antonin",6,54,45,0,12,23,1,141,370
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 68","Saint-Antonin",1,61,70,1,8,24,3,168,424
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 69","Saint-Antonin",4,64,63,0,13,19,3,166,373
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 70","Saint-Antonin",7,64,51,0,9,31,4,166,298
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 71","Saint-Antonin",2,58,45,0,7,16,0,128,271
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 72","Saint-Antonin",4,61,51,1,10,20,4,151,426
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 73","Saint-Antonin",4,68,46,0,10,24,0,152,348
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 74","Saint-Alexandre-de-Kamouraska",2,65,55,2,13,29,1,167,383
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 75","Saint-Alexandre-de-Kamouraska",3,55,82,1,10,32,2,185,382
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 76","Saint-Alexandre-de-Kamouraska",1,61,85,0,18,28,0,193,403
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 77","Saint-Alexandre-de-Kamouraska",4,56,63,2,11,22,5,163,361
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 78","Saint-André-de-Kamouraska",4,86,47,1,18,22,2,180,336
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 79","Saint-André-de-Kamouraska",2,41,44,2,11,24,4,128,226
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 80","Saint-Germain",6,70,37,0,19,20,6,158,226
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 81","Saint-Joseph-de-Kamouraska",4,58,94,2,11,18,4,191,302
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 82","Sainte-Hélène",1,74,114,1,15,28,7,240,409
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 83","Sainte-Hélène",2,54,78,1,9,32,3,179,336
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 84","Kamouraska",4,43,48,0,12,18,1,126,244
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 85","Kamouraska",1,49,65,0,7,16,4,142,238
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 86","Saint-Pascal",2,53,70,0,9,27,1,162,373
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 87","Saint-Pascal",0,64,51,0,9,20,0,144,375
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 88","Saint-Pascal",2,64,56,1,9,16,1,149,358
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 89A","Saint-Pascal",0,44,33,0,5,21,2,105,275
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 89B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,109
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 90","Saint-Pascal",2,44,56,0,6,11,3,122,347
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 91","Saint-Pascal",3,59,69,2,11,16,0,160,370
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 92","Saint-Pascal",3,44,59,1,11,16,3,137,309
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 93","Saint-Pascal",5,51,57,0,10,19,1,143,318
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 94","Saint-Denis",3,72,86,1,14,21,3,200,411
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 95","Saint-Philippe-de-Néri",6,33,110,1,5,13,1,169,365
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 96","Saint-Philippe-de-Néri",2,47,84,1,8,14,2,158,307
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 97","Saint-Bruno-de-Kamouraska",3,77,77,0,15,27,3,202,464
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 98","Rivière-Ouelle",5,86,84,2,21,29,3,230,411
24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 99","Rivière-Ouelle",8,54,93,2,9,22,3,191,322
