Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tony Baldinelli,Brian Barker,Andrea Kaiser,Sandra O'Connor,Tricia O'Connor,Mike Strange,Alexander Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Niagara Falls/Niagara Falls"," 1","Niagara-on-the-Lake",61,32,172,23,2,4,3,0,297,611
35067,"Niagara Falls/Niagara Falls"," 2","Niagara-on-the-Lake",98,14,119,21,0,3,2,2,259,549
35067,"Niagara Falls/Niagara Falls"," 3","Niagara-on-the-Lake",44,11,112,14,0,0,0,1,182,458
35067,"Niagara Falls/Niagara Falls"," 4","Niagara-on-the-Lake",67,16,109,13,2,4,0,0,211,517
35067,"Niagara Falls/Niagara Falls"," 5","Niagara-on-the-Lake",115,23,168,14,0,5,6,0,331,734
35067,"Niagara Falls/Niagara Falls"," 6","Niagara-on-the-Lake",82,24,148,12,0,2,2,1,271,587
35067,"Niagara Falls/Niagara Falls"," 7","Niagara-on-the-Lake",60,18,101,16,1,5,0,1,202,499
35067,"Niagara Falls/Niagara Falls"," 8","Niagara-on-the-Lake",75,9,116,11,0,2,1,1,215,462
35067,"Niagara Falls/Niagara Falls"," 9","Niagara-on-the-Lake",82,20,109,11,2,6,1,1,232,461
35067,"Niagara Falls/Niagara Falls"," 10","Niagara-on-the-Lake",103,16,59,17,3,3,0,2,203,408
35067,"Niagara Falls/Niagara Falls"," 11","Niagara-on-the-Lake",159,41,78,21,2,5,3,0,309,599
35067,"Niagara Falls/Niagara Falls"," 12","Niagara-on-the-Lake",80,21,46,10,2,3,3,4,169,406
35067,"Niagara Falls/Niagara Falls"," 13","Niagara-on-the-Lake",114,58,113,14,6,7,2,2,316,614
35067,"Niagara Falls/Niagara Falls"," 14","Niagara-on-the-Lake",98,37,99,21,6,2,2,0,265,476
35067,"Niagara Falls/Niagara Falls"," 15","Niagara-on-the-Lake",139,25,91,21,3,3,1,1,284,534
35067,"Niagara Falls/Niagara Falls"," 16","Niagara-on-the-Lake",89,47,95,16,4,6,1,1,259,533
35067,"Niagara Falls/Niagara Falls"," 17","Niagara-on-the-Lake",149,33,68,16,0,2,9,4,281,573
35067,"Niagara Falls/Niagara Falls"," 18","Niagara-on-the-Lake",91,32,94,11,0,5,5,0,238,516
35067,"Niagara Falls/Niagara Falls"," 19","Niagara-on-the-Lake",104,22,76,22,0,9,1,2,236,516
35067,"Niagara Falls/Niagara Falls"," 20","Niagara-on-the-Lake",95,36,58,11,4,6,3,0,213,433
35067,"Niagara Falls/Niagara Falls"," 21","Niagara-on-the-Lake",152,30,122,12,8,6,0,1,331,731
35067,"Niagara Falls/Niagara Falls"," 22","Niagara-on-the-Lake",96,41,133,14,2,6,5,2,299,582
35067,"Niagara Falls/Niagara Falls"," 23","Niagara-on-the-Lake",122,39,117,22,1,9,2,5,317,573
35067,"Niagara Falls/Niagara Falls"," 24","Niagara-on-the-Lake",147,43,91,14,2,4,5,3,309,619
35067,"Niagara Falls/Niagara Falls"," 25","Niagara-on-the-Lake",136,20,87,4,0,8,3,1,259,487
35067,"Niagara Falls/Niagara Falls"," 26","Niagara-on-the-Lake",106,20,101,10,0,6,1,1,245,452
35067,"Niagara Falls/Niagara Falls"," 27","Niagara-on-the-Lake",113,28,80,19,0,11,3,2,256,507
35067,"Niagara Falls/Niagara Falls"," 28","Niagara-on-the-Lake",112,58,135,19,2,6,2,2,336,804
35067,"Niagara Falls/Niagara Falls"," 29","Niagara Falls",51,16,38,4,0,12,4,0,125,267
35067,"Niagara Falls/Niagara Falls"," 30","Niagara Falls",129,12,84,8,0,14,5,1,253,518
35067,"Niagara Falls/Niagara Falls"," 31","Niagara Falls",76,53,70,14,2,27,2,5,249,538
35067,"Niagara Falls/Niagara Falls"," 32","Niagara Falls",95,32,77,12,1,25,0,0,242,538
35067,"Niagara Falls/Niagara Falls"," 33","Niagara Falls",98,33,100,7,0,23,0,3,264,564
35067,"Niagara Falls/Niagara Falls"," 34","Niagara Falls",64,48,39,6,1,27,3,0,188,402
35067,"Niagara Falls/Niagara Falls"," 35","Niagara Falls",60,45,49,12,1,19,3,1,190,486
35067,"Niagara Falls/Niagara Falls"," 36","Niagara Falls",85,28,98,5,1,26,1,2,246,468
35067,"Niagara Falls/Niagara Falls"," 37","Niagara Falls",104,51,135,13,0,23,5,0,331,577
35067,"Niagara Falls/Niagara Falls"," 38","Niagara Falls",133,58,148,5,2,44,5,2,397,708
35067,"Niagara Falls/Niagara Falls"," 39","Niagara Falls",98,51,92,7,3,20,2,3,276,580
35067,"Niagara Falls/Niagara Falls"," 40","Niagara Falls",91,59,91,12,1,33,2,2,291,613
35067,"Niagara Falls/Niagara Falls"," 41","Niagara Falls",100,53,81,6,0,42,3,0,285,581
35067,"Niagara Falls/Niagara Falls"," 42","Niagara Falls",71,35,100,10,2,21,4,2,245,457
35067,"Niagara Falls/Niagara Falls"," 43","Niagara Falls",86,43,92,12,2,20,5,4,264,512
35067,"Niagara Falls/Niagara Falls"," 44","Niagara Falls",80,70,88,15,1,25,4,5,288,569
35067,"Niagara Falls/Niagara Falls"," 45","Niagara Falls",94,75,98,18,2,40,2,0,329,606
