Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Del Arnold,Tom Kmiec,Kyle Scott,David Brian Smith,Evelyn Tanaka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Calgary Shepard/Calgary Shepard"," 1","Calgary",24,97,7,26,3,0,157,362
48011,"Calgary Shepard/Calgary Shepard"," 2A","Calgary",25,132,13,22,12,2,206,622
48011,"Calgary Shepard/Calgary Shepard"," 2B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,156
48011,"Calgary Shepard/Calgary Shepard"," 3","Calgary",17,121,5,22,7,2,174,376
48011,"Calgary Shepard/Calgary Shepard"," 4","Calgary",44,128,6,28,9,4,219,609
48011,"Calgary Shepard/Calgary Shepard"," 5","Calgary",32,131,5,27,7,0,202,559
48011,"Calgary Shepard/Calgary Shepard"," 6","Calgary",21,188,9,32,10,0,260,574
48011,"Calgary Shepard/Calgary Shepard"," 7","Calgary",28,159,13,32,11,2,245,574
48011,"Calgary Shepard/Calgary Shepard"," 8","Calgary",14,131,3,29,5,1,183,412
48011,"Calgary Shepard/Calgary Shepard"," 9","Calgary",16,126,6,19,8,2,177,363
48011,"Calgary Shepard/Calgary Shepard"," 10","Calgary",27,122,7,25,1,2,184,444
48011,"Calgary Shepard/Calgary Shepard"," 11","Calgary",24,140,5,15,7,2,193,484
48011,"Calgary Shepard/Calgary Shepard"," 12","Calgary",57,119,7,27,9,0,219,463
48011,"Calgary Shepard/Calgary Shepard"," 13","Calgary",31,150,15,31,12,1,240,509
48011,"Calgary Shepard/Calgary Shepard"," 14","Calgary",30,132,8,19,11,2,202,408
48011,"Calgary Shepard/Calgary Shepard"," 15","Calgary",29,164,10,30,9,4,246,494
48011,"Calgary Shepard/Calgary Shepard"," 16","Calgary",32,172,9,16,6,3,238,507
48011,"Calgary Shepard/Calgary Shepard"," 17","Calgary",28,155,7,26,12,1,229,555
48011,"Calgary Shepard/Calgary Shepard"," 18","Calgary",32,140,5,35,5,2,219,520
48011,"Calgary Shepard/Calgary Shepard"," 19","Calgary",24,124,3,26,6,1,184,423
48011,"Calgary Shepard/Calgary Shepard"," 20","Calgary",37,150,4,25,9,0,225,565
48011,"Calgary Shepard/Calgary Shepard"," 21","Calgary",19,77,11,24,6,1,138,386
48011,"Calgary Shepard/Calgary Shepard"," 22","Calgary",26,104,3,24,10,0,167,498
48011,"Calgary Shepard/Calgary Shepard"," 23","Calgary",14,124,8,18,10,0,174,450
48011,"Calgary Shepard/Calgary Shepard"," 24","Calgary",19,171,7,26,4,0,227,591
48011,"Calgary Shepard/Calgary Shepard"," 25","Calgary",23,117,11,19,4,0,174,445
48011,"Calgary Shepard/Calgary Shepard"," 26","Calgary",24,90,4,23,9,0,150,266
48011,"Calgary Shepard/Calgary Shepard"," 27","Calgary",Merged with No./Fusionné avec le n°26,,,,,,,230
48011,"Calgary Shepard/Calgary Shepard"," 28","Calgary",20,197,5,27,16,1,266,523
48011,"Calgary Shepard/Calgary Shepard"," 29","Calgary",20,178,5,30,11,2,246,554
48011,"Calgary Shepard/Calgary Shepard"," 30","Calgary",19,93,10,22,11,0,155,447
48011,"Calgary Shepard/Calgary Shepard"," 31","Calgary",33,138,6,28,13,3,221,523
48011,"Calgary Shepard/Calgary Shepard"," 32","Calgary",18,139,7,29,12,1,206,434
48011,"Calgary Shepard/Calgary Shepard"," 33","Calgary",23,133,6,38,7,2,209,459
48011,"Calgary Shepard/Calgary Shepard"," 34","Calgary",24,109,7,24,12,0,176,475
48011,"Calgary Shepard/Calgary Shepard"," 35","Calgary",47,137,4,38,21,3,250,571
48011,"Calgary Shepard/Calgary Shepard"," 36","Calgary",30,141,5,31,13,2,222,495
48011,"Calgary Shepard/Calgary Shepard"," 37","Calgary",33,123,6,37,21,0,220,581
48011,"Calgary Shepard/Calgary Shepard"," 38","Calgary",19,120,6,20,7,1,173,367
48011,"Calgary Shepard/Calgary Shepard"," 39","Calgary",28,136,6,19,12,2,203,527
48011,"Calgary Shepard/Calgary Shepard"," 40","Calgary",18,146,12,32,16,0,224,512
48011,"Calgary Shepard/Calgary Shepard"," 41","Calgary",19,78,4,15,7,1,124,393
48011,"Calgary Shepard/Calgary Shepard"," 42","Calgary",25,136,8,18,5,2,194,467
48011,"Calgary Shepard/Calgary Shepard"," 43","Calgary",20,124,5,6,10,3,168,380
48011,"Calgary Shepard/Calgary Shepard"," 44","Calgary",24,141,5,28,6,0,204,444
48011,"Calgary Shepard/Calgary Shepard"," 45","Calgary",18,105,6,25,12,3,169,386
48011,"Calgary Shepard/Calgary Shepard"," 46","Calgary",21,113,5,24,5,2,170,349
48011,"Calgary Shepard/Calgary Shepard"," 47","Calgary",15,100,2,13,7,2,139,377
48011,"Calgary Shepard/Calgary Shepard"," 48","Calgary",26,127,3,30,7,0,193,441
48011,"Calgary Shepard/Calgary Shepard"," 49","Calgary",20,111,2,24,5,0,162,419
48011,"Calgary Shepard/Calgary Shepard"," 50","Calgary",17,147,5,23,8,1,201,495
48011,"Calgary Shepard/Calgary Shepard"," 51","Calgary",17,96,7,16,7,0,143,347
48011,"Calgary Shepard/Calgary Shepard"," 52","Calgary",27,124,4,17,6,1,179,393
48011,"Calgary Shepard/Calgary Shepard"," 53","Calgary",34,142,4,31,7,0,218,503
48011,"Calgary Shepard/Calgary Shepard"," 54","Calgary",24,118,4,14,5,1,166,403
48011,"Calgary Shepard/Calgary Shepard"," 55","Calgary",18,133,4,28,5,3,191,466
48011,"Calgary Shepard/Calgary Shepard"," 56","Calgary",28,153,3,34,11,1,230,470
48011,"Calgary Shepard/Calgary Shepard"," 57","Calgary",22,117,4,26,4,3,176,348
48011,"Calgary Shepard/Calgary Shepard"," 58","Calgary",25,166,6,20,5,0,222,483
48011,"Calgary Shepard/Calgary Shepard"," 59","Calgary",28,151,4,18,9,0,210,446
48011,"Calgary Shepard/Calgary Shepard"," 60","Calgary",13,143,6,19,5,0,186,450
48011,"Calgary Shepard/Calgary Shepard"," 61","Calgary",27,168,4,28,7,3,237,558
48011,"Calgary Shepard/Calgary Shepard"," 62","Calgary",23,138,5,31,9,3,209,513
48011,"Calgary Shepard/Calgary Shepard"," 63","Calgary",32,137,2,25,6,2,204,502
48011,"Calgary Shepard/Calgary Shepard"," 64","Calgary",11,126,5,12,3,0,157,394
