Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathaniel Erskine-Smith,Sean Manners,Deborah McKenzie,Mae J. Nam,Nadirah Nazeer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Beaches--East York/Beaches--East York"," 1","North York",226,5,2,33,26,1,293,544
35007,"Beaches--East York/Beaches--East York"," 2","North York",170,4,4,42,18,11,249,557
35007,"Beaches--East York/Beaches--East York"," 3","East York",79,4,3,23,38,1,148,337
35007,"Beaches--East York/Beaches--East York"," 4","East York",92,4,2,26,46,0,170,382
35007,"Beaches--East York/Beaches--East York"," 5","East York",90,7,4,27,52,0,180,422
35007,"Beaches--East York/Beaches--East York"," 6","East York",101,9,6,31,47,1,195,382
35007,"Beaches--East York/Beaches--East York"," 7","East York",88,4,2,45,44,1,184,448
35007,"Beaches--East York/Beaches--East York"," 8","East York",66,12,2,38,30,1,149,380
35007,"Beaches--East York/Beaches--East York"," 9","East York",108,18,6,70,40,0,242,561
35007,"Beaches--East York/Beaches--East York"," 10","East York",94,18,7,44,48,1,212,395
35007,"Beaches--East York/Beaches--East York"," 11","East York",104,11,4,59,51,0,229,456
35007,"Beaches--East York/Beaches--East York"," 12","East York",78,10,2,37,43,0,170,406
35007,"Beaches--East York/Beaches--East York"," 13","East York",115,6,2,52,39,1,215,510
35007,"Beaches--East York/Beaches--East York"," 14","East York",67,5,3,45,26,1,147,357
35007,"Beaches--East York/Beaches--East York"," 15","East York",106,11,9,63,37,1,227,499
35007,"Beaches--East York/Beaches--East York"," 16","East York",113,12,2,29,77,0,233,458
35007,"Beaches--East York/Beaches--East York"," 17","East York",109,13,5,29,68,0,224,483
35007,"Beaches--East York/Beaches--East York"," 18A","East York",77,9,5,30,27,1,149,334
35007,"Beaches--East York/Beaches--East York"," 18B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,119
35007,"Beaches--East York/Beaches--East York"," 19","East York",143,11,2,38,87,4,285,566
35007,"Beaches--East York/Beaches--East York"," 20","East York",137,19,4,39,77,0,276,519
35007,"Beaches--East York/Beaches--East York"," 21","East York",127,3,3,45,32,0,210,550
35007,"Beaches--East York/Beaches--East York"," 22","East York",110,13,3,30,59,0,215,428
35007,"Beaches--East York/Beaches--East York"," 23","East York",139,9,13,59,56,5,281,584
35007,"Beaches--East York/Beaches--East York"," 24","East York",104,6,6,38,25,2,181,561
35007,"Beaches--East York/Beaches--East York"," 25","East York",85,4,6,30,30,1,156,349
35007,"Beaches--East York/Beaches--East York"," 26","East York",120,2,2,33,28,4,189,483
35007,"Beaches--East York/Beaches--East York"," 27","East York",108,13,0,41,55,1,218,460
35007,"Beaches--East York/Beaches--East York"," 28","East York",141,17,5,56,67,1,287,509
35007,"Beaches--East York/Beaches--East York"," 29","East York",114,6,2,53,22,3,200,458
35007,"Beaches--East York/Beaches--East York"," 30","East York",90,6,8,81,55,1,241,410
35007,"Beaches--East York/Beaches--East York"," 31","East York",111,20,3,49,33,1,217,371
35007,"Beaches--East York/Beaches--East York"," 32","East York",91,6,5,21,22,0,145,455
35007,"Beaches--East York/Beaches--East York"," 33","East York",99,6,1,34,24,1,165,469
35007,"Beaches--East York/Beaches--East York"," 34","East York",155,10,3,65,29,3,265,599
35007,"Beaches--East York/Beaches--East York"," 35","East York",162,20,7,79,53,0,321,587
35007,"Beaches--East York/Beaches--East York"," 36","East York",90,23,1,57,22,0,193,415
35007,"Beaches--East York/Beaches--East York"," 37","East York",60,7,5,43,23,4,142,421
35007,"Beaches--East York/Beaches--East York"," 38","East York",81,8,1,21,57,0,168,387
35007,"Beaches--East York/Beaches--East York"," 39","East York",92,5,5,47,33,0,182,460
35007,"Beaches--East York/Beaches--East York"," 40","East York",111,20,5,51,53,2,242,483
35007,"Beaches--East York/Beaches--East York"," 41","East York",117,10,8,37,47,1,220,444
35007,"Beaches--East York/Beaches--East York"," 42","East York",83,15,0,48,32,0,178,466
35007,"Beaches--East York/Beaches--East York"," 43","East York",76,9,2,23,39,0,149,419
35007,"Beaches--East York/Beaches--East York"," 44","East York",111,7,2,44,32,6,202,485
35007,"Beaches--East York/Beaches--East York"," 45","East York",116,8,4,43,45,2,218,471
35007,"Beaches--East York/Beaches--East York"," 46","East York",116,10,3,39,15,3,186,487
35007,"Beaches--East York/Beaches--East York"," 47","East York",115,14,4,51,36,2,222,474
35007,"Beaches--East York/Beaches--East York"," 48","East York",121,11,3,44,52,0,231,399
35007,"Beaches--East York/Beaches--East York"," 49","East York",109,13,3,55,20,2,202,407
35007,"Beaches--East York/Beaches--East York"," 50","East York",103,11,4,36,16,0,170,416
35007,"Beaches--East York/Beaches--East York"," 51","East York",103,5,1,39,18,1,167,335
35007,"Beaches--East York/Beaches--East York"," 52","East York",68,12,2,55,23,2,162,343
35007,"Beaches--East York/Beaches--East York"," 53","East York",112,12,5,30,18,0,177,355
35007,"Beaches--East York/Beaches--East York"," 54","East York",96,13,3,29,27,1,169,359
35007,"Beaches--East York/Beaches--East York"," 55","East York",89,9,6,42,19,0,165,423
35007,"Beaches--East York/Beaches--East York"," 56","East York",120,11,7,71,40,1,250,560
35007,"Beaches--East York/Beaches--East York"," 57","East York",99,3,7,54,22,1,186,448
35007,"Beaches--East York/Beaches--East York"," 58","East York",116,13,3,55,17,0,204,466
35007,"Beaches--East York/Beaches--East York"," 59","East York",77,7,3,57,51,1,196,456
35007,"Beaches--East York/Beaches--East York"," 60","East York",92,11,4,60,32,2,201,455
35007,"Beaches--East York/Beaches--East York"," 61","East York",92,18,5,65,31,2,213,482
35007,"Beaches--East York/Beaches--East York"," 62","Toronto",101,17,5,37,23,6,189,539
35007,"Beaches--East York/Beaches--East York"," 63","East York",113,13,1,30,18,3,178,390
35007,"Beaches--East York/Beaches--East York"," 64","East York",99,15,5,70,23,0,212,456
35007,"Beaches--East York/Beaches--East York"," 65","Toronto",87,12,1,39,22,3,164,392
35007,"Beaches--East York/Beaches--East York"," 66","Toronto",109,26,1,53,26,1,216,409
35007,"Beaches--East York/Beaches--East York"," 67A","Toronto",78,8,2,48,16,3,155,408
35007,"Beaches--East York/Beaches--East York"," 67B","Toronto",82,5,2,46,16,0,151,393
35007,"Beaches--East York/Beaches--East York"," 68","Toronto",121,8,4,55,22,3,213,502
35007,"Beaches--East York/Beaches--East York"," 69","Toronto",137,21,4,59,24,0,245,411
35007,"Beaches--East York/Beaches--East York"," 70","Toronto",152,15,3,52,44,0,266,596
35007,"Beaches--East York/Beaches--East York"," 71","Toronto",161,8,3,46,41,0,259,556
35007,"Beaches--East York/Beaches--East York"," 72","Toronto",159,15,1,71,32,0,278,447
35007,"Beaches--East York/Beaches--East York"," 73","Toronto",111,15,0,40,29,0,195,344
35007,"Beaches--East York/Beaches--East York"," 74","Toronto",136,10,3,46,24,0,219,364
35007,"Beaches--East York/Beaches--East York"," 75","Toronto",138,16,1,38,30,0,223,405
35007,"Beaches--East York/Beaches--East York"," 76","Toronto",159,19,1,77,31,0,287,459
35007,"Beaches--East York/Beaches--East York"," 77","Toronto",95,11,3,29,18,1,157,315
35007,"Beaches--East York/Beaches--East York"," 78","East York",137,15,5,88,29,3,277,541
35007,"Beaches--East York/Beaches--East York"," 79","East York",132,17,5,63,35,1,253,394
35007,"Beaches--East York/Beaches--East York"," 80","Toronto",78,12,3,57,18,1,169,366
35007,"Beaches--East York/Beaches--East York"," 81","Toronto",69,9,0,69,18,2,167,457
35007,"Beaches--East York/Beaches--East York"," 82","Toronto",137,20,0,66,24,0,247,449
35007,"Beaches--East York/Beaches--East York"," 83","Toronto",97,8,2,55,21,0,183,395
35007,"Beaches--East York/Beaches--East York"," 84","Toronto",133,10,1,45,16,0,205,396
35007,"Beaches--East York/Beaches--East York"," 85","East York",134,19,3,44,26,3,229,468
35007,"Beaches--East York/Beaches--East York"," 86","East York",103,18,5,36,47,1,210,455
35007,"Beaches--East York/Beaches--East York"," 87","East York",145,15,3,47,17,1,228,476
35007,"Beaches--East York/Beaches--East York"," 88","East York",143,14,3,61,22,1,244,486
35007,"Beaches--East York/Beaches--East York"," 89","Toronto",121,15,0,60,28,0,224,475
35007,"Beaches--East York/Beaches--East York"," 90","East York",147,16,2,46,39,2,252,477
35007,"Beaches--East York/Beaches--East York"," 91","Toronto",163,15,1,66,35,2,282,536
35007,"Beaches--East York/Beaches--East York"," 92","Toronto",116,7,3,73,32,1,232,466
35007,"Beaches--East York/Beaches--East York"," 93","Toronto",105,13,0,63,30,0,211,487
35007,"Beaches--East York/Beaches--East York"," 94","Toronto",137,16,5,58,25,0,241,446
35007,"Beaches--East York/Beaches--East York"," 95","Toronto",148,17,1,50,38,0,254,422
35007,"Beaches--East York/Beaches--East York"," 96","Toronto",79,11,2,29,16,0,137,349
35007,"Beaches--East York/Beaches--East York"," 97","Toronto",93,15,2,32,28,1,171,353
