Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna Betty Achneepineskum,Patty Hajdu,Bruce Hyer,Youssef Khanjari,Frank Pullia,Alexander Vodden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 1","Aroland",54,38,0,2,1,2,0,97,219
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 2","Armstrong",32,48,12,3,10,1,2,108,371
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 3","Greenstone-Nakina",18,27,8,4,17,0,2,76,305
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 4","Collins",13,1,2,0,0,0,0,16,21
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 5","Long Lake 58",55,21,0,2,4,0,2,84,197
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 6","Ginoogaming First Nation 77",16,9,0,1,0,0,0,26,94
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 7","Greenstone-Geraldton",25,53,12,1,64,0,2,157,399
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 8","Greenstone-Geraldton",43,53,11,7,48,0,3,165,487
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 9","Greenstone-Geraldton",28,46,6,5,44,0,3,132,360
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 10","Greenstone-Geraldton",42,70,8,7,35,1,2,165,402
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 11","Greenstone-Longlac",30,52,10,10,81,0,2,185,411
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 12","Greenstone-Longlac",25,41,4,4,49,0,1,124,411
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 13","Greenstone-Longlac",21,53,21,5,55,0,2,157,411
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 14","Greenstone-Caramat",6,13,3,2,13,0,0,37,76
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 15","Beardmore",10,27,15,1,15,0,0,68,209
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 16","Jellicoe",6,3,2,0,13,0,1,25,57
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 17","Nipigon",39,55,23,3,83,0,1,204,504
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 18","Nipigon",39,57,17,3,52,1,0,169,406
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 19A","Nipigon",43,66,17,2,38,0,2,168,420
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 19B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,19
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 20","Macdiarmid",28,7,4,2,3,1,2,47,159
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 21","Gull River 55",28,31,1,0,2,1,1,64,154
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 22","Manitouwadge--Hillsport",19,47,3,7,41,2,2,121,386
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 23","Manitouwadge",40,41,11,1,57,1,2,153,369
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 24","Manitouwadge",33,38,16,8,63,3,0,161,411
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 25","Manitouwadge",35,64,13,5,42,2,1,162,444
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 26","Lake Helen 53A",73,16,6,1,8,0,0,104,214
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 27","Red Rock",34,59,21,1,46,1,0,162,315
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 28","Red Rock",24,60,22,2,34,0,3,145,351
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 29","Pays Plat 51",20,14,1,1,3,0,0,39,70
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 30","Schreiber",56,64,19,6,35,1,0,181,448
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 31","Schreiber",34,75,17,2,49,1,1,179,408
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 32","Hurkett",25,24,13,4,55,0,2,123,196
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 33","Marathon",41,59,26,1,53,2,1,183,427
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 34","Marathon",34,59,36,3,37,1,0,170,405
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 35","Marathon",44,64,30,5,66,2,1,212,443
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 36","Marathon",25,56,20,5,32,1,3,142,404
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 37","Marathon",44,58,46,3,68,4,1,224,493
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 38","Heron Bay",39,38,15,0,29,2,0,123,405
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 39","Terrace Bay",52,73,19,6,65,0,3,218,435
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 40","Terrace Bay",45,71,8,4,48,1,0,177,397
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 41","Terrace Bay",26,58,14,6,68,1,2,175,361
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 42","Dorion",25,51,11,2,69,0,3,161,282
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 43","Pic River",44,120,3,2,1,1,0,171,286
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 44","Rossport",12,48,14,0,30,0,0,104,177
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 45","Gorham",39,92,24,3,77,1,2,238,548
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 46","Toimela",47,106,22,6,105,0,0,286,507
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 47","Gorham",41,94,28,5,76,0,1,245,537
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 48","Kaministiquia",55,79,28,10,61,0,2,235,467
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 49","MacGregor",38,63,16,5,65,0,0,187,349
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 50","Gorham",38,57,33,2,62,0,0,192,401
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 51","Pass Lake",41,78,20,3,57,1,3,203,385
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 52","MacGregor",32,73,22,1,47,0,0,175,379
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 53","Amethyst Harbour",27,103,16,2,89,1,0,238,510
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 54","MacGregor",45,96,16,4,55,0,0,216,480
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 55","MacGregor",54,92,19,9,70,2,3,249,473
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 56","Thunder Bay",28,46,11,2,38,0,0,125,469
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 57","Thunder Bay",72,56,3,7,61,0,1,200,477
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 58","Thunder Bay",87,66,19,7,46,2,2,229,495
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 59","Thunder Bay",79,68,5,7,29,0,2,190,419
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 60","Thunder Bay",35,91,19,2,80,1,1,229,436
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 61","Thunder Bay",24,125,28,4,86,2,2,271,532
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 62","Thunder Bay",45,134,13,5,74,2,2,275,488
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 63","Thunder Bay",26,118,13,4,61,1,0,223,465
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 64","Thunder Bay",42,79,13,3,42,0,0,179,456
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 65","Thunder Bay",41,95,20,5,84,0,0,245,493
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 66","Thunder Bay",33,85,18,1,69,0,2,208,417
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 67","Thunder Bay",27,93,14,4,64,0,4,206,404
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 68","Thunder Bay",40,82,11,4,52,0,2,191,380
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 69","Thunder Bay",52,72,18,2,46,0,0,190,498
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 70","Thunder Bay",47,76,13,4,39,0,2,181,367
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 71","Thunder Bay",51,71,21,2,40,0,2,187,422
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 72","Thunder Bay",38,76,11,2,36,0,1,164,390
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 73","Thunder Bay",51,72,16,2,52,3,3,199,432
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 74","MacGregor",32,80,25,1,49,1,5,193,412
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 75","Thunder Bay",39,90,20,6,42,0,2,199,409
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 76","Thunder Bay",62,85,17,4,54,1,1,224,417
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 77","Thunder Bay",58,80,28,9,45,0,1,221,421
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 78","Thunder Bay",45,78,11,6,48,1,1,190,388
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 79","Thunder Bay",33,64,21,2,37,0,1,158,373
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 80","Thunder Bay",39,73,19,2,51,0,2,186,386
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 81","Thunder Bay",57,79,21,8,26,0,0,191,430
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 82","Thunder Bay",56,74,23,3,39,0,1,196,408
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 83","Thunder Bay",45,79,19,1,49,0,3,196,380
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 84","Thunder Bay",41,81,20,1,68,1,3,215,391
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 85","Thunder Bay",33,72,13,4,35,2,3,162,289
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 86","Thunder Bay",51,99,20,5,36,1,2,214,474
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 87","Thunder Bay",71,100,28,5,52,0,0,256,449
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 88","Thunder Bay",48,88,16,5,48,0,2,207,428
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 89","Thunder Bay",51,67,20,1,37,0,1,177,416
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 90","Thunder Bay",44,97,15,1,61,1,1,220,461
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 91","Thunder Bay",30,120,10,2,84,1,1,248,437
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 92","Thunder Bay",21,103,7,1,47,1,0,180,362
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 93","Thunder Bay",38,70,17,3,50,0,3,181,437
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 94","Thunder Bay",47,119,14,7,40,0,0,227,434
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 95","Thunder Bay",35,97,15,5,49,0,1,202,412
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 96","Thunder Bay",40,55,13,2,18,0,0,128,250
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 97","Thunder Bay",22,93,18,4,71,1,3,212,392
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 98","Thunder Bay",32,104,12,2,72,2,0,224,419
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 99","Thunder Bay",30,81,11,2,77,0,1,202,372
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord"," 100","Thunder Bay",44,98,11,3,77,1,0,234,434
