Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lesley Barron,Andrew Bascombe,Syl Carle,Michael Chong,Ralph Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 1","Erin",49,20,14,114,48,1,246,496
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 2","Erin",52,20,10,105,38,0,225,447
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 3","Erin",70,25,4,105,62,0,266,514
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 4","Erin",54,17,5,87,40,0,203,456
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 5","Erin",57,16,1,111,47,0,232,476
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 6","Erin",54,21,5,83,41,2,206,434
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 7","Erin",56,23,8,102,34,0,223,409
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 8","Erin",41,33,5,131,33,0,243,506
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 9","Erin",56,23,11,107,28,0,225,461
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 10","Erin",45,25,2,99,26,0,197,400
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 11","Erin",40,21,8,116,34,1,220,442
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 12","Erin",42,30,4,131,41,4,252,562
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 13","Erin",46,14,10,95,32,0,197,442
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 14","Erin",33,8,0,94,25,2,162,387
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 15","Centre Wellington",21,13,9,112,16,1,172,291
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 16","Centre Wellington",30,11,1,69,13,1,125,226
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 17","Centre Wellington",52,8,3,105,33,0,201,313
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 18","Centre Wellington",26,6,6,98,21,0,157,285
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 19","Centre Wellington",31,10,8,73,14,0,136,244
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 20","Centre Wellington",33,9,8,149,27,1,227,480
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 21","Centre Wellington",23,9,2,73,9,1,117,367
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 22","Centre Wellington",50,10,0,101,17,2,180,278
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 23","Erin",83,15,6,107,31,0,242,467
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 24","Halton Hills",53,19,0,97,23,0,192,442
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 25","Erin",65,18,8,169,45,1,306,511
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 26","Halton Hills",70,18,2,120,18,1,229,392
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 27","Erin",65,14,5,138,30,2,254,493
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 28","Erin",39,22,2,166,37,0,266,540
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 29","Erin",54,16,6,140,29,3,248,451
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 30","Halton Hills",67,17,2,155,21,1,263,501
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 31","Halton Hills",64,19,2,94,36,0,215,417
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 32","Halton Hills",48,4,1,104,9,0,166,318
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 33","Halton Hills",78,11,6,69,21,1,186,395
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 34","Halton Hills",39,16,0,104,15,1,175,308
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 35","Halton Hills",52,19,10,91,20,0,192,399
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 36","Halton Hills",63,16,6,82,26,1,194,397
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 37","Centre Wellington",51,12,4,111,15,0,193,380
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 38","Centre Wellington",70,32,5,113,28,3,251,577
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 39","Centre Wellington",37,31,3,67,15,1,154,294
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 40","Centre Wellington",45,17,5,59,23,0,149,347
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 41","Centre Wellington",61,33,8,92,39,0,233,422
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 42","Centre Wellington",29,11,2,72,21,1,136,283
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 43","Centre Wellington",41,32,7,101,25,0,206,401
