Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Aubin,Louise Charbonneau,Marie Duplessis,Marc André Gingras,Yves Lévesque,Valérie Renaud-Martin,Ronald St-Onge Lynch,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 1","Trois-Rivières",30,48,4,4,45,28,1,3,163,334
24076,"Trois-Rivières/Trois-Rivières"," 2","Trois-Rivières",45,56,5,5,57,59,0,2,229,472
24076,"Trois-Rivières/Trois-Rivières"," 3","Trois-Rivières",37,50,2,6,62,48,0,1,206,403
24076,"Trois-Rivières/Trois-Rivières"," 4","Trois-Rivières",27,43,2,5,36,52,2,2,169,343
24076,"Trois-Rivières/Trois-Rivières"," 5","Trois-Rivières",28,65,5,0,55,43,0,3,199,393
24076,"Trois-Rivières/Trois-Rivières"," 6","Trois-Rivières",45,48,5,1,42,54,1,1,197,351
24076,"Trois-Rivières/Trois-Rivières"," 7","Trois-Rivières",25,73,4,0,67,52,0,3,224,374
24076,"Trois-Rivières/Trois-Rivières"," 8","Trois-Rivières",31,77,3,0,59,50,0,0,220,409
24076,"Trois-Rivières/Trois-Rivières"," 9","Trois-Rivières",21,51,3,0,43,39,0,2,159,346
24076,"Trois-Rivières/Trois-Rivières"," 10","Trois-Rivières",24,61,5,1,49,55,1,0,196,355
24076,"Trois-Rivières/Trois-Rivières"," 11","Trois-Rivières",38,48,7,3,43,42,0,0,181,432
24076,"Trois-Rivières/Trois-Rivières"," 12","Trois-Rivières",23,63,1,1,36,31,1,4,160,388
24076,"Trois-Rivières/Trois-Rivières"," 13","Trois-Rivières",25,38,7,2,25,29,0,0,126,398
24076,"Trois-Rivières/Trois-Rivières"," 14","Trois-Rivières",24,38,8,2,20,19,0,2,113,409
24076,"Trois-Rivières/Trois-Rivières"," 15","Trois-Rivières",30,37,3,1,41,27,0,2,141,329
24076,"Trois-Rivières/Trois-Rivières"," 16","Trois-Rivières",23,38,3,0,27,23,3,4,121,339
24076,"Trois-Rivières/Trois-Rivières"," 17","Trois-Rivières",17,35,4,1,29,24,0,3,113,349
24076,"Trois-Rivières/Trois-Rivières"," 18","Trois-Rivières",29,41,8,2,29,21,0,3,133,341
24076,"Trois-Rivières/Trois-Rivières"," 19","Trois-Rivières",20,63,3,2,31,22,0,1,142,362
24076,"Trois-Rivières/Trois-Rivières"," 20","Trois-Rivières",34,43,4,0,42,25,0,0,148,373
24076,"Trois-Rivières/Trois-Rivières"," 21","Trois-Rivières",30,59,3,2,49,37,0,1,181,349
24076,"Trois-Rivières/Trois-Rivières"," 22","Trois-Rivières",28,40,7,6,45,27,1,2,156,438
24076,"Trois-Rivières/Trois-Rivières"," 23","Trois-Rivières",24,34,3,1,42,27,0,4,135,326
24076,"Trois-Rivières/Trois-Rivières"," 24","Trois-Rivières",24,44,4,0,39,40,0,5,156,386
24076,"Trois-Rivières/Trois-Rivières"," 25","Trois-Rivières",32,29,2,1,36,26,0,1,127,435
24076,"Trois-Rivières/Trois-Rivières"," 26","Trois-Rivières",44,71,3,5,72,67,0,1,263,586
24076,"Trois-Rivières/Trois-Rivières"," 27","Trois-Rivières",31,59,4,4,76,73,0,4,251,503
24076,"Trois-Rivières/Trois-Rivières"," 28","Trois-Rivières",26,46,4,1,33,35,0,3,148,374
24076,"Trois-Rivières/Trois-Rivières"," 29","Trois-Rivières",21,57,8,5,38,29,1,6,165,557
24076,"Trois-Rivières/Trois-Rivières"," 30A","Trois-Rivières",16,28,1,4,13,24,0,1,87,423
24076,"Trois-Rivières/Trois-Rivières"," 30B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,59
24076,"Trois-Rivières/Trois-Rivières"," 31","Trois-Rivières",31,63,5,2,44,52,1,7,205,432
24076,"Trois-Rivières/Trois-Rivières"," 32","Trois-Rivières",48,80,4,3,71,84,2,5,297,567
24076,"Trois-Rivières/Trois-Rivières"," 33","Trois-Rivières",35,67,4,1,37,53,1,0,198,423
24076,"Trois-Rivières/Trois-Rivières"," 34","Trois-Rivières",8,27,1,2,43,27,1,3,112,242
24076,"Trois-Rivières/Trois-Rivières"," 35","Trois-Rivières",29,69,4,1,37,31,0,4,175,525
24076,"Trois-Rivières/Trois-Rivières"," 36","Trois-Rivières",15,49,1,2,21,22,1,5,116,390
24076,"Trois-Rivières/Trois-Rivières"," 37","Trois-Rivières",25,45,1,1,24,26,1,2,125,387
24076,"Trois-Rivières/Trois-Rivières"," 38","Trois-Rivières",30,55,1,3,30,53,2,3,177,475
24076,"Trois-Rivières/Trois-Rivières"," 39","Trois-Rivières",14,44,2,0,24,30,0,0,114,317
24076,"Trois-Rivières/Trois-Rivières"," 40","Trois-Rivières",19,32,6,3,29,19,0,2,110,410
24076,"Trois-Rivières/Trois-Rivières"," 41","Trois-Rivières",13,38,2,3,31,15,1,1,104,346
24076,"Trois-Rivières/Trois-Rivières"," 42","Trois-Rivières",8,46,6,1,25,21,0,4,111,371
24076,"Trois-Rivières/Trois-Rivières"," 43","Trois-Rivières",19,37,2,0,29,24,0,3,114,341
24076,"Trois-Rivières/Trois-Rivières"," 44","Trois-Rivières",24,30,5,3,24,18,0,4,108,339
24076,"Trois-Rivières/Trois-Rivières"," 45","Trois-Rivières",32,63,6,2,68,49,0,3,223,478
24076,"Trois-Rivières/Trois-Rivières"," 46","Trois-Rivières",24,62,6,0,37,47,0,2,178,374
24076,"Trois-Rivières/Trois-Rivières"," 47","Trois-Rivières",29,64,4,3,47,55,0,1,203,402
24076,"Trois-Rivières/Trois-Rivières"," 48","Trois-Rivières",26,47,4,2,64,56,0,3,202,381
24076,"Trois-Rivières/Trois-Rivières"," 49","Trois-Rivières",24,61,8,3,51,40,0,0,187,463
24076,"Trois-Rivières/Trois-Rivières"," 50","Trois-Rivières",32,44,4,6,29,36,0,3,154,427
24076,"Trois-Rivières/Trois-Rivières"," 51","Trois-Rivières",21,27,5,0,23,33,0,0,109,387
24076,"Trois-Rivières/Trois-Rivières"," 52","Trois-Rivières",21,51,6,3,45,38,2,3,169,401
24076,"Trois-Rivières/Trois-Rivières"," 53","Trois-Rivières",20,56,8,1,35,32,0,0,152,333
24076,"Trois-Rivières/Trois-Rivières"," 54","Trois-Rivières",24,46,4,3,61,49,0,2,189,384
24076,"Trois-Rivières/Trois-Rivières"," 55","Trois-Rivières",25,48,3,5,44,29,0,4,158,385
24076,"Trois-Rivières/Trois-Rivières"," 56","Trois-Rivières",17,64,1,6,45,27,1,4,165,376
24076,"Trois-Rivières/Trois-Rivières"," 57","Trois-Rivières",34,56,6,0,39,36,0,1,172,393
24076,"Trois-Rivières/Trois-Rivières"," 58","Trois-Rivières",27,41,8,5,38,21,2,4,146,381
24076,"Trois-Rivières/Trois-Rivières"," 59","Trois-Rivières",30,38,5,2,29,19,0,5,128,345
