Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aeriol Alderking,Locke Duncan,Ed Fast,Stephen Fowler,Seamus Heffernan,Madeleine Sauve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 65","Abbotsford",2,7,95,22,49,65,2,242,685
59001,"Abbotsford/Abbotsford"," 66A","Abbotsford",2,10,104,14,46,42,3,221,551
59001,"Abbotsford/Abbotsford"," 66B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,15
59001,"Abbotsford/Abbotsford"," 67","Abbotsford",3,1,121,22,46,47,3,243,553
59001,"Abbotsford/Abbotsford"," 68","Abbotsford",0,8,116,14,61,58,2,259,594
59001,"Abbotsford/Abbotsford"," 69","Abbotsford",1,2,138,27,45,52,1,266,634
59001,"Abbotsford/Abbotsford"," 70","Abbotsford",1,10,101,27,56,46,3,244,637
59001,"Abbotsford/Abbotsford"," 71","Abbotsford",2,7,111,16,34,23,1,194,518
59001,"Abbotsford/Abbotsford"," 72","Abbotsford",0,3,70,18,33,50,0,174,363
59001,"Abbotsford/Abbotsford"," 73","Abbotsford",0,8,134,31,43,60,0,276,530
59001,"Abbotsford/Abbotsford"," 74","Abbotsford",2,6,90,32,47,68,6,251,627
59001,"Abbotsford/Abbotsford"," 75","Abbotsford",0,5,86,26,29,30,0,176,368
59001,"Abbotsford/Abbotsford"," 76","Abbotsford",2,7,88,30,53,65,0,245,595
59001,"Abbotsford/Abbotsford"," 77","Abbotsford",2,7,118,35,45,54,2,263,604
59001,"Abbotsford/Abbotsford"," 78","Abbotsford",0,7,122,22,44,37,2,234,457
59001,"Abbotsford/Abbotsford"," 79","Abbotsford",1,4,152,23,67,63,2,312,698
59001,"Abbotsford/Abbotsford"," 80","Abbotsford",1,9,75,8,15,17,1,126,280
59001,"Abbotsford/Abbotsford"," 81","Abbotsford",2,4,125,10,68,31,3,243,468
59001,"Abbotsford/Abbotsford"," 82","Abbotsford",1,10,170,27,57,49,0,314,699
59001,"Abbotsford/Abbotsford"," 83","Abbotsford",0,5,132,10,37,45,0,229,460
