Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Berthold,Mathieu Boisvert,Nicole Charette,Priscilla Corbeil,Isabelle Grégoire,Marie  Claude Lauzier,Jean Paradis,Damien Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 111","Thetford Mines",84,14,1,65,27,2,1,0,3,197,348
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 112","Thetford Mines",80,5,4,38,13,2,1,0,4,147,337
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 113","Thetford Mines",134,7,3,40,33,4,1,1,0,223,461
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 114","Thetford Mines",85,1,1,47,19,2,0,0,3,158,372
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 115","Thetford Mines",71,9,4,62,21,0,0,2,4,173,377
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 116","Thetford Mines",89,3,4,43,9,4,0,1,5,158,362
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 117","Thetford Mines",70,7,2,45,9,3,1,2,1,140,355
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 118","Thetford Mines",79,5,8,46,24,5,0,1,3,171,410
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 119","Saint-Ferdinand",103,6,3,41,29,3,0,1,1,187,416
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 120","Saint-Ferdinand",55,6,1,29,16,4,1,1,1,114,230
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 121","Saint-Ferdinand",80,4,4,34,19,1,0,0,3,145,358
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 122","Saint-Ferdinand",60,8,6,32,30,2,0,0,6,144,299
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 123","Saint-Ferdinand",94,9,6,44,20,3,0,0,1,177,356
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 124","Adstock",150,9,7,60,43,4,1,8,3,285,472
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 125","Irlande",101,9,8,57,13,5,1,2,0,196,361
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 126","Irlande",76,3,7,52,21,2,0,2,4,167,359
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 127","Saint-Joseph-de-Coleraine",74,2,5,56,28,3,0,2,1,171,398
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 128","Saint-Joseph-de-Coleraine",41,3,0,27,9,3,0,0,4,87,317
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 129","Saint-Joseph-de-Coleraine",63,1,1,29,9,3,1,1,6,114,293
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 130","Saint-Joseph-de-Coleraine",83,5,3,29,16,2,1,0,6,145,397
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 131","Courcelles",79,1,1,27,21,10,1,1,6,147,283
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 132","Courcelles",124,9,9,45,48,4,1,0,5,245,396
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 133","Saint-Julien",91,6,6,65,20,1,0,1,2,192,312
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 134","Saint-Robert-Bellarmin",90,9,2,14,11,6,1,1,4,138,228
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 135","Saint-Robert-Bellarmin",104,9,0,10,11,5,0,1,1,141,243
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 136","Lambton",84,12,1,38,36,4,0,2,3,180,451
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 137","Lambton",90,4,6,28,17,4,4,0,5,158,439
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 138","Lambton",74,3,2,34,17,4,0,0,0,134,294
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 139","Sainte-Praxède",73,7,4,36,20,3,0,0,4,147,275
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 140","Disraëli",64,4,1,48,25,0,1,1,1,145,395
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 141","Disraëli",71,3,1,55,20,2,1,0,0,153,406
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 142","Disraëli",62,0,7,40,12,1,2,1,4,129,367
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 143","Saint-Fortunat",46,5,6,49,22,0,0,1,1,130,207
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 144","Saint-Jacques-le-Majeur-de-Wolfestown",37,8,3,37,15,2,0,2,4,108,158
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 145","Disraëli",71,7,4,60,16,0,0,1,1,160,372
