Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhino Jacques Bélanger,Julien Côté,Isabel Dion,David Lametti,Jency Mercier,Claudio Rocchi,Steven Scott,Eileen Studd,Daniel Turgeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 1","Verdun",1,1,52,104,12,21,40,0,2,6,239,524
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 2","Verdun",0,0,43,106,14,19,37,0,2,2,223,458
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 3","Verdun",1,2,33,84,16,8,63,0,2,5,214,503
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 4","Verdun",1,1,35,93,9,8,35,0,1,2,185,413
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 5","Verdun",2,1,54,68,23,9,63,0,1,3,224,438
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 6","Verdun",1,0,51,88,18,12,50,0,1,2,223,451
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 7","Verdun",1,2,50,107,18,7,36,0,1,2,224,484
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 8","Montréal",1,4,28,58,14,2,44,0,4,0,155,385
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 9A","Verdun",0,2,46,104,26,11,35,0,1,1,226,448
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 9B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,,,86
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 10","Verdun",1,2,28,58,16,8,36,0,1,3,153,369
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 11","Verdun",3,2,51,77,33,11,66,1,2,6,252,467
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 12","Verdun",1,1,58,66,19,25,44,1,2,3,220,535
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 13","Verdun",0,1,62,88,12,7,50,0,3,4,227,469
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 14","Verdun",2,2,35,64,22,6,44,0,0,3,178,461
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 15","Verdun",0,1,49,100,28,7,65,0,4,2,256,517
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 16","Verdun",2,0,50,79,16,10,55,1,2,3,218,462
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 17","Verdun",0,1,34,88,28,5,49,0,1,2,208,479
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 18","Verdun",0,0,26,50,16,4,27,0,1,4,128,244
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 19","Verdun",1,0,54,90,11,19,21,0,5,2,203,525
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 20","Verdun",1,1,83,107,14,13,48,0,2,4,273,555
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 21","Verdun",2,1,51,84,25,7,46,0,5,4,225,486
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 22","Verdun",0,3,51,76,19,4,57,0,8,2,220,528
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 23","Verdun",1,1,20,74,14,3,45,0,5,2,165,398
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 24","Verdun",1,3,34,86,22,9,51,0,1,2,209,583
