Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Abara,Farhan Alvi,Kevin Clarke,Kathleen Marie Holding,Jigna Jani,John McKay,Tara McMahon,Michelle Spencer,Gus Stefanis,Quintus Thuraisingham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 1","Scarborough",0,0,0,2,2,152,4,28,0,59,1,248,553
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 2","Scarborough",1,0,0,1,2,110,0,23,0,47,1,185,463
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 3","Scarborough",0,0,0,0,2,133,3,25,0,53,6,222,505
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 4","Scarborough",0,0,0,0,2,142,2,17,0,48,0,211,572
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 5","Scarborough",0,0,0,0,2,106,2,26,0,36,0,172,395
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 6","Scarborough",1,0,0,1,2,120,2,20,1,55,1,203,370
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 7","Scarborough",1,0,1,0,8,101,5,18,0,74,5,213,430
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 8","Scarborough",0,0,0,1,2,103,7,27,0,72,0,212,377
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 9","Scarborough",0,0,0,0,0,99,1,30,0,28,0,158,380
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 10","Scarborough",0,0,0,0,4,140,7,26,0,41,0,218,371
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 11","Scarborough",0,0,0,0,3,94,4,28,1,44,2,176,400
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 12","Scarborough",1,0,0,0,3,126,3,24,0,44,1,202,427
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 13","Scarborough",1,0,1,0,2,125,5,18,0,54,0,206,407
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 14","Scarborough",0,0,1,0,8,85,3,23,0,48,0,168,368
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 15","Scarborough",0,0,1,0,3,139,1,25,0,14,2,185,481
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 16","Scarborough",1,0,0,1,9,157,6,30,1,77,4,286,536
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 17","Scarborough",0,1,0,1,2,112,9,29,0,66,3,223,396
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 18","Scarborough",0,0,0,0,5,113,3,29,0,35,4,189,396
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 19","Scarborough",0,0,2,0,7,169,9,31,1,61,0,280,591
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 20","Scarborough",1,0,1,1,1,128,4,45,1,64,15,261,632
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 21","Scarborough",1,0,1,1,3,117,4,20,2,34,3,186,389
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 22","Scarborough",0,0,4,0,2,102,4,22,1,30,3,168,392
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 23","Scarborough",0,0,0,0,2,100,5,23,0,41,1,172,283
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 24","Scarborough",1,0,0,0,3,103,4,26,0,50,0,187,435
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 25","Scarborough",0,0,2,0,3,78,9,33,2,55,3,185,478
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 26","Scarborough",0,0,0,0,3,118,3,24,2,54,2,206,441
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 27","Scarborough",0,1,2,0,0,96,1,26,0,41,0,167,435
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 28","Scarborough",1,0,0,0,0,100,6,20,0,49,0,176,352
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 29","Scarborough",0,1,0,0,8,98,3,10,0,44,1,165,454
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 30","Scarborough",2,0,0,0,1,158,4,19,0,13,0,197,483
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 31","Scarborough",0,1,0,0,7,78,1,19,0,78,3,187,462
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 32","Scarborough",0,0,0,0,0,107,5,14,1,54,5,186,357
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 33","Scarborough",0,0,0,0,3,151,4,25,1,58,2,244,443
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 34","Scarborough",1,0,0,0,2,92,1,24,0,56,3,179,460
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 35","Scarborough",0,1,1,1,7,136,1,35,0,51,2,235,594
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 36","Scarborough",1,1,0,1,3,129,5,24,0,66,1,231,465
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 37","Scarborough",0,0,0,0,2,112,5,18,0,79,0,216,433
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 38","Scarborough",0,0,0,0,5,134,7,25,0,47,0,218,491
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 39","Scarborough",0,0,1,0,0,132,9,34,0,60,2,238,420
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 40","Scarborough",2,1,1,0,4,153,3,25,0,27,1,217,458
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 41","Scarborough",0,0,0,2,0,96,5,29,0,25,3,160,330
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 42","Scarborough",0,0,0,0,2,102,3,29,0,53,0,189,429
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 43","Scarborough",0,0,2,0,0,116,9,31,0,55,1,214,478
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 44","Scarborough",0,0,0,1,6,121,12,31,0,46,1,218,491
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 45","Scarborough",1,0,0,0,1,131,7,24,0,40,6,210,470
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 46","Scarborough",0,0,3,0,1,158,9,36,1,45,2,255,522
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 47","Scarborough",2,2,4,0,3,193,9,46,0,26,6,291,613
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 48","Scarborough",1,0,1,1,7,120,1,20,1,64,3,219,450
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 49","Scarborough",0,0,2,0,6,126,7,35,1,91,4,272,513
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 50","Scarborough",0,0,0,0,3,139,9,32,0,54,5,242,494
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 51","Scarborough",0,1,3,0,1,101,4,16,1,59,1,187,365
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 52","Scarborough",0,0,2,2,3,115,10,25,1,55,1,214,469
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 53","Scarborough",1,0,1,1,5,115,6,24,2,43,1,199,419
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 54","Scarborough",0,0,0,0,2,124,3,27,0,38,5,199,437
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 55","Scarborough",1,0,0,0,3,105,4,26,0,39,0,178,416
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 56","Scarborough",0,1,0,1,5,149,4,38,0,45,0,243,452
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 57","Scarborough",0,0,0,0,2,135,5,25,0,38,1,206,371
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 58","Scarborough",2,0,1,0,0,142,9,35,1,24,2,216,439
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 59","Scarborough",0,0,0,3,4,154,3,20,0,41,2,227,523
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 60","Scarborough",0,0,0,0,2,158,7,28,1,31,0,227,491
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 61","Scarborough",0,0,2,0,0,146,12,32,0,38,14,244,576
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 62","Scarborough",0,0,0,0,3,91,3,27,0,28,3,155,351
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 63","Scarborough",0,0,0,1,1,89,2,21,0,13,0,127,398
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 64","Scarborough",0,0,0,1,5,134,6,32,0,39,0,217,408
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 65","Scarborough",0,0,0,0,5,141,8,36,1,81,3,275,478
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 66","Scarborough",0,0,0,0,2,96,5,16,0,43,1,163,347
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 67","Scarborough",1,0,1,0,0,125,1,16,0,40,3,187,359
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 68","Scarborough",2,0,0,2,8,161,7,48,2,67,6,303,586
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 69","Scarborough",2,0,1,0,3,140,7,32,0,29,2,216,496
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 70","Scarborough",0,1,1,1,2,129,8,25,0,41,0,208,515
