Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Aldag,Rae Banwarie,Tamara Jansen,Ian Kennedy,Caelum Nutbrown,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 1","Surrey",84,39,33,1,2,7,166,414
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 2","Surrey",72,40,27,1,3,4,147,369
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 3","Surrey",65,39,29,0,4,1,138,391
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 4","Surrey",97,65,32,1,2,5,202,538
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 5","Surrey",63,30,40,0,3,0,136,326
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 6","Surrey",50,44,31,1,7,2,135,345
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 7","Surrey",117,33,44,2,7,0,203,487
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 8","Surrey",120,62,71,3,8,5,269,641
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 9","Surrey",80,57,53,2,12,4,208,518
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 10","Surrey",136,70,82,2,10,7,307,693
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 11","Surrey",64,41,44,0,5,1,155,383
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 12","Surrey",109,63,64,6,9,1,252,618
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 13","Surrey",53,29,66,2,15,3,168,461
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 14","Surrey",39,26,39,0,4,0,108,368
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 15","Surrey",98,44,87,3,11,1,244,623
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 16","Surrey",85,45,68,5,7,0,210,558
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 17","Surrey",58,56,81,3,20,0,218,478
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 18","Langley",38,32,54,0,8,0,132,372
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 19","Surrey",87,49,76,6,11,0,229,557
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 20","Surrey",60,48,76,3,8,0,195,468
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 21A","Surrey",41,28,62,0,5,2,138,365
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 21B","Surrey",52,28,56,7,11,0,154,374
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 22","Surrey",70,49,66,3,11,2,201,473
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 23","Langley",70,45,66,4,7,0,192,457
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 24","Surrey",69,36,36,2,1,2,146,311
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 25","Surrey",91,32,58,5,9,1,196,482
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 26","Surrey",78,43,58,2,13,2,196,484
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 27","Surrey",110,67,81,2,14,0,274,625
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 28","Surrey",53,30,67,1,9,1,161,346
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 29","Surrey",144,101,100,2,15,2,364,696
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 30","Surrey",111,54,71,1,19,0,256,550
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 31","Surrey",111,64,91,4,16,3,289,610
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 32","Surrey",66,65,82,1,25,0,239,530
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 33","Surrey",74,31,81,5,9,0,200,464
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 34","Surrey",111,68,83,3,8,2,275,601
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 35","Surrey",106,34,85,3,10,1,239,559
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 36","Surrey",101,49,116,6,16,1,289,521
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 37","Surrey",56,38,73,5,8,3,183,420
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 38","Surrey",63,31,78,7,16,0,195,512
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 39","Surrey",56,33,42,3,3,0,137,392
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 40","Surrey",61,33,72,4,10,2,182,525
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 41","Surrey",69,50,102,10,13,0,244,699
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 42","Surrey",59,41,104,2,7,1,214,543
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 43","Langley",71,36,76,2,6,1,192,461
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 44","Surrey",60,31,90,2,18,3,204,546
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 45","Surrey",72,32,49,3,9,1,166,515
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 46A","Surrey",80,36,77,3,13,0,209,417
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 46B","Surrey",75,42,65,3,15,1,201,427
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 47","Surrey",84,52,59,4,16,1,216,544
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 48A","Surrey",44,17,65,2,12,0,140,356
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 48B","Surrey",52,32,51,0,4,0,139,352
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 49","Surrey",82,31,85,1,13,2,214,528
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 50","Surrey",67,25,79,4,3,3,181,410
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 51","Surrey",60,20,52,3,13,1,149,370
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 52","Surrey",68,44,90,7,7,0,216,525
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 53","Surrey",59,43,81,0,9,2,194,404
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 54","Surrey",73,35,98,5,14,3,228,575
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 55","Surrey",100,47,92,0,18,3,260,567
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 56","Surrey",81,44,77,2,10,0,214,557
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 57","Surrey",54,25,74,1,8,0,162,404
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 58","Surrey",63,30,66,3,11,1,174,512
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 59","Surrey",76,36,65,2,9,0,188,391
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 60","Surrey",90,37,74,2,5,1,209,476
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 61","Surrey",78,34,74,0,6,0,192,471
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 62","Surrey",55,35,59,3,6,2,160,392
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 63","Surrey",67,26,60,4,15,1,173,427
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 64","Surrey",54,40,80,1,24,0,199,541
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 65","Surrey",89,38,93,3,3,1,227,484
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 66","Surrey",91,43,115,1,12,2,264,592
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 67","Surrey",87,32,116,3,17,2,257,543
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 68","Surrey",83,36,64,0,10,2,195,481
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 69","Surrey",127,46,88,2,7,7,277,583
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 70","Surrey",58,45,85,6,15,0,209,399
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 71","Surrey",71,41,99,3,15,2,231,453
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 72A","Surrey",62,35,48,1,11,2,159,364
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 72B","Surrey",34,35,48,1,11,2,131,374
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 73","Surrey",73,85,117,7,16,1,299,648
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 74","Surrey",66,56,61,4,9,1,197,517
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 75","Langley",64,38,90,2,9,1,204,529
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 76","Surrey",91,55,91,5,19,3,264,611
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 77","Langley",96,27,128,3,10,3,267,581
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 78","Surrey",88,43,84,5,14,1,235,557
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 79","Surrey",81,58,82,4,31,2,258,630
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 80","Langley",53,30,79,2,10,0,174,406
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 81","Langley",65,57,92,5,20,0,239,597
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 82","Surrey",85,53,90,5,16,0,249,473
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 83","Surrey",93,69,82,4,15,1,264,505
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 84","Surrey",72,36,106,6,21,1,242,488
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 85","Surrey",77,39,64,6,10,0,196,478
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 86","Surrey",90,57,67,4,20,1,239,564
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 87A","Surrey",51,35,54,11,15,0,166,516
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 87B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,49
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 88","Surrey",42,42,34,8,14,0,140,348
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 89","Surrey",94,60,64,4,22,0,244,603
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 90","Surrey",52,29,45,2,15,0,143,508
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 91","Surrey",64,43,62,2,9,2,182,383
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 92","Surrey",74,50,84,2,14,2,226,433
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 93","Surrey",57,37,64,0,11,1,170,338
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 94","Surrey",103,88,101,5,20,2,319,668
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 95","Surrey",99,53,99,9,13,0,273,547
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 96","Surrey",108,71,101,4,16,0,300,608
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 97","Surrey",79,49,72,0,17,1,218,461
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 98","Surrey",72,48,78,5,21,2,226,594
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 99","Surrey",82,43,72,1,20,1,219,532
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 100","Surrey",75,44,70,4,10,4,207,457
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 101","Surrey",65,68,87,2,11,1,234,528
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 102","Surrey",89,40,88,5,10,1,233,485
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 103","Surrey",66,19,50,2,13,0,150,370
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 104","Surrey",73,28,56,7,16,0,180,422
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 105","Surrey",60,35,41,3,8,0,147,450
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 106","Surrey",64,31,78,2,10,0,185,505
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 107","Surrey",83,54,86,2,17,4,246,573
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 108","Surrey",89,44,82,4,13,3,235,559
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 109","Surrey",60,46,64,2,14,2,188,469
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 110","Langley",99,55,109,4,22,0,289,498
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 111","Langley",82,41,97,6,21,4,251,496
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 112","Surrey",95,41,90,2,16,4,248,580
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 113","Surrey",65,37,50,3,12,1,168,447
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 114","Langley",89,52,124,8,16,1,290,492
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 115","Langley",89,67,95,7,16,4,278,534
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 116","Langley",74,57,98,4,18,4,255,486
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 117","Surrey",54,30,46,1,12,2,145,399
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 118","Surrey",98,42,98,5,15,3,261,608
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 119","Surrey",69,47,89,5,12,1,223,438
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 120","Surrey",85,30,78,8,18,5,224,496
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 121","Surrey",81,39,70,0,4,1,195,458
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 122","Surrey",46,18,59,4,9,2,138,394
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 123","Surrey",62,24,84,4,16,0,190,406
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 124","Surrey",56,30,72,3,18,0,179,368
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 125","Surrey",76,45,69,8,16,1,215,500
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 126","Surrey",58,43,83,3,20,2,209,464
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 127","Surrey",61,59,65,7,21,0,213,453
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 128","Surrey",72,42,94,4,28,1,241,508
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 129","Surrey",51,34,78,5,12,0,180,395
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 130","Langley",49,25,39,0,13,1,127,391
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 131A","Surrey",53,30,74,4,10,0,171,416
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 131B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,11
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 132","Langley",43,44,59,7,14,3,170,448
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 133","Langley",59,49,67,3,15,0,193,565
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 134","Langley",52,39,39,1,10,1,142,447
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 135","Langley",53,42,45,7,12,0,159,472
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 136","Langley",45,30,77,4,5,0,161,456
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 137","Langley",70,32,48,2,15,0,167,446
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 138","Langley",59,59,89,4,21,1,233,559
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 139","Langley",46,25,56,5,8,1,141,378
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 140","Langley",66,70,79,6,17,0,238,566
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 141","Langley",53,52,64,6,12,3,190,457
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 142","Langley",62,24,38,5,18,2,149,384
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 143","Langley",35,28,65,2,13,2,145,290
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 144","Langley",67,31,54,3,16,3,174,397
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 145","Langley",76,66,88,8,26,5,269,592
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 146","Langley",39,22,73,6,9,0,149,327
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 147","Langley",48,30,57,3,18,3,159,391
59007,"Cloverdale--Langley City/Cloverdale--Langley City"," 148","Langley",46,38,41,6,6,1,138,340
