Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
24030,"Jonquière","Jonquière"," 1","Bégin",N,N,"",1,355,"Boulanger","","Fanny","Conservative","Conservateur",N,N,90
24030,"Jonquière","Jonquière"," 1","Bégin",N,N,"",1,355,"Garon","","Lise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
24030,"Jonquière","Jonquière"," 1","Bégin",N,N,"",1,355,"Gaudreault","","Patrick","People's Party - PPC","Parti populaire - PPC",N,N,4
24030,"Jonquière","Jonquière"," 1","Bégin",N,N,"",1,355,"Simard","","Mario","Bloc Québécois","Bloc Québécois",Y,Y,59
24030,"Jonquière","Jonquière"," 1","Bégin",N,N,"",1,355,"Van Tassel","","William","Liberal","Libéral",N,N,44
24030,"Jonquière","Jonquière"," 1","Bégin",N,N,"",1,355,"Yelle","","Marie-Josée","Green Party","Parti Vert",N,N,4
24030,"Jonquière","Jonquière"," 2","Bégin",N,N,"",3,343,"Boulanger","","Fanny","Conservative","Conservateur",N,N,98
24030,"Jonquière","Jonquière"," 2","Bégin",N,N,"",3,343,"Garon","","Lise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
24030,"Jonquière","Jonquière"," 2","Bégin",N,N,"",3,343,"Gaudreault","","Patrick","People's Party - PPC","Parti populaire - PPC",N,N,4
24030,"Jonquière","Jonquière"," 2","Bégin",N,N,"",3,343,"Simard","","Mario","Bloc Québécois","Bloc Québécois",Y,Y,67
24030,"Jonquière","Jonquière"," 2","Bégin",N,N,"",3,343,"Van Tassel","","William","Liberal","Libéral",N,N,38
24030,"Jonquière","Jonquière"," 2","Bégin",N,N,"",3,343,"Yelle","","Marie-Josée","Green Party","Parti Vert",N,N,5
24030,"Jonquière","Jonquière"," 3","Sainte-Élisabeth-de-Proulx",N,N,"",1,154,"Boulanger","","Fanny","Conservative","Conservateur",N,N,19
24030,"Jonquière","Jonquière"," 3","Sainte-Élisabeth-de-Proulx",N,N,"",1,154,"Garon","","Lise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
24030,"Jonquière","Jonquière"," 3","Sainte-Élisabeth-de-Proulx",N,N,"",1,154,"Gaudreault","","Patrick","People's Party - PPC","Parti populaire - PPC",N,N,1
24030,"Jonquière","Jonquière"," 3","Sainte-Élisabeth-de-Proulx",N,N,"",1,154,"Simard","","Mario","Bloc Québécois","Bloc Québécois",Y,Y,29
24030,"Jonquière","Jonquière"," 3","Sainte-Élisabeth-de-Proulx",N,N,"",1,154,"Van Tassel","","William","Liberal","Libéral",N,N,20
24030,"Jonquière","Jonquière"," 3","Sainte-Élisabeth-de-Proulx",N,N,"",1,154,"Yelle","","Marie-Josée","Green Party","Parti Vert",N,N,0
24030,"Jonquière","Jonquière"," 4","Saint-Ludger-de-Milot",N,N,"",4,351,"Boulanger","","Fanny","Conservative","Conservateur",N,N,73
24030,"Jonquière","Jonquière"," 4","Saint-Ludger-de-Milot",N,N,"",4,351,"Garon","","Lise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
24030,"Jonquière","Jonquière"," 4","Saint-Ludger-de-Milot",N,N,"",4,351,"Gaudreault","","Patrick","People's Party - PPC","Parti populaire - PPC",N,N,1
24030,"Jonquière","Jonquière"," 4","Saint-Ludger-de-Milot",N,N,"",4,351,"Simard","","Mario","Bloc Québécois","Bloc Québécois",Y,Y,75
24030,"Jonquière","Jonquière"," 4","Saint-Ludger-de-Milot",N,N,"",4,351,"Van Tassel","","William","Liberal","Libéral",N,N,48
24030,"Jonquière","Jonquière"," 4","Saint-Ludger-de-Milot",N,N,"",4,351,"Yelle","","Marie-Josée","Green Party","Parti Vert",N,N,0
24030,"Jonquière","Jonquière"," 5","Saint-Ludger-de-Milot",N,N,"",2,253,"Boulanger","","Fanny","Conservative","Conservateur",N,N,44
24030,"Jonquière","Jonquière"," 5","Saint-Ludger-de-Milot",N,N,"",2,253,"Garon","","Lise","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
24030,"Jonquière","Jonquière"," 5","Saint-Ludger-de-Milot",N,N,"",2,253,"Gaudreault","","Patrick","People's Party - PPC","Parti populaire - PPC",N,N,0
24030,"Jonquière","Jonquière"," 5","Saint-Ludger-de-Milot",N,N,"",2,253,"Simard","","Mario","Bloc Québécois","Bloc Québécois",Y,Y,45
