Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 1","Upper Tantallon",N,N,"",1,493,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,5
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 1","Upper Tantallon",N,N,"",1,493,"Embrett","","Mark","Green Party","Parti Vert",N,N,4
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 1","Upper Tantallon",N,N,"",1,493,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,77
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 1","Upper Tantallon",N,N,"",1,493,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,3
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 1","Upper Tantallon",N,N,"",1,493,"Perkins","","Rick","Conservative","Conservateur",N,N,68
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 2","Upper Tantallon",N,N,"",0,431,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 2","Upper Tantallon",N,N,"",0,431,"Embrett","","Mark","Green Party","Parti Vert",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 2","Upper Tantallon",N,N,"",0,431,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,61
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 2","Upper Tantallon",N,N,"",0,431,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 2","Upper Tantallon",N,N,"",0,431,"Perkins","","Rick","Conservative","Conservateur",N,N,44
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 3","Upper Tantallon",N,N,"",0,352,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,3
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 3","Upper Tantallon",N,N,"",0,352,"Embrett","","Mark","Green Party","Parti Vert",N,N,3
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 3","Upper Tantallon",N,N,"",0,352,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,59
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 3","Upper Tantallon",N,N,"",0,352,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 3","Upper Tantallon",N,N,"",0,352,"Perkins","","Rick","Conservative","Conservateur",N,N,38
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 4","Halifax",N,N,"",0,409,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 4","Halifax",N,N,"",0,409,"Embrett","","Mark","Green Party","Parti Vert",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 4","Halifax",N,N,"",0,409,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,73
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 4","Halifax",N,N,"",0,409,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 4","Halifax",N,N,"",0,409,"Perkins","","Rick","Conservative","Conservateur",N,N,42
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 5","Upper Tantallon",N,N,"",0,375,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 5","Upper Tantallon",N,N,"",0,375,"Embrett","","Mark","Green Party","Parti Vert",N,N,2
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 5","Upper Tantallon",N,N,"",0,375,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,81
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 5","Upper Tantallon",N,N,"",0,375,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 5","Upper Tantallon",N,N,"",0,375,"Perkins","","Rick","Conservative","Conservateur",N,N,45
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 6","Head of St. Margarets Bay",N,N,"",0,389,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,3
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 6","Head of St. Margarets Bay",N,N,"",0,389,"Embrett","","Mark","Green Party","Parti Vert",N,N,4
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 6","Head of St. Margarets Bay",N,N,"",0,389,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,67
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 6","Head of St. Margarets Bay",N,N,"",0,389,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 6","Head of St. Margarets Bay",N,N,"",0,389,"Perkins","","Rick","Conservative","Conservateur",N,N,35
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 7","Masons Point",N,N,"",0,355,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 7","Masons Point",N,N,"",0,355,"Embrett","","Mark","Green Party","Parti Vert",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 7","Masons Point",N,N,"",0,355,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,71
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 7","Masons Point",N,N,"",0,355,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 7","Masons Point",N,N,"",0,355,"Perkins","","Rick","Conservative","Conservateur",N,N,25
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 8","Boutiliers Point",N,N,"",0,446,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,2
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 8","Boutiliers Point",N,N,"",0,446,"Embrett","","Mark","Green Party","Parti Vert",N,N,2
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 8","Boutiliers Point",N,N,"",0,446,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,93
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 8","Boutiliers Point",N,N,"",0,446,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,2
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 8","Boutiliers Point",N,N,"",0,446,"Perkins","","Rick","Conservative","Conservateur",N,N,39
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 9","Allen Heights",N,N,"",0,350,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,3
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 9","Allen Heights",N,N,"",0,350,"Embrett","","Mark","Green Party","Parti Vert",N,N,2
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 9","Allen Heights",N,N,"",0,350,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,85
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 9","Allen Heights",N,N,"",0,350,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,2
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 9","Allen Heights",N,N,"",0,350,"Perkins","","Rick","Conservative","Conservateur",N,N,41
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 10","Queensland",N,N,"",0,283,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 10","Queensland",N,N,"",0,283,"Embrett","","Mark","Green Party","Parti Vert",N,N,4
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 10","Queensland",N,N,"",0,283,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,43
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 10","Queensland",N,N,"",0,283,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 10","Queensland",N,N,"",0,283,"Perkins","","Rick","Conservative","Conservateur",N,N,28
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 11","Boutiliers Point",N,N,"",0,385,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 11","Boutiliers Point",N,N,"",0,385,"Embrett","","Mark","Green Party","Parti Vert",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 11","Boutiliers Point",N,N,"",0,385,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,68
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 11","Boutiliers Point",N,N,"",0,385,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,3
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 11","Boutiliers Point",N,N,"",0,385,"Perkins","","Rick","Conservative","Conservateur",N,N,57
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 12","Black Point",N,N,"",0,425,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 12","Black Point",N,N,"",0,425,"Embrett","","Mark","Green Party","Parti Vert",N,N,1
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 12","Black Point",N,N,"",0,425,"Fancy-Landry","","Jessica","Liberal","Libéral",N,Y,122
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 12","Black Point",N,N,"",0,425,"Henderson","","Hayden","Independent","Indépendant(e)",N,N,0
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 12","Black Point",N,N,"",0,425,"Perkins","","Rick","Conservative","Conservateur",N,N,73
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 13","Simms Settlement",N,N,"",0,406,"Boyd","","Patrick Shea","People's Party - PPC","Parti populaire - PPC",N,N,6
12010,"South Shore--St. Margarets","South Shore--St. Margarets"," 13","Simms Settlement",N,N,"",0,406,"Embrett","","Mark","Green Party","Parti Vert",N,N,3
